"","Code","N","N_leaf","N_wood","N_bark","N_height","Leaf_size","Total_leaf_size","Leaf_thickness","Max_height","Height_at_5cm","Crown_ratio","Light_at_5cm","SLA","Bark_at_5cm","Bark_at_8mm","Wood_density","FG","Habit","Genus","Species","Family","Old.name","FG","Life.Form","New.name","NewCode","Authority","species.relative","genus.relative","classification80","classification70","classification66"
"22","MABR",10,10,5,10,92,964.36544374,7350.9845,0.173333333333333,15,8.30940615972057,0.603987692187567,3.66361219819864,111.967963107,3.51094277963587,0.8606904112,0.5446461634,"F","tree","Machaerium","brasiliense","Fabaceae","Machaerium brasiliense","G","tree","Machaerium brasiliense","MABR","Vogel","",NA,"F","F","F"
"23","MYTO",12,9,5,9,74,1699.69628438,1699.69628438,0.276666666666667,12,4.9148438734897,0.631797645342572,2.70905410674448,76.3067139711111,4.53091586155755,0.8368975472,0.7812410558,"G","tree","Myrcia","tomentosa","Myrtaceae","Myrcia tomentosa","S","tree","Myrcia tomentosa","MYRCTOM","(Aubl.) DC.","",NA,"G","G","G"
"24","QUCO",5,5,5,5,11,3734.930901,3734.930901,0.235333333333333,11,4.54013252745376,0.481390351679455,3.3963952845872,106.919785184,8.67886724102176,0.8914105696,0.624664007,"G","tree","Qualea","cordata","Vochysiaceae","Qualea cordata","S","tree","Qualea cordata","QUCO","Spreng.","",NA,"G","G","G"
"25","SCVI",10,10,5,10,37,2099.4135558,14695.8948904,0.355333333333333,5,3.84973759783298,0.659134494232848,3.13885322797848,71.448686623,2.22644750775133,1.0697033808,0.438604294,"S","treelet","Schefflera","vinosa","Araliaceae","Schefflera vinosa","S","treelet","Didymopanax vinosus","DIVI","(Cham. & Schltdl.) Marchal","",NA,"G","S","S"
"26","ZEMO",5,5,5,5,9,4088.2007174,21609.444202,0.423333333333333,2.8,NA,0.722345636819321,NA,90.582619866,0,1.5380993312,0.49699631,"S","shrub","Zeyheria","montana","Bignoniaceae","Zeyheria montana","S","shrub","Zeyheria montana","ZEMO","Mart.","",NA,"S","S","S"
"27","SYPU",10,10,5,10,55,2840.94775,2840.94775,0.308666666666667,8,5.34225357046025,0.534995635635542,3.45287016182289,88.719223312,5.01287402802506,0.8982418368,0.5151643102,"S","treelet","Symplocos","pubescens","Symplocaceae","Symplocos pubescens","S","treelet","Symplocos pubescens","SYPU","Klotzsch ex Benth.","",NA,"G","G","S"
"28","GOPO",27,19,6,12,704,3354.92018526,3354.92018526,0.410666666666667,13,4.93950427595848,0.715252996275251,3.37895281354629,65.8894863163158,16.424222656344,1.03020282666667,0.618323529,"G","tree","Gochnatia","polymorpha","Asteraceae","Gochnatia polymorpha","G","tree","Moquiniastrum polymorphum","MOPO","(Less.) G. Sancho","",NA,"G","G","G"
"29","CAAD",11,10,5,11,281,1331.67631852,1331.67631852,0.332666666666667,3.5,2.17289045779814,0.616329588048866,3.41933993608651,68.716851854,2.15777785190506,0.8486175008,0.719158424,"S","shrub","Campomanesia","adamantium","Myrtaceae","Campomanesia adamantium","S","shrub","Campomanesia adamantium","CAAD","(Cambess.) O.Berg","",NA,"S","S","S"
"30","STRO",18,11,7,7,111,89.7893908957143,21844.9309718571,0.178333333333333,5.5,3.34459834298227,0.552148565608782,3.73995814263067,84.5029584854545,8.95720560698732,1.23678103428571,0.432781415285714,"S","tree","Stryphnodendron","rotundifolium","Fabaceae","Stryphnodendron rotundifolium","S","tree","Stryphnodendron rotundifolium","STRO","Mart.","",NA,"G","S","S"
"31","RAGU",5,5,5,5,6,2688.7061702,2688.7061702,0.366666666666667,8,3.16657192140332,0.538516071524651,3.58279278130372,76.797392884,9.58782735730562,1.478566464,0.4992447896,"G","tree","Rapanea","guianensis","Primulaceae","Rapanea guianensis","S","tree","Myrsine guianensis","MYRSGUI","(Aubl.) Kuntze","",NA,"G","G","G"
"32","CHMA",5,5,5,5,8,1148.09693574,1148.09693574,0.232666666666667,10,4.26011682295959,0.84059620596206,3.0409750246845,107.177570832,2.6804112648829,0.5864031008,0.7072963916,"F","tree","Chrysophyllum","marginatum","Sapotaceae","Chrysophyllum marginatum","G","tree","Chrysophyllum marginatum","CHMA","(Hook. & Arn.) Radlk.","",NA,"G","F","F"
"33","LIMO",6,5,5,6,21,1304.32273096,6521.6136542,0.231333333333333,12,6.45605179862596,0.593086230644275,2.60435341900044,105.96176042,3.46013124379044,0.752909088,0.5682385654,"G","tree","Lithraea","molleoides","Anacardiaceae","Lithraea molleoides","F","tree","Lithraea molleoides","LIMO","(Vell.) Engl.","",NA,"G","G","G"
"34","BOVI",5,5,5,5,11,797.77223698,11437.6987584,0.247333333333333,16,6.31039916321348,0.548502514199376,3.59989076702543,86.55506444,10.4738411145861,1.8758166272,0.567884798,"S","tree","Bowdichia","virgilioides","Fabaceae","Bowdichia virgilioides","S","tree","Bowdichia virgilioides","BOVI","Kunth","",NA,"S","S","S"
"35","RAFE",7,6,6,7,45,1932.304098,1932.304098,0.263888888888889,12,6.20321482277983,0.529249146395454,3.21802131112534,112.16967756,2.18088186376893,1.01611642666667,0.622897865,"F","tree","Rapanea","ferruginea","Primulaceae","Rapanea ferruginea","G","tree","Myrsine coriacea","MYRSCOR","(Sw.) R.Br. ex Roem. & Schult.","",NA,"G","F","F"
"36","OCPU",10,10,5,7,38,855.36113334,855.36113334,0.286,30,4.54691964396029,0.65031795985484,3.85857752429493,64.680360312,2.12164652453597,0.6957548912,0.649871574,"G","tree","Ocotea","pulchella","Lauraceae","Ocotea pulchella","G","tree","Ocotea pulchella","OCPU","(Nees & Mart.) Mez","",NA,"G","G","G"
"37","MYMU",6,5,5,6,49,510.49641264,510.49641264,0.222,7,5.40372722284687,0.582774004009423,2.974953842182,95.165644086,1.06795033271444,0.5850189696,0.686089236,"F","tree","Myrcia","multiflora","Myrtaceae","Myrcia multiflora","G","tree","Myrcia multiflora","MYRCMUL","(Lam.) DC.","",NA,"G","G","F"
"38","TAGU",17,16,11,16,128,1640.12700681818,12495.3005770909,0.234545454545455,14,7.23596603073589,0.688174730873078,3.6151059382839,82.84070096125,2.98652623853887,0.614927367272727,0.582067754727273,"F","tree","Tapirira","guianensis","Anacardiaceae","Tapirira guianensis","G","tree","Tapirira guianensis","TAGU","Aubl.","",NA,"G","F","F"
"39","LEEL",15,11,5,11,192,852.57253482,7865.2961682,0.29,11,4.90462671736554,0.62521274116692,2.92045274740484,77.1170304672727,15.6937066412525,2.3857157824,0.7004165014,"S","tree","Leptolobium","elegans","Fabaceae","Leptolobium elegans","S","tree","Leptolobium elegans","LEEL","Vogel","",NA,"S","S","S"
"40","MYFA",18,11,6,15,361,227.208207716667,227.208207716667,0.250666666666667,10,4.64668895742999,0.657630971408533,2.99637551913332,81.9545551154545,6.89976089141887,1.15253695466667,0.566545575666667,"F","tree","Myrcia","splendens","Myrtaceae","Myrcia splendens","G","tree","Myrcia splendens","MYRCSPL","(Sw.) DC.","",NA,"G","F","F"
"41","CABR",5,5,5,5,14,6705.3657454,20116.097236,0.454666666666667,3.75,2.32019476942201,0.632188008430071,3.71148220755751,75.11612722,12.5976109160466,0.8925162576,0.5903615052,"S","tree","Caryocar","brasiliense","Caryocaraceae","Caryocar brasiliense","S","tree","Caryocar brasiliense","CABR","Cambess.","",NA,"S","S","S"
"42","STFE",6,6,6,6,8,2908.80156733333,2908.80156733333,0.480555555555556,14,4.32701046911873,0.721150169061667,3.39099164815985,63.8443451016667,13.9325453820097,0.773533633333333,0.468739767833333,"S","tree","Styrax","ferrugineus","Styracaceae","Styrax ferrugineus","S","tree","Styrax ferrugineus","STFE","Nees & Mart.","",NA,"G","S","S"
"43","RAUM",17,10,5,15,454,2434.06467608,2434.06467608,0.386,15,6.27322922545365,0.597182099173296,3.35524454207781,63.300343912,3.66732332756582,0.9037949632,0.6849334094,"G","tree","Rapanea","umbellata","Primulaceae","Rapanea umbellata","G","tree","Myrsine umbellata","MYRSUMB","Mart.","",NA,"G","G","G"
"44","TOFO",5,5,5,5,9,8656.429144,8656.429144,0.688666666666667,2.6,NA,0.304320438803971,NA,85.002799266,0,1.2384779664,0.6559350994,"S","shrub","Tocoyena","formosa","Rubiaceae","Tocoyena formosa","S","shrub","Tocoyena formosa","TOFO","(Cham. & Schltdl.) K.Schum.","",NA,"S","S","S"
"45","ANCR",12,12,7,7,35,4857.82356171429,4857.82356171429,0.345714285714286,12,4.4420580877451,0.673498776929597,3.58109175113929,67.964026575,15.5616741883531,1.787445608,0.372258546571429,"S","tree","Annona","crassiflora","Annonaceae","Annona crassiflora","S","tree","Annona crassiflora","ANCR","Mart.","",NA,"S","S","S"
"46","DUFU",5,5,5,5,5,3172.6805546,3172.6805546,0.332,2.53,NA,0.847580837182723,NA,52.590315598,0,1.3598846288,0.6062577318,"S","shrub","Duguetia","furfuracea","Annonaceae","Duguetia furfuracea","S","shrub","Duguetia furfuracea","DUFU","(A.St.-Hil.) Saff.","",NA,"S","S","S"
"47","QUGR",5,5,5,5,9,6318.2583524,6318.2583524,0.380666666666667,12,5.18885261151514,0.599761254862133,2.92171020768669,62.657420718,11.1282940535489,1.0321284336,0.5574552358,"S","tree","Qualea","grandiflora","Vochysiaceae","Qualea grandiflora","S","tree","Qualea grandiflora","QUGR","Mart.","",NA,"S","S","S"
"48","DIMO",11,10,5,9,28,53.185828798,38599.040284,0.181333333333333,14,3.50196445635155,0.635571118635494,4.16944072109097,84.146577091,11.0772442024049,1.210692872,0.4750357888,"S","tree","Dimorphandra","mollis","Fabaceae","Dimorphandra mollis","S","tree","Dimorphandra mollis","DIMO","Benth.","",NA,"G","S","S"
"49","ERSU",5,5,5,5,15,2782.4864778,2782.4864778,0.278,4,2.54479701984509,0.722806902393959,3.92851317671235,83.018468546,14.4216550722341,2.3277438,0.6006542796,"S","treelet","Erythroxylum","suberosum","Erythroxylaceae","Erythroxylum suberosum","S","treelet","Erythroxylum suberosum","ERSU","A.St.-Hil.","",NA,"S","S","S"
"50","KICO",5,5,5,5,7,5864.034767,5864.034767,0.392666666666667,3.5,2.15030020720848,0.525075825254083,3.12255966420429,76.69429054,16.8205309113382,1.885817576,0.43617147,"S","tree","Kielmeyera","coriacea","Calophyllaceae","Kielmeyera coriacea","S","tree","Kielmeyera coriacea","KICO","Mart. & Zucc.","",NA,"S","S","S"
"51","MAAC",18,10,5,8,75,1229.3676288,17115.073244,0.211333333333333,14,5.12715464828463,0.532362607086454,3.30036927048974,86.891373625,15.3662378183305,1.111245296,0.638275682,"S","tree","Machaerium","acutifolium","Fabaceae","Machaerium acutifolium","S","tree","Machaerium acutifolium","MAAC","Vogel","",NA,"G","S","S"
"52","VOTU",24,11,6,16,232,2145.55606533333,2145.55606533333,0.324,15,6.64693277511218,0.758262338188057,3.35114246221916,88.8799255290909,9.44777592309471,0.871469634666667,0.488284664833333,"G","tree","Vochysia","tucanorum","Vochysiaceae","Vochysia tucanorum","G","tree","Vochysia tucanorum","VOTU","Mart.","",NA,"G","G","G"
"53","GOBA",10,10,5,10,75,6356.4763284,6356.4763284,0.452666666666667,6.5,3.31190881906786,0.602125064163216,3.8760008987998,103.725771671,3.353104976789,0.7658458288,0.7459366674,"S","shrub","Gochnatia","barrosii","Asteraceae","Gochnatia barrosii","S","shrub","Moquiniastrum barrosoae","MOBA","(Cabrera) G. Sancho","",NA,"G","G","S"
"54","MIAL",9,9,4,9,48,5345.8590505,10863.8422365,0.3775,4.83,2.96514250318262,0.824611689080484,3.09259473994206,57.4861904811111,7.08432024767657,1.0047184,0.69240955225,"S","treelet","Miconia","albicans","Melastomataceae","Miconia albicans","S","treelet","Miconia albicans","MIAL","(Sw.) Steud","",NA,"G","S","S"
"55","AEVE",12,11,6,6,68,6025.82888916667,6025.82888916667,0.341111111111111,4.5,3.34356199761103,0.449586166427284,3.98317808456863,96.2705694990909,9.14198180252884,1.13107658133333,0.425399702,"S","tree","Aegiphila","verticillata","Lamiaceae","Aegiphila verticillata","S","tree","Aegiphila verticillata","AEVE","Vell.","",NA,"S","S","S"
"56","CESE",2,2,2,2,3,0,0,0,3.5,NA,NA,NA,0,0,NA,0,"F","shrub","Cestrum","mariquitense","Solanaceae","Cestrum mariquitense","F","shrub","Cestrum mariquitense","CEMA","Kunth","",NA,"F","F","F"
"57","PEOB",21,11,5,17,315,1875.1472526,1875.1472526,0.256,14,7.83175828589748,0.682289503088463,3.31664198291269,104.651650987273,4.01898155020635,0.758229352,0.542815699,"F","tree","Pera","obovata","Peraceae","Pera obovata","G","tree","Pera glabrata","PEGL","(Schott) Poepp. ex Baill.","",NA,"G","G","F"
"58","ANDI",5,5,5,5,6,10233.4578214,10233.4578214,0.473333333333333,2,1.76065296093025,0.634975879040408,3.92757348325511,114.497480302,0,1.1873338384,0.3241228446,"S","shrub","Annona","dioica","Annonaceae","Annona dioica","S","shrub","Annona dioica","ANDI","A. St.-Hil.","",NA,"S","S","S"
"59","SOLY",5,5,5,5,5,10136.90954825,10136.90954825,0.471666666666667,1.2,NA,0.798383838383838,NA,123.34635987,0,0.8431484528,0.5145645706,"S","shrub","Solanum","lycocarpum","Solanaceae","Solanum lycocarpum","S","shrub","Solanum lycocarpum","SOLY","A.St.-Hil.","",NA,"S","S","S"
"60","TAOC",5,5,5,5,18,2749.76989606,13366.7047882,0.432666666666667,14,3.10054958320472,0.399668057910526,3.39088704633324,61.347419242,12.5582691953249,1.54921772,0.6227994928,"G","tree","Tabebuia","ochracea","Bignoniaceae","Tabebuia ochracea","S","tree","Handroanthus ochraceus","HAOC","(Cham.) Mattos","",NA,"G","G","G"
"61","OUSP",11,10,6,11,36,5549.4429898,5549.4429898,0.438666666666667,7,3.58890789157405,0.597480895660863,3.73681126293597,59.339025666,11.4912847462648,1.795495944,0.590901634833333,"S","tree","Ouratea","spectabilis","Ochnaceae","Ouratea spectabilis","S","tree","Ouratea spectabilis","OUSP","(Mart. ex Engl.) Engl.","",NA,"S","S","S"
"62","TACA",10,10,5,6,50,1424.29105842,1424.29105842,0.221333333333333,9,4.92209714807763,0.773576616908271,2.65330087784715,107.017547272,5.41249092311083,1.1445275936,0.613289801,"F","tree","Tabernaemontana","catharinensis","Apocynaceae","Tabernaemontana catharinensis","G","tree","Tabernaemontana catharinensis","TACA","A.DC.","",NA,"G","F","F"
"63","OCCO",24,11,6,15,603,1410.84889908333,1410.84889908333,0.256666666666667,20,6.90549922396162,0.748114716991499,3.6943548807615,70.3537912836364,5.66586722004789,0.850578966666667,0.614587759166667,"G","tree","Ocotea","corymbosa","Lauraceae","Ocotea corymbosa","G","tree","Ocotea corymbosa","OCCO","(Meisn.) Mez","",NA,"G","G","G"
"64","ERCU",5,5,5,5,15,83.385673292,83.385673292,0.201333333333333,4,NA,0.600868574714678,NA,104.50157461,0,1.1555639824,0.7773700504,"G","shrub","Erythroxylum","cuneifolium","Erythroxylaceae","Erythroxylum cuneifolium","S","shrub","Erythroxylum cuneifolium","ERCU","(Mart.) O.E.Schulz","",NA,"G","G","G"
"65","BADR",6,6,6,6,17,88.4078313066667,88.4078313066667,0.186111111111111,3.5,NA,0.502902285820376,NA,159.01649115,0,0.646053978666667,0.547898852166667,"G","treelet","Baccharis","dracunculifolia","Asteraceae","Baccharis dracunculifolia","G","treelet","Baccharis dracunculifolia","BADR","DC.","",NA,"G","G","G"
"66","PEWI",1,1,1,1,1,0,0,0,20,NA,NA,NA,0,0,NA,0,"F","tree","Persea","willdenovii","Lauraceae","Persea willdenovii","F","tree","Persea willdenovii","PEWI","Kosterm.","",NA,"G","F","F"
"67","PRMY",1,1,1,1,7,0,0,0,15,NA,NA,NA,0,0,NA,0,"F","tree","Prunus","myrtifolia","Rosaceae","Prunus myrtifolia","G","tree","Prunus myrtifolia","PRMY","(L.) Urb.","",NA,"F","F","F"
"68","AMIN",13,11,6,13,276,5158.53812533333,5158.53812533333,0.235555555555556,9,7.08591993060454,0.64426230538162,2.98318822608207,109.414572590909,3.09208703704215,0.792018446666667,0.719115994,"F","tree","Amaioua","intermedia","Rubiaceae","Amaioua intermedia","G","tree","Amaioua intermedia","AMIN","Mart. ex Schult. & Schult.f.","",NA,"G","F","F"
"69","QUMU",5,5,5,5,15,5188.2059162,5188.2059162,0.297333333333333,9,5.79916413608367,0.434912181163718,2.32006732778855,104.862559978,7.39682894657035,0.9282454096,0.5817943682,"S","tree","Qualea","multiflora","Vochysiaceae","Qualea multiflora","S","tree","Qualea multiflora","QUMU","Mart.","",NA,"G","G","S"
"70","POTO",6,6,6,6,11,7829.0591055,7829.0591055,0.285555555555556,18,6.70326147819153,0.505689267183174,2.40179715331558,95.12135381,14.6425043885194,1.61962436533333,0.534070578333333,"S","tree","Pouteria","torta","Sapotaceae","Pouteria torta","S","tree","Pouteria torta","POTO","(Mart.) Radlk.","",NA,"S","S","S"
"71","STPO",4,4,3,1,1,4406.74961325,4406.74961325,0.2925,12,NA,0.630952380952381,NA,99.7007266975,0,0.936932506666667,0.532833551333333,"F","tree","Styrax","pohlii","Styracaceae","Styrax pohlii","F","tree","Styrax pohlii","STPO","A. DC.","",NA,"F","F","F"
"72","PRHE",10,10,5,10,14,3687.8873574,22844.9929474,0.194,20,6.79389897125196,0.603060358682118,3.5312195774943,106.56851605,2.89486592189077,0.9771712624,0.5261088164,"F","tree","Protium","heptaphyllum","Burseraceae","Protium heptaphyllum","G","tree","Protium heptaphyllum","PRHE","(Aubl.) Marchand","",NA,"F","F","F"
"73","SIGU",11,11,6,11,389,9145.81492783333,9145.81492783333,0.247777777777778,10,7.46032062441607,0.557039910424693,2.86673140016002,125.29411619,2.39421368297788,0.619416176,0.589690087666667,"G","tree","Siparuna","guianensis","Siparunaceae","Siparuna guianensis","G","tree","Siparuna guianensis","SIGU","Aubl.","",NA,"G","G","G"
"74","JACA",5,5,5,5,10,106.108072886,14859.099198,0.154666666666667,10,4.6984744541804,0.547477552555661,3.90370200329488,126.66884648,2.33706127093801,0.6212907312,0.4824396744,"S","shrub","Jacaranda","caroba","Bignoniaceae","Jacaranda caroba","S","shrub","Jacaranda caroba","JACA","(Vell.) DC.","",NA,"S","S","S"
"75","BYBA",1,1,1,1,2,0,0,0,10,NA,NA,NA,0,0,NA,0,"S","tree","Byrsonima","basiloba","Malpighiaceae","Byrsonima basiloba","S","tree","Byrsonima basiloba","BYBA","A.Juss.","",NA,"S","S","S"
"76","RALA",4,4,4,1,6,1212.1845763,1212.1845763,0.233333333333333,6,4.77386600152629,0.631578947368421,3.27265113767104,87.090005815,0,0.878574032,0.68865543475,"F","tree","Rapanea","lancifolia","Primulaceae","Rapanea lancifolia","F","tree","Myrsine lancifolia","MYRSLAN","Mart.","",NA,"G","G","F"
"77","CALU",1,1,1,1,4,0,0,0,8,NA,NA,NA,0,0,NA,0,"F","tree","Calyptranthes","lucida","Myrtaceae","Calyptranthes lucida","F","tree","Calyptranthes lucida","CALU","Mart. ex DC.","",NA,"F","F","F"
"78","CUVE",6,5,5,6,34,4959.7501476,59590.84174,0.210666666666667,22,6.72727700046927,0.397551526460968,2.83945900779344,119.308988908,4.19067976836006,0.4735999904,0.6651306272,"F","tree","Cupania","vernalis","Sapindaceae","Cupania vernalis","F","tree","Cupania vernalis","CUVE","Cambess.","",NA,"F","F","F"
"79","PLEL",9,5,5,9,52,618.52783586,6928.4827472,0.208,14,6.91867145674055,0.341489181694882,2.92052045178202,118.88087017,12.9510815515688,0.8582004672,0.6970529618,"G","tree","Platypodium","elegans","Fabaceae","Platypodium elegans","F","tree","Platypodium elegans","PLEL","Vogel","",NA,"G","G","G"
"80","LUGR",5,5,5,5,15,14117.5985416,14117.5985416,0.303333333333333,14,6.24881055774761,0.497734433974642,3.29184810807442,194.614704198,8.05635509887147,1.222605688,0.3739187998,"G","tree","Luehea","grandiflora","Malvaceae","Luehea grandiflora","G","tree","Luehea grandiflora","LUGR","Mart.","",NA,"G","G","G"
"81","DAEL",5,5,5,5,5,1511.23642676,1511.23642676,0.321333333333333,2,1.5957447403167,0.861546345811052,3.6497332316676,77.58489149,6.27559115067571,0.872492504,0.6358123858,"S","shrub","Davilla","elliptica","Dilleniaceae","Davilla elliptica","S","shrub","Davilla elliptica","DAEL","A.St.-Hil.","",NA,"S","S","S"
