"","P","Sub","Number","Species","Ht","DBH","D30","Code","Max_DBH","Max_D30","CSA_BH","CSA_30","Density_expand","CSA_30_expand","CSA_BH_expand","DBH_eff","D30_eff","FG","Life.Form"
"109",1,5,"111","Pera obovata",7,"7.9","9.1","PEOB",7.9,9.1,49.016657975,65.038766975,1,65.038766975,49.016657975,3.94999833178851,4.5499980783893,"G","tree"
"110",1,5,"112","Vochysia tucanorum",8.5,"17+9.9+11.6","19.8+13.3+11.3","VOTU",17,19.8,409.639774075,547.12360645,1,547.12360645,409.639774075,11.4189487196575,13.1967743368432,"G","tree"
"111",1,5,"113","Vochysia tucanorum",8.5,"12.6","14.8","VOTU",12.6,14.8,124.6897071,172.0334684,1,172.0334684,124.6897071,6.29999733930826,7.39999687474304,"G","tree"
"112",1,5,"114","Myrcia fallax",4,"5.1+6.7","8.8","MYFA",6.7,8.8,55.68468275,60.8211824,1,60.8211824,55.68468275,4.21010510894122,4.3999981417391,"G","tree"
"113",1,5,"115","Rapanea umbellata",6.2,"5.2","5.8","RAUM",5.2,5.8,21.2371484,26.4207719,1,26.4207719,21.2371484,2.59999890193674,2.89999877523714,"G","tree"
"114",1,6,"116","Myrcia fallax",2.2,"1.2+1.6","4","MYFA",1.6,4,3.14159,12.56636,4,50.26544,12.56636,0.999999577667978,1.99999915533596,"G","tree"
"115",1,6,"117","Dimorphandra mollis",3,"3.4","5.6","DIMO",3.4,5.6,9.0791951,24.6300656,1,24.6300656,9.0791951,1.69999928203556,2.79999881747034,"S","tree"
"116",1,6,"118","Vochysia tucanorum",2.5,"1.6","2.8","VOTU",1.6,2.8,2.0106176,6.1575164,4,24.6300656,8.0424704,0.799999662134383,1.39999940873517,"G","tree"
"117",1,6,"119","Gochnatia polymorpha",1.5,"1.3","2","GOPO",1.3,2,1.327321775,3.14159,4,12.56636,5.3092871,0.649999725484186,0.999999577667978,"G","tree"
"118",1,6,"120","Rapanea umbellata",4.1,"2.3+3","3.5","RAUM",3,3.5,11.223330275,9.621119375,4,38.4844775,44.8933211,1.89010501889137,1.74999926091896,"G","tree"
