"","Code","N","Leaf_size","Leaf_thickness","Max_height","Height_at_5cm","Crown_ratio_at_5cm","Light_at_5cm","SLA","Bark_at_5cm","Bark_at_8mm","Wood_density","FG","Habit"
"21","CHMA",5,1148.09693574,0.232666666666667,0,3.76066373145228,0.73356597012794,2.87474368961937,107.177570832,2.68041126488273,0.610117462243381,0.7072963916,"G","tree"
"22","COLA",10,1098.27294948333,0.165,0,5.34022617469406,0.64675817271639,2.44738116315634,100.908352291667,8.29161105501215,0.708080927945987,0.516624202833333,"G","tree"
"23","COSU",5,1506.6577282,0.366,0,2.17999067081297,0.570309458473372,3.53869391381608,62.273669934,12.9957370861946,1.57840046473972,0.4494212164,"S","treelet"
"24","CUTE",6,1401.44775362,0.757333333333333,0,4.6648069165746,0.597077143931478,2.22317339352766,138.137229856,2.35260046144982,0.631086262063302,0.7373822044,"G","treelet"
"25","CUVE",6,4959.7501476,0.210666666666667,0,5.05454069687371,0.392369470236322,2.44821069086751,119.308988908,4.1906797683601,0.492963441837439,0.6651306272,"F","tree"
"26","DAEL",5,1511.23642676,0.321333333333333,0,1.80329314577779,0.722021331059336,3.84557173239768,77.58489149,6.27559115067574,0.684714238163408,0.6358123858,"S","shrub"
"27","DARA",7,930.09073188,0.309333333333333,0,5.38108033011929,0.669031667263068,2.19826828590426,102.42494235,5.89220418170002,1.03466435076604,0.4262348364,"G","tree"
"28","DIBU",5,10548.7854244,0.48,0,2.13391443361754,0.409431598685768,3.6423568818514,65.283274516,12.1410396882695,1.6875846056708,0.4187682084,"S","tree"
"29","DIMO",6,53.185828798,0.181333333333333,0,2.91831391924815,0.617937368801087,3.8329627198455,66.11271049,11.140651345561,1.27334271123015,0.4750357888,"S","tree"
"30","DUFU",5,3172.6805546,0.332,0,2.52545721336624,0.983647280472716,3.62219035549923,52.590315598,2.62372221357944,1.41268525194052,0.6062577318,"S","shrub"
"31","ERCU",5,83.385673292,0.201333333333333,0,1.64895118604195,1.05285853386317,-0.42688262038887,104.50157461,1.685544864807,1.46911248948282,0.7785812084,"S","shrub"
"32","ERGR",5,2802.5984542,0.376666666666667,0,1.595679315424,0.592489759493109,2.29567138237361,81.965149896,14.6919704739984,1.92126666315746,0.3877375974,"S","tree"
"33","ERSU",5,2782.4864778,0.278,0,1.90577851846813,0.708763476513242,3.51040531879021,83.018468546,14.4216550722339,1.13189175515966,0.6006542796,"S","treelet"
"34","EUMY",6,3897.37036925,0.29,0,5.2142049687296,0.318241137479233,1.92196872052144,112.767566504,4.1340111862261,0.605466738070902,0.7133427896,"G","tree"
"35","EUPU",2,775.0659364,0.258333333333333,0,5.5872049196588,0.211359877343148,1.66525100817012,82.626618605,1.67978523031147,0.728667557317621,0.691810345,"S","treelet"
"36","GOBA",5,6356.4763284,0.452666666666667,0,2.66938653020859,0.643633373362972,3.31229908889362,109.334843102,3.85218807843407,0.767600175631225,0.7459366674,"S","shrub"
"37","GOPO",12,3245.42798194,0.410666666666667,0,3.87224781308484,0.520074089920941,2.8523528729479,64.571231026,16.4242226563438,0.801979081548045,0.618323529,"G","tree"
"38","GUNI",5,2459.953583,0.214,0,4.99518033705616,0.394989175799248,2.32793276431996,130.6850564,3.81106254465105,1.10636265096406,0.4001423552,"F","tree"
"39","JACA",5,106.108072886,0.154666666666667,0,5.09518504460049,0.539490080180017,3.89087113304232,78.136830144,2.33706127093807,0.641153959222912,0.4839413818,"S","shrub"
"40","KICO",5,5864.034767,0.392666666666667,0,1.88887640749851,0.485800886403274,3.19492231066567,76.69429054,16.8205309113382,1.91120313115072,0.43617147,"S","tree"
"41","LAHA",6,2026.463575,0.24,0,4.02895585970277,0.772146412815508,1.94519325145324,125.81854782,2.14691091738254,0.636711663526599,0.5467109092,"G","treelet"
"42","LEEL",5,852.57253482,0.29,0,1.58300024042572,0.697896716648084,2.88703287039398,81.825658428,14.2129924103333,1.64895379530998,0.7004165014,"S","tree"
"43","LIMO",6,1304.32273096,0.231333333333333,0,6.24024696865242,0.581497942015087,1.63526018060468,105.96176042,3.46013124379045,0.702182925163371,0.5682385654,"F","tree"
"44","LISA",5,571.4362101,0.386,0,2.41986461858891,-0.403747587834218,5,124.907331666667,0.670119219129084,0.42781502424985,0.6853979484,"S","shrub"
"45","LUCA",5,5463.9817062,0.253333333333333,0,5.29811225873899,0.461269922110376,2.33757176835697,159.345684858,4.90131470470739,0.978613915217939,0.5407094378,"G","tree"
"46","LUGR",5,14117.5985416,0.303333333333333,0,5.8446647688666,0.52228015089169,2.69721023130553,194.614704198,8.05635509887147,1.24589619303578,0.3739187998,"G","tree"
"47","MAAC",8,1229.3676288,0.211333333333333,0,4.06561321115267,0.460385403134176,2.58522277552947,94.606068588,15.3662378183307,1.11627757914955,0.638275682,"S","tree"
"48","MABR",5,964.36544374,0.173333333333333,0,5.30301381660558,0.561355984130204,2.97184900105298,132.773065596,3.23865913459077,0.840866626383407,0.5446461634,"G","tree"
"49","MAEL",7,1365.12865116,0.263333333333333,0,4.60761310251195,0.739207818020265,2.27552045004225,80.702553038,3.23207335463178,1.09890660941229,0.6310054742,"G","tree"
"50","MIAL",4,5345.8590505,0.3775,0,2.67798509566061,0.787027024008707,1.96216268552671,62.764374445,8.50157124001682,0.871742108569184,0.69240955225,"S","treelet"
"51","MILI",5,1308.9584178,0.251333333333333,0,4.06366791891994,0.636265802213478,2.55856678656353,93.070533548,5.25520383527556,1.05440017939519,0.6419342322,"S","treelet"
"52","MYFA",7,210.894541873333,0.250666666666667,0,3.61033412799098,0.688826940672824,2.40474351373834,69.562113775,7.29720837364429,1.16602496264262,0.566545575666667,"G","tree"
"53","MYLI",5,2814.9091466,0.356666666666667,0,2.63757735319205,0.687575984170016,3.96472555711748,69.886893456,9.385387306342,1.66461544458521,0.5201239562,"S","tree"
"54","MYMU",6,510.49641264,0.222,0,4.17992153398303,1.05166695992065,2.27806819490733,95.165644086,1.06795033271443,0.574422869039881,0.686089236,"G","tree"
"55","MYTO",7,1699.69628438,0.276666666666667,0,4.02263996743788,0.622565318871766,1.96825838883829,78.177133698,4.25895902735136,0.758284597053099,0.7812410558,"G","tree"
"56","MYVE",5,1418.05532784,0.353333333333333,0,4.76805762563921,0.584938356684717,2.45392859201151,69.125645602,3.88965542403422,0.914836778339779,0.789898012,"S","tree"
"57","NECU",5,2794.0732088,0.2,0,6.71601424337202,0.478482170796022,3.05026513746639,111.503659808,2.94934309703741,0.691610185183513,0.5555771528,"F","tree"
"58","NEOP",1,NA,NA,0,NA,0.46,0,86.9389567,3.32194087277795,0.57,0.685628743,"F","tree"
