"","P","Sub","Number","Species","Ht","DBH","D30","Code","Max_DBH","Max_D30","CSA_BH","CSA_30","Density_expand","CSA_30_expand","CSA_BH_expand","DBH_eff","D30_eff","Life.Form","Phylo.name","Authority","Light.code","Char.height"
"27",1,2,"28","Gochnatia polymorpha",3.5,"2.7+2.5+1.5+1.5","5+3.5","GOPO",2.7,5,14.1685709,29.256056875,4,117.0242275,56.6742836,2.12367516126313,3.0516376151286,"tree","Gochnatia polymorpha","(Less.) G. Sancho",2,NA
"28",1,2,"29","Myrcia fallax",2.5,"2.4","4.9","MYFA",2.4,4.9,4.5238896,18.857393975,4,75.4295759,18.0955584,1.19999949320157,2.44999896528655,"tree","Myrcia splendens","(Sw.) DC.",3,NA
"29",1,2,"30","Vochysia tucanorum",4.5,"10.1","12.4","VOTU",10.1,12.4,80.118398975,120.7627196,1,120.7627196,80.118398975,5.04999786722329,6.19999738154147,"tree","Vochysia tucanorum","",4,NA
"30",1,2,"31","Leptolobium elegans",4,"7.4","9.5","LEEL",7.4,9.5,43.0083671,70.882124375,1,70.882124375,43.0083671,3.69999843737152,4.7499979939229,"tree","Leptolobium elegans","Vogel",2,NA
"31",1,2,"32","Gochnatia polymorpha",5.5,"12.1","13.2","GOPO",12.1,13.2,114.990047975,136.8476604,1,136.8476604,114.990047975,6.04999744489127,6.59999721260866,"tree","Gochnatia polymorpha","(Less.) G. Sancho",4,NA
"32",1,2,"33","Gochnatia polymorpha",3.6,"6.5+6.5+6","10.5+8.2","GOPO",6.5,10.5,94.64039875,139.400202275,1,139.400202275,94.64039875,5.48862228200311,6.66126583467081,"tree","Gochnatia polymorpha","(Less.) G. Sancho",3,NA
"33",1,2,"34","Gochnatia polymorpha",4.9,"5.4","8.5","GOPO",5.4,8.5,22.9021911,56.744969375,1,56.744969375,22.9021911,2.69999885970354,4.24999820508891,"tree","Gochnatia polymorpha","(Less.) G. Sancho",3,NA
"34",1,2,"35","Annona crassiflora",6,"10.6","15.3","ANCR",10.6,15.3,88.2472631,183.853700775,1,183.853700775,88.2472631,5.29999776164028,7.64999676916003,"tree","Annona crassiflora","Mart.",4,NA
"35",1,2,"36","Vochysia tucanorum",7,"11.5","17.8","VOTU",11.5,17.8,103.868819375,248.8453439,1,248.8453439,103.868819375,5.74999757159087,8.89999624124501,"tree","Vochysia tucanorum","",4,NA
"36",1,2,"37","Diospyros hispida",6,"14.2","15.7","DIBU",14.2,15.7,158.3675519,193.592629775,1,193.592629775,158.3675519,7.09999700144265,7.84999668469363,"tree","Diospyros hispida","A. DC.",4,NA
"37",1,2,"38","Aegiphila verticillata",4,"9.1","10.5","AEVE",9.1,10.5,65.038766975,86.590074375,1,86.590074375,65.038766975,4.5499980783893,5.24999778275689,"tree","Aegiphila verticillata","Vell.",3,NA
