"","X","Genus","Species","Family","Old.name","Code","FG","Life.Form","New.name","NewCode","Authority","species.relative","genus.relative","classification80","classification70","classification66"
"48",48,"Caryocar","brasiliense","Caryocaraceae","Caryocar brasiliense","CABR","S","tree","Caryocar brasiliense","CABR","Cambess.","",NA,"S","S","S"
"50",50,"Plenckia","populnea","Celastraceae","Plenckia populnea","PLPO","S","tree","Plenckia populnea","PLPO","Reissek","",NA,"S","S","S"
"51",51,"Terminalia","glabrescens","Combretaceae","Terminalia glabrescens","TEGL","G","tree","Terminalia glabrescens","TEGL","Mart.","",NA,"F","F","F"
"52",52,"Connarus","suberosus","Connaraceae","Connarus suberosus","COSU","S","treelet","Connarus suberosus","COSU","Planch.","",NA,"S","S","S"
"54",54,"Davilla","elliptica","Dilleniaceae","Davilla elliptica","DAEL","S","shrub","Davilla elliptica","DAEL","A.St.-Hil.","",NA,"S","S","S"
"55",55,"Diospyros","burchelli","Ebenaceae","Diospyros burchelli","DIBU","S","tree","Diospyros lasiocalyx","DILA","(Mart.) B.Walln.","",NA,"S","S","S"
"56",56,"Erythroxylum","cuneifolium","Erythroxylaceae","Erythroxylum cuneifolium","ERCU","S","shrub","Erythroxylum cuneifolium","ERCU","(Mart.) O.E.Schulz","",NA,"G","G","G"
"57",57,"Erythroxylum","deciduum","Erythroxylaceae","Erythroxylum deciduum","ERDE","G","tree","Erythroxylum deciduum","ERDE","A.St.-Hil.","",NA,"G","G","G"
"59",59,"Erythroxylum","suberosum","Erythroxylaceae","Erythroxylum suberosum","ERSU","S","treelet","Erythroxylum suberosum","ERSU","A.St.-Hil.","",NA,"S","S","S"
"60",60,"Erythroxylum","tortuosum","Erythroxylaceae","Erythroxylum tortuosum","ERTO","S","treelet","Erythroxylum tortuosum","ERTO","Mart.","",NA,"S","S","S"
"61",61,"Maprounea","guianensis","Euphorbiaceae","Maprounea guianensis","MAGU","G","tree","Maprounea guianensis","MAGU","Aubl.","",NA,"G","F","F"
"63",63,"Croton","floribundus","Euphorbiaceae","Croton floribundus","CRFL","F","tree","Croton floribundus","CRFL","Spreng.","",NA,"F","F","F"
"64",64,"Anadenanthera","falcata","Fabaceae","Anadenanthera falcata","ANFA","G","tree","Anadenanthera peregrina","ANFA","(Benth.) Altschul","",NA,"G","G","G"
"65",65,"Bauhinia","longifolia","Fabaceae","Bauhinia longifolia","BALO","F","tree","Bauhinia longifolia","BALO","(Bong.) Steud.","Bauhinia rufa",NA,"F","F","F"
"66",66,"Bauhinia","rufa","Fabaceae","Bauhinia rufa","BARU","S","shrub","Bauhinia rufa","BARU","(Bong.) Steud.","",NA,"S","S","S"
"67",67,"Bowdichia","virgilioides","Fabaceae","Bowdichia virgilioides","BOVI","S","tree","Bowdichia virgilioides","BOVI","Kunth","",NA,"S","S","S"
"70",70,"Dimorphandra","mollis","Fabaceae","Dimorphandra mollis","DIMO","S","tree","Dimorphandra mollis","DIMO","Benth.","",NA,"G","S","S"
"72",72,"Leptolobium","elegans","Fabaceae","Leptolobium elegans","LEEL","S","tree","Leptolobium elegans","LEEL","Vogel","",NA,"S","S","S"
"73",73,"Machaerium","acutifolium","Fabaceae","Machaerium acutifolium","MAAC","S","tree","Machaerium acutifolium","MAAC","Vogel","",NA,"G","S","S"
"74",74,"Machaerium","brasiliense","Fabaceae","Machaerium brasiliense","MABR","G","tree","Machaerium brasiliense","MABR","Vogel","",NA,"F","F","F"
"79",79,"Plathymenia","reticulata","Fabaceae","Plathymenia reticulata","PLRE","S","tree","Plathymenia reticulata","PLRE","Benth.","",NA,"G","S","S"
"80",80,"Platypodium","elegans","Fabaceae","Platypodium elegans","PLEL","F","tree","Platypodium elegans","PLEL","Vogel","",NA,"G","G","G"
"83",83,"Stryphnodendron","adstringens","Fabaceae","Stryphnodendron adstringens","STAD","S","tree","Stryphnodendron adstringens","STAD","(Mart.) Coville","",NA,"S","S","S"
"84",84,"Stryphnodendron","rotundifolium","Fabaceae","Stryphnodendron rotundifolium","STRO","S","tree","Stryphnodendron rotundifolium","STRO","Mart.","",NA,"G","S","S"
"86",86,"Copaifera","langsdorffii","Fabaceae","Copaifera langsdorffii","COLA","G","tree","Copaifera langsdorffii","COLA","Desf.","",NA,"G","G","G"
"87",87,"Lacistema","hasslerianum","Lacistemataceae","Lacistema hasslerianum","LAHA","G","treelet","Lacistema hasslerianum","LAHA","Chodat","",NA,"G","G","F"
"88",88,"Aegiphila","verticillata","Lamiaceae","Aegiphila verticillata","AEVE","S","tree","Aegiphila verticillata","AEVE","Vell.","",NA,"S","S","S"
"90",90,"Aegiphila","sellowiana","Lamiaceae","Aegiphila sellowiana","AESE","F","tree","Aegiphila integrifolia","AEIN","(Jacq.) Moldenke","",NA,"G","F","F"
"91",91,"Nectandra","cuspidata","Lauraceae","Nectandra cuspidata","NECU","F","tree","Nectandra cuspidata","NECU","Nees","",NA,"G","F","F"
"93",93,"Nectandra","oppositifolia","Lauraceae","Nectandra oppositifolia","NEOP","F","tree","Nectandra oppositifolia","NEOP","Nees","",NA,"F","F","F"
"94",94,"Ocotea","corymbosa","Lauraceae","Ocotea corymbosa","OCCO","G","tree","Ocotea corymbosa","OCCO","(Meisn.) Mez","",NA,"G","G","G"
"96",96,"Ocotea","minarum","Lauraceae","Ocotea minarum","OCMI","G","tree","Ocotea minarum","OCMI","(Nees & Mart.) Mez","",NA,"G","G","F"
"98",98,"Ocotea","pulchella","Lauraceae","Ocotea pulchella","OCPU","G","tree","Ocotea pulchella","OCPU","(Nees & Mart.) Mez","",NA,"G","G","G"
"100",100,"Ocotea","velloziana","Lauraceae","Ocotea velloziana","OCVE","F","tree","Ocotea velloziana","OCVE","(Meisn.) Mez","",NA,"G","G","G"
"102",102,"Persea","willdenovii","Lauraceae","Persea willdenovii","PEWI","F","tree","Persea willdenovii","PEWI","Kosterm.","",NA,"G","G","F"
"108",108,"Byrsonima","basiloba","Malpighiaceae","Byrsonima basiloba","BYBA","S","tree","Byrsonima basiloba","BYBA","A.Juss.","",NA,"S","S","S"
"109",109,"Byrsonima","coccolobifolia","Malpighiaceae","Byrsonima coccolobifolia","BYCO","S","tree","Byrsonima coccolobifolia","BYCO","Kunth","",NA,"S","S","S"
"111",111,"Byrsonima","laxiflora","Malpighiaceae","Byrsonima laxiflora","BYLA","G","tree","Byrsonima laxiflora","BYLA","Griseb.","",NA,"G","F","F"
"112",112,"Eriotheca","gracilipes","Malvaceae","Eriotheca gracilipes","ERGR","S","tree","Eriotheca gracilipes","ERGR","(K.Schum.) A.Robyns","",NA,"S","S","S"
"114",114,"Luehea","candicans","Malvaceae","Luehea candicans","LUCA","G","tree","Luehea candicans","LUCA","Mart.","",NA,"G","F","F"
"115",115,"Luehea","grandiflora","Malvaceae","Luehea grandiflora","LUGR","G","tree","Luehea grandiflora","LUGR","Mart.","",NA,"G","G","G"
"117",117,"Miconia","albicans","Melastomataceae","Miconia albicans","MIAL","S","treelet","Miconia albicans","MIAL","(Sw.) Steud","",NA,"G","S","S"
"119",119,"Miconia","ligustroides","Melastomataceae","Miconia ligustroides","MILI","S","treelet","Miconia ligustroides","MILI","(DC.) Naudin","",NA,"G","G","G"
"121",121,"Miconia","sellowiana","Melastomataceae","Miconia sellowiana","MISE","G","tree","Miconia sellowiana","MISE","Naudin","",NA,"G","G","F"
"133",133,"Calyptranthes","lucida","Myrtaceae","Calyptranthes lucida","CALU","F","tree","Calyptranthes lucida","CALU","Mart. ex DC.","",NA,"F","F","F"
"134",134,"Campomanesia","adamantium","Myrtaceae","Campomanesia adamantium","CAAD","S","shrub","Campomanesia adamantium","CAAD","(Cambess.) O.Berg","",NA,"S","S","S"
"136",136,"Campomanesia","guazumifolia","Myrtaceae","Campomanesia guazumifolia","CAGU","F","tree","Campomanesia guazumifolia","CAGU","(Cambess.) O.Berg","",NA,"F","F","F"
