OID,Individual,Code,Number,Species,Date,Method,Punch diameter,Fresh Leaf Mass,Dry leaf mass,Number of punches,Leaf area disks cm2,Water content,Scan image name,Scanned leaf area (pixels),Scanned leaf area (cm2),Number leaves,Compound?,Number leaflets,Leaf axis 1,Leaf axis 2,Leaflet or leaf size (mm2),Total leaf size (mm2),Leaf thickness 1 (mm),Leaf thickness 2 (mm),Leaf thickness 3 (mm),SLA (cm2 g-1),Comments
76,STCA3,STCA,,Styrax camporum,,Scan,NA,3.769,1.62,NA,,0.570177766,STCA3.tif,1669634,119.6867857,5,N,NA,NA,NA,2393.735714,2393.735714,0.32,0.28,0.24,73.88073192,Old name STFE3
77,TACA2,TACA,,Tabernaemontana catherinensis,,Scan,NA,3.099,1.038,NA,,0.665053243,,1465883,105.0810085,5,N,NA,NA,NA,2101.62017,2101.62017,0.21,0.15,0.21,101.2341122,
78,PEOB3,PEOB,,Pera obovata,,Scan,NA,4.022,1.749,NA,,0.565141721,PEOB3.tiff,1872299,134.2147136,5,N,NA,NA,NA,2684.294273,2684.294273,0.25,0.26,0.3,76.73797235,
79,Annona1 7,ANCR,,Annona crassiflora,,Scan,NA,17.971,6.898,NA,,0.616159368,Annona1-7.tiff,6113830,438.266507,5,N,NA,NA,NA,8765.33014,8765.33014,0.35,0.35,0.35,63.5353011,
80,DIMO3,DIMO,,Dimorphandra mollis,,Scan,NA,16.07,5.61,NA,,0.650902302,DIMO3 image 1.tiff and DIMO3 image 2.tiff,5988538,429.2850196,1,Y,877,NA,NA,48.94926107,42928.50196,0.2,0.17,0.18,76.52139386,
81,STCA2,STCA,,Styrax camporum,,Scan,NA,4.424,2.127,NA,,0.519213382,,2117079,151.761632,5,N,NA,NA,NA,3035.232639,3035.232639,0.25,0.29,0.28,71.35008555,Old name STFE2
82,ERSU4,ERSU,,Erythroxylem suberosum,,Scan,NA,4.716,1.79,NA,,0.620441052,ERSU4.tiff,1921518,137.7429503,5,N,NA,NA,NA,2754.859006,2754.859006,0.29,0.29,0.27,76.95136889,labeled ERSU4
83,TACA3,TACA,,Tabernaemontana catherinensis,,Scan,NA,1.273,0.424,NA,,0.666928515,,627174,44.95861976,5,N,NA,NA,NA,899.1723952,899.1723952,0.16,0.19,0.17,106.0344806,5 leaves
84,VOTU2,VOTU,,Vochysia tucanorum,,Scan,NA,5.851,2.075,NA,,0.645359768,VOTU2,2108728,151.1629952,5,N,NA,NA,NA,3023.259903,3023.259903,0.35,0.32,0.37,72.84963622,
85,ERCU2,ERCU,,Erythroxylem cuneifolium,,Scan,NA,0.278,0.103,NA,,0.629496403,ERCU2.tiff,184133,13.19947181,28,N,NA,NA,NA,47.14097075,47.14097075,0.25,0.2,0.22,128.1502117,
86,GOBA2,GOBA,,Gochnetia barrosii,,Scan,NA,5.932,2.54,NA,,0.571813891,GOBA2.tiff,3170246,227.2573233,5,N,NA,NA,NA,4545.146465,4545.146465,0.48,0.53,0.45,89.47138711,
87,DIBU3,DIBU,,Diospyros burchelli,,Scan,NA,20.841,8.722,NA,,0.581498009,DIBU3 image 1 and DIBU3 image 2,6446908,462.1430184,4,,NA,NA,NA,11553.57546,11553.57546,0.49,0.48,0.47,52.98589984,"labeled ""DIBU3?"""
88,QUGR2,QUGR,,Qualea grandiflora,,Scan,NA,NA,5.102,NA,,NA,QUGR2.tiff,4567774,327.4383415,5,,NA,NA,NA,6548.766831,6548.766831,0.23,0.29,0.32,64.17842837,
89,CABR2,CABR,,Caryocar brasiliensis,,Scan,NA,NA,4.433,NA,,NA,CABR2.tif,3449869,247.3019427,1,Y,3,NA,NA,8243.398089,24730.19427,0.45,0.43,0.49,55.78658756,
90,RALI-A,RALI,,Rapanea lancifolia,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,79,18.5,1147.859416,1147.859416,0.27,0.29,0.2,#DIV/0!,Tree 5075
91,GOPO-A,GOPO,,Gochnetia polymorpha,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,62.69,41.3,2033.472029,2033.472029,0.41,0.43,0.36,#DIV/0!,Tree 5101
92,TAGU-A,TAGU,,Taparira guianensis,,Punch,,NA,,,0,NA,NA,,0,NA,Y,7.5,111.08,40.9,3568.198945,26761.49209,0.24,0.24,0.24,#DIV/0!,Tree 1243
93,CAAD-A,CAAD,,Campomanesia adamantium,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,52.94,19.85,825.3427286,825.3427286,0.22,0.23,0.23,#DIV/0!,Tree 5155
94,MAAC-A,MAAC,,Macharium acutifolium,,Punch,,NA,,,0,NA,NA,,0,NA,Y,15,88.6,35.5,2470.312843,37054.69265,0.23,0.23,0.22,#DIV/0!,Tree 1159
95,OCCO-A,OCCO,,Ocotea corymbosa,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,61.5,36.5,1763.022527,1763.022527,0.34,0.29,0.25,#DIV/0!,Tree 5108
96,OCCO-B,OCCO,,Ocotea corymbosa,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,77.3,24.36,1478.926733,1478.926733,0.25,0.27,0.28,#DIV/0!,Tree 1215
97,OUSP-A,OUSP,,Ouratea spectabilis,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,181.5,81.51,11619.23148,11619.23148,0.65,0.48,0.56,#DIV/0!,Tree 5068
98,OUSP-B,OUSP,,Ouratea spectabilis,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,110.8,53.54,4659.164118,4659.164118,0.37,0.39,0.47,#DIV/0!,Tree 5135
99,LEEL-A,LEEL,,Leptolobium elegans,,Punch,,NA,,,0,NA,NA,,0,NA,Y,9,54.92,23.98,1034.35493,9309.194369,0.29,0.28,0.33,#DIV/0!,Tree 1564
100,PLPO-A,PLPO,,Plenckia populnea,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,99.56,67.07,5244.487754,5244.487754,0.26,0.22,0.25,#DIV/0!,Tree 1559
101,TAGU-B,TAGU,,Taparira guianensis,,Punch,,NA,,,0,NA,NA,,0,NA,Y,8,86.4,32.05,2174.861762,17398.8941,0.25,0.21,0.22,#DIV/0!,Tree 1513
102,OCPU-A,OCPU,,Ocotea pulchella,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,53,25,1040.652567,1040.652567,0.24,0.24,0.25,#DIV/0!,Tree 5177
103,LEEL-B,LEEL,,Leptolobium elegans,,Punch,,NA,,,0,NA,NA,,0,NA,Y,9,48.8,23.17,888.0465618,7992.419056,0.24,0.25,0.24,#DIV/0!,Tree 1173
104,MILI-A,MILI,,Miconia ligustroides,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,63.85,24.09,1208.057436,1208.057436,0.2,0.25,0.25,#DIV/0!,Tree 1238
105,MILI-B,MILI,,Miconia ligustroides,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,68.07,31.84,1702.231767,1702.231767,0.34,0.32,0.29,#DIV/0!,Tree 1620
106,BYBA-A,BYBA,,Byrsonima basiloba,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,182.82,97.4,13985.32434,13985.32434,0.5,0.48,0.5,#DIV/0!,Tree 1052
107,VOTU3,VOTU,3,Vochysia tucanorum,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,80.5,43.58,2755.325983,2755.325983,0.23,0.29,0.28,#DIV/0!,Tree 8355 -- not labeled in field
108,SCVI-A,SCVI,,Schefflera vinosa,,Punch,,NA,,,0,NA,NA,,0,NA,Y,7,115.08,24.84,2245.129137,15715.90396,0.35,0.35,0.34,#DIV/0!,Tree 5091
109,LEEL-C,LEEL,,Leptolobium elegans,,Punch,,NA,,,0,NA,NA,,0,NA,Y,9,58.69,25.94,1195.704772,10761.34295,0.29,0.3,0.33,#DIV/0!,Tree 1565
110,PLPO-B,PLPO,,Plenckia populnea,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,66.17,52.17,2711.264282,2711.264282,0.25,0.24,0.26,#DIV/0!,Tree 8330
111,RAFE-A,RAFE,,Rapanea ferruginea,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,82.46,19.32,1251.239177,1251.239177,0.21,0.2,0.19,#DIV/0!,Tree 1195
112,RAUM-A,RAUM,,Rapanea umbellata,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,120.7,47.5,4502.88402,4502.88402,0.4,0.37,0.39,#DIV/0!,Tree 5024
113,ANCR-A,ANCR,,Annona crassiflora,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,69.35,55.86,3042.546877,3042.546877,0.36,0.39,0.38,#DIV/0!,Tree 1324
114,RAUM-B,RAUM,,Rapanea umbellata,,Punch,,NA,,,0,NA,NA,,0,NA,N,NA,61.74,18.75,909.1965489,909.1965489,0.43,0.44,0.42,#DIV/0!,Tree 1057
