OID,Individual,Code,Number,Species,Date,Method,Punch diameter,Fresh Leaf Mass,Dry leaf mass,Number of punches,Leaf area disks cm2,Water content,Scan image name,Scanned leaf area (pixels),Scanned leaf area (cm2),Number leaves,Compound?,Number leaflets,Leaf axis 1,Leaf axis 2,Leaflet or leaf size (mm2),Total leaf size (mm2),Leaf thickness 1 (mm),Leaf thickness 2 (mm),Leaf thickness 3 (mm),SLA (cm2 g-1),Comments
262,ANCO6,ANCO,6,Annona coriacea,,Punch,,,,,,,,,0,,N,NA,90.24,61.62,4367.276231,4367.276231,0.39,0.41,0.42,#DIV/0!,
263,LAHA2,LAHA,2,Lacistema hasserliana,,Punch,,,,,,,,,0,,N,NA,57.49,24.37,1100.36741,1100.36741,0.21,0.21,0.21,#DIV/0!,
264,CAAD4,CAAD,4,Campomanesia adamantium,,Punch,,,,,,,,,0,,N,NA,74.68,33.26,1950.816569,1950.816569,0.44,0.4,0.33,#DIV/0!,
265,STRO5,STRO,5,Stryphnodendron rotundifolium,,Punch,,,,,,,,,0,,Y,190,11.08,8.37,72.83751151,13839.12719,0.18,0.19,0.2,#DIV/0!,
266,SYPU3,SYPU,3,Symplocos pubescens,5-Jul,Punch,,,,,,,,,0,,N,NA,103.21,42.4,3436.984044,3436.984044,0.27,0.26,0.26,#DIV/0!,
267,ERGR3,ERGR,3,Eriotheca gracilis,5-Jul,Punch,,,,,,,,,0,,Y,5,74.57,29.82,1746.472146,8732.36073,0.42,0.44,0.41,#DIV/0!,
268,POTO3,POTO,3,Pouteria torta,5-Jul,Punch,,,,,,,,,0,,N,NA,91.48,50.53,3630.490758,3630.490758,0.33,0.28,0.29,#DIV/0!,
269,RAFE5A,RAFE,5,Rapanea ferruginea,5-Jul,Punch,,,,,,,,,0,,N,NA,76.1,18.7,1117.676564,1117.676564,0.22,0.24,0.23,#DIV/0!,
270,CASY4,CASY,4,Casearia sylvestris,5-Jul,Punch,,,,,,,,,0,,N,NA,59.68,22.19,1040.102159,1040.102159,0.22,0.19,0.17,#DIV/0!,
271,DAEL1,DAEL,1,,5-Jul,Punch,,,,,,,,,0,,N,NA,48.65,23.94,914.7383183,914.7383183,0.2,0.26,0.28,#DIV/0!,
272,QUGR4,QUGR,4,Qualea grandiflora,5-Jul,Punch,,,,,,,,,0,,N,NA,124.91,55.17,5412.402347,5412.402347,0.41,0.32,0.4,#DIV/0!,
273,DUFU4,DUFU,4,Duguettia furfurea,5-Jul,Punch,,,,,,,,,0,,N,NA,108.65,34.18,2916.699387,2916.699387,0.33,0.35,0.34,#DIV/0!,
274,ANDI3,ANDI,3,Annona dioica,5-Jul,Punch,,,,,,,,,0,,N,NA,147.56,91.37,10589.17566,10589.17566,0.43,0.34,0.42,#DIV/0!,
275,ROMO5,ROMO,5,Roupala montana,5-Jul,Punch,,,,,,,,,0,,N,NA,147.09,66.33,7662.721238,7662.721238,0.43,0.29,0.31,#DIV/0!,
276,ERGR2,ERGR,2,Eriotheca gracilis,5-Jul,Punch,,,,,,,,,0,,Y,5,87.23,32.11,2199.865148,10999.32574,0.36,0.39,0.43,#DIV/0!,
277,TOFO5,TOFO,5,Tocoyena formosa,5-Jul,Punch,,,,,,,,,0,,N,NA,158,88.15,10938.79,10938.79,0.57,0.66,0.67,#DIV/0!,
278,SYPU5,SYPU,5,Symplocos pubescens,7-Jul,Punch,,,,,,,,,0,,N,NA,116.13,39.59,3610.93615,3610.93615,0.26,0.27,0.26,#DIV/0!,
279,DUFU5,DUFU,5,Duguettia furfurea,7-Jul,Punch,,,,,,,,,0,,N,NA,123.51,43.47,4216.786796,4216.786796,0.34,0.33,0.34,#DIV/0!,
280,MABR5,MABR,5,Machaerium brasiliense,7-Jul,Punch,,,,,,,,,0,,Y,7,48.8,19.04,729.7542743,5108.27992,0.18,0.17,0.17,#DIV/0!,
281,ERGR5,ERGR,5,Eriotheca gracilis,7-Jul,Punch,,,,,,,,,0,,Y,5,139.07,57.38,6267.34901,31336.74505,0.35,0.35,0.35,#DIV/0!,
282,COSU3,COSU,3,Connarus suberosum,7-Jul,Punch,,,,,,,,,0,,Y,6,57.11,37.14,1665.88087,9995.285218,0.53,0.43,0.46,#DIV/0!,
283,CASY5,CASY,5,Casearia sylvestris,7-Jul,Punch,,,,,,,,,0,,N,NA,56.95,16.63,743.8337145,743.8337145,0.12,0.11,0.11,#DIV/0!,
284,SYPU4,SYPU,4,Symplocos pubescens,7-Jul,Punch,,,,,,,,,0,,N,NA,78.24,27.24,1673.885805,1673.885805,0.35,0.32,0.36,#DIV/0!,
285,RAGU5,RAGU,5,Rapanea guianensis,7-Jul,Punch,,,,,,,,,0,,N,NA,70.27,34.8,1920.609527,1920.609527,0.41,0.42,0.41,#DIV/0!,
286,RAUM4,RAUM,4,Rapanea umbellata,7-Jul,Punch,,,,,,,,,0,,N,NA,114.94,40.78,3681.360055,3681.360055,0.5,0.45,0.42,#DIV/0!,
287,PEOB4,PEOB,4,Pera obovata,7-Jul,Punch,,,,,,,,,0,,N,NA,63.51,38.53,1921.900957,1921.900957,0.28,0.28,0.22,#DIV/0!,
288,ERGR4,ERGR,4,Eriotheca gracilis,7-Jul,Punch,,,,,,,,,0,,Y,5,68.34,31.61,1696.638632,8483.193162,0.35,0.31,0.35,#DIV/0!,
289,MYMU4,MYMU,4,Myrcia multiflora,7-Jul,Punch,,,,,,,,,0,,N,NA,41.25,18.06,585.1019968,585.1019968,0.24,0.3,0.24,#DIV/0!,
290,QUGR5,QUGR,5,Qualea grandiflora,7-Jul,Punch,,,,,,,,,0,,N,NA,140.41,42.72,4711.065742,4711.065742,0.29,0.28,0.28,#DIV/0!,
291,TAOC4,TAOC,4,Tabebuia ochracea,7-Jul,Punch,,,,,,,,,0,,Y,5,76.04,35.81,2138.63323,10693.16615,0.41,0.42,0.39,#DIV/0!,
292,MYTO5,MYTO,5,Myrcia tomentosa,7-Jul,Punch,,,,,,,,,0,,N,NA,88.18,44.13,3056.285375,3056.285375,0.21,0.22,0.24,#DIV/0!,
293,BYCO2,BYCO,2,Byrsonima cocolobifolia,7-Jul,Punch,,,,,,,,,0,,N,NA,59.6,42.6,1994.094521,1994.094521,0.23,0.26,0.25,#DIV/0!,
294,TAGU5,TAGU,5,Taparira guianensis,7-Jul,Punch,,,,,,,,,0,,Y,9,75.82,25.15,1497.654552,13478.89097,0.2,0.23,0.23,#DIV/0!,
295,JACA4,JACA,4,Jacaranda caroba,7-Jul,Scan,,,,,,,,354596,10.00748711,3,Y,195,20.45,5.96,95.72589895,18666.5503,0.16,0.17,0.17,#DIV/0!,
296,JACA3,JACA,3,Jacaranda caroba,7-Jul,Scan,,,,,,,,548731,15.48640822,3,Y,120,30.48,6.36,152.2516331,18270.19597,0.14,0.15,0.15,#DIV/0!,
297,T2,STRO,,Stryphnodendron rotundifolium,,Scan,,,2.6,,,,,2455111,69.28868822,1,Y,151,NA,NA,45.88654849,6928.868822,NA,NA,NA,26.64949547,
298,T4,MYFA,,Myrica fallax,,Scan,,,0.9,,,,,1216143,34.322258,54,N,NA,NA,NA,63.55973704,63.55973704,NA,NA,NA,38.13584222,
299,T3,OCCO,,Ocotea corymbosa,,Scan,,,3.3,,,,,3704521,104.5498149,20,N,NA,NA,NA,522.7490744,522.7490744,NA,NA,NA,31.68176209,
300,T1,GOPO,,Gochnatia polymorpha,,Scan,,,1.9,,,,,2015400,56.87906667,16,N,NA,NA,NA,355.4941667,355.4941667,NA,NA,NA,29.93635088,
301,COSU5,COSU,5,Connarus suberosum,11-Jul,Punch,,,,,,,,,0,,Y,7,53.23,39.45,1649.27606,11544.93242,0.3,0.36,0.31,#DIV/0!,
302,COSU4,COSU,4,Connarus suberosum,11-Jul,Punch,,,,,,,,,0,,Y,7,48.04,27.87,1051.549809,7360.848663,0.27,0.29,0.32,#DIV/0!,
303,QUCO5,QUCO,5,Qualea cordata,11-Jul,Punch,,,,,,,,,0,,N,NA,104.63,48.87,4015.951375,4015.951375,0.26,0.2,0.24,#DIV/0!,
304,ALED3,ALED,3,Alibertia edulis,11-Jul,Punch,,,,,,,,,0,,N,NA,126.62,74.02,7361.075486,7361.075486,0.23,0.25,0.27,#DIV/0!,
305,BYCO4,BYCO,4,Byrsonima cocolobifolia,11-Jul,Punch,,,,,,,,,0,,N,NA,97.68,46.5,3567.372706,3567.372706,0.32,0.3,0.31,#DIV/0!,
306,LUGR1,LUGR,1,Luehea grandiflora,11-Jul,Punch,,,,,,,,,0,,N,NA,100.58,94.71,7481.64934,7481.64934,0.47,0.46,0.47,#DIV/0!,
307,JACA5,JACA,5,Jacaranda caroba,11-Jul,Scan,,,,,,,,312880,8.830168889,4,Y,75,19.76,5.12,79.45967467,5959.4756,0.16,0.13,0.16,#DIV/0!,
308,RAFE4,RAFE,4,Rapanea ferruginea,11-Jul,Punch,,,,,,,,,0,,N,NA,97.15,36.65,2796.447467,2796.447467,0.47,0.45,0.45,#DIV/0!,
309,PEOB5,PEOB,5,Pera obovata,11-Jul,Punch,,,,,,,,,0,,N,NA,68.68,42.09,2270.382829,2270.382829,0.28,0.23,0.25,#DIV/0!,
310,LAHA4,LAHA,4,Lacistema hasserliana,11-Jul,Punch,,,,,,,,,0,,N,NA,85.53,32.65,2193.267175,2193.267175,0.23,0.23,0.24,#DIV/0!,
311,LAHA3,LAHA,3,Lacistema hasserliana,11-Jul,Punch,,,,,,,,,0,,N,NA,98.76,34.85,2703.172403,2703.172403,0.24,0.26,0.25,#DIV/0!,
312,BARU5,BARU,5,Bauhinia rufus,11-Jul,Punch,,,,,,,,,0,,N,NA,83.44,89.3,5852.152512,5852.152512,0.34,0.36,0.38,#DIV/0!,
313,PLEL1,PLEL,1,Platypodium elegans,11-Jul,Punch,,,,,,,,,0,,Y,13,41.01,14.56,468.9656416,6096.553341,0.2,0.21,0.21,#DIV/0!,
314,CUVE1,CUVE,1,Cupania vernalis,11-Jul,Punch,,,,,,,,,0,,Y,12,99.38,39.19,3058.891955,36706.70346,0.27,0.18,0.23,#DIV/0!,
315,BYCO3,BYCO,3,Byrsonima cocolobifolia,11-Jul,Punch,,,,,,,,,0,,N,NA,98.35,48.04,3710.797406,3710.797406,0.31,0.31,0.32,#DIV/0!,
316,RAUM5,RAUM,5,Rapanea umbellata,11-Jul,Punch,,,,,,,,,0,,N,NA,98.91,32,2485.879435,2485.879435,0.35,0.36,0.33,#DIV/0!,
317,QUCO3,QUCO,3,Qualea cordata,11-Jul,Punch,,,,,,,,,0,,N,NA,117.6,56.1,5181.554427,5181.554427,0.24,0.25,0.26,#DIV/0!,
318,VOTU5,VOTU,5,Vochysia tucanorum,11-Jul,Punch,,,,,,,,,0,,N,NA,77.2,24.32,1474.588193,1474.588193,0.32,0.31,0.33,#DIV/0!,
319,MYMU5,MYMU,5,Myrcia multiflora,11-Jul,Punch,,,,,,,,,0,,N,NA,53.64,21.44,903.2405605,903.2405605,0.26,0.27,0.24,#DIV/0!,
320,QUCO4,QUCO,4,Qualea cordata,11-Jul,Punch,,,,,,,,,0,,N,NA,104.31,57.93,4745.908439,4745.908439,0.26,0.26,0.26,#DIV/0!,
321,CAGU2,CAGU,2,Campomanesia guazumifolia,14-Jul,Punch,,,,,,,,,0,,N,NA,83.01,30.52,1989.778915,1989.778915,0.28,0.34,0.31,#DIV/0!,
322,SIGU4,SIGU,4,Siparuna guanensis,14-Jul,Punch,,,,,,,,,0,,N,NA,134.68,59.06,6247.2147,6247.2147,0.25,0.28,0.27,#DIV/0!,
323,CAGU5,CAGU,5,Campomanesia guazumifolia,14-Jul,Punch,,,,,,,,,0,,N,NA,99.45,40.09,3131.3436,3131.3436,0.31,0.21,0.27,#DIV/0!,
324,CASY6,CASY,6,Casearia sylvestris,14-Jul,Punch,,,,,,,,,0,,N,NA,70.48,24.51,1356.747681,1356.747681,0.14,0.15,0.15,#DIV/0!,
325,COLA6,COLA,6,Copaifera langsdorffi,14-Jul,Punch,,,,,,,,,0,,Y,6,68.22,33.34,1786.352623,10718.11574,0.16,0.18,0.17,#DIV/0!,
326,SIGU3,SIGU,3,Siparuna guanensis,14-Jul,Punch,,,,,,,,,0,,N,NA,195.81,76.24,11724.85921,11724.85921,0.22,0.24,0.21,#DIV/0!,
327,OCMI4,OCMI,4,Ocotea minarum,14-Jul,Punch,,,,,,,,,0,,N,NA,148.96,44.15,5165.236995,5165.236995,0.2,0.2,0.21,#DIV/0!,
328,OCVE3,OCVE,3,Ocotea velloziana,14-Jul,Punch,,,,,,,,,0,,N,NA,109.32,57.92,4972.995401,4972.995401,0.25,0.19,0.21,#DIV/0!,
329,ANCA1,ANCA,1,Annona cagans,14-Jul,Punch,,,,,,,,,0,,N,NA,169.67,47.2,6289.801501,6289.801501,0.19,0.19,0.18,#DIV/0!,
330,OCVE5,OCVE,5,Ocotea velloziana,14-Jul,Punch,,,,,,,,,0,,N,NA,119.18,56.58,5296.100351,5296.100351,0.27,0.3,0.28,#DIV/0!,
331,OCMI3,OCMI,3,Ocotea minarum,14-Jul,Punch,,,,,,,,,0,,N,NA,91.35,25.76,1848.180109,1848.180109,0.17,0.17,0.2,#DIV/0!,
332,CAGU4,CAGU,4,Campomanesia guazumifolia,14-Jul,Punch,,,,,,,,,0,,N,NA,113.77,49.91,4459.695525,4459.695525,0.26,0.26,0.28,#DIV/0!,
333,OCVE4,OCVE,4,Ocotea velloziana,14-Jul,Punch,,,,,,,,,0,,N,NA,176.58,89.63,12430.39102,12430.39102,0.31,0.27,0.27,#DIV/0!,
334,OCVE6,OCVE,6,Ocotea velloziana,14-Jul,Punch,,,,,,,,,0,,N,NA,132.29,57.32,5955.566516,5955.566516,0.24,0.25,0.23,#DIV/0!,Relable from field -- tree 9235
335,CAGU3,CAGU,3,Campomanesia guazumifolia,14-Jul,Punch,,,,,,,,,0,,N,NA,59.71,40.06,1878.658741,1878.658741,0.28,0.25,0.29,#DIV/0!,
336,OCMI1,OCMI,1,Ocotea minarum,14-Jul,Punch,,,,,,,,,0,,N,NA,142.93,32.99,3703.357094,3703.357094,0.22,0.21,0.19,#DIV/0!,
337,EUMY1,EUMY,1,Eugenia myrcianthes,14-Jul,Punch,,,,,,,,,0,,N,NA,108.59,48.19,4109.950968,4109.950968,0.39,0.43,0.43,,
338,OCVE2,OCVE,2,Ocotea velloziana,14-Jul,Punch,,,,,,,,,0,,N,NA,74.99,24.19,1424.71863,1424.71863,0.26,0.25,0.26,,
339,OCVE1,OCVE,1,Ocotea velloziana,14-Jul,Punch,,,,,,,,,0,,N,NA,144.97,52.8,6011.764268,6011.764268,0.25,0.26,0.25,,
340,OCMI2,OCMI,2,Ocotea minarum,14-Jul,Punch,,,,,,,,,0,,N,NA,77.92,21.18,1296.178403,1296.178403,0.24,0.26,0.22,,
341,OCMI6,OCMI,6,Ocotea minarum,14-Jul,Punch,,,,,,,,,0,,N,NA,107.58,26.51,2239.912993,2239.912993,0.27,0.27,0.24,,Tree 9236
342,CAGU1,CAGU,1,Campomanesia guazumifolia,14-Jul,Punch,,,,,,,,,0,,N,NA,76.64,36.94,2223.526289,2223.526289,0.25,0.34,0.32,,
343,BALO1,BALO,1,Bauhinia longifolia,15-Jul,Punch,,,,,,,,,0,,N,NA,67.54,55.21,2928.658174,2928.658174,0.25,0.28,0.27,,no tag
344,LIMO5,LIMO,5,Lithraea molloides,15-Jul,Punch,,,,,,,,,0,,Y,5,87.36,20.54,1409.298358,7046.491791,0.23,0.26,0.23,,no tag
345,LAHA5,LAHA,5,Lacistema hasserliana,15-Jul,Punch,,,,,,,,,0,,N,NA,97.36,31.13,2380.397948,2380.397948,0.23,0.24,0.22,,2699
346,NEOP1,NEOP,1,Nectandra oppositifolia,15-Jul,Punch,,,,,,,,,0,,N,NA,185.25,77.57,11286.04791,11286.04791,0.38,0.37,0.38,,2850
347,TAOC5,TAOC,5,Tabebuia ochracea,15-Jul,Punch,,,,,,,,,0,,Y,5,110.52,63.73,5531.904526,27659.52263,0.36,0.37,0.37,,2743
348,LUCA1,LUCA,1,Luehea candicans,15-Jul,Punch,,,,,,,,,0,,N,NA,85.57,43.18,2901.97757,2901.97757,0.19,0.18,0.2,,no tag
349,CUVE2,CUVE,2,Cupania vernalis,15-Jul,Punch,,,,,,,,,0,,Y,9,147.35,55.54,6427.556412,57848.00771,0.21,0.19,0.2,,2774
350,ALED4,ALED,4,Alibertia edulis,15-Jul,Punch,,,,,,,,,0,,N,NA,116.72,41.44,3798.874155,3798.874155,0.18,0.23,0.21,,2775
351,OCMI5,OCMI,5,Ocotea minarum,15-Jul,Punch,,,,,,,,,0,,N,NA,123.64,27.52,2672.374428,2672.374428,0.21,0.2,0.23,,2760
352,EUMY2,EUMY,2,Eugenia myrcianthes,15-Jul,Punch,,,,,,,,,0,,N,NA,69.79,39.26,2151.955939,2151.955939,0.28,0.32,0.26,,2863
353,SIGU2,SIGU,2,Siparuna guanensis,15-Jul,Punch,,,,,,,,,0,,N,NA,131.33,56.94,5873.152645,5873.152645,0.29,0.27,0.26,,9144
354,LIMO4,LIMO,4,Lithraea molloides,15-Jul,Punch,,,,,,,,,0,,Y,5,75.62,22.91,1360.666347,6803.331734,0.26,0.24,0.23,,2784
355,SIGU5,SIGU,5,Siparuna guanensis,15-Jul,Punch,,,,,,,,,0,,N,NA,181.32,98.33,14003.01748,14003.01748,0.24,0.23,0.23,,no tag
356,CUTE1,CUTE,1,Cupania tenuivalvis,15-Jul,Punch,,,,,,,,,0,,Y,4,70.23,36.28,2001.150852,8004.603409,0.28,0.35,0.33,,2841
357,EUMY4,EUMY,4,Eugenia myrcianthes,15-Jul,Punch,,,,,,,,,0,,N,NA,102.08,32.43,2600.024806,2600.024806,0.26,0.25,0.24,,2843
358,PRHE2,PRHE,2,Protium heptaphyllum,15-Jul,Punch,,,,,,,,,0,,Y,5,86.46,27.34,1856.537059,9282.685296,0.18,0.18,0.15,,2779
359,MIAL2,MIAL,2,Miconia albicans,18-Jul,Punch,,,,,,,,,0,,N,5,95.64,73.46,5517.983186,27589.91593,0.23,0.2,0.23,,
360,CUVE3,CUVE,3,Cupania vernalis,18-Jul,Punch,,,,,,,,,0,,Y,13,184.6,60.59,8784.610913,114199.9419,0.22,0.24,0.22,,
361,CUVE4,CUVE,4,Cupania vernalis,18-Jul,Punch,,,,,,,,,0,,Y,16,115.19,30.03,2716.814534,43469.03254,0.16,0.18,0.18,,check against clipboard
362,DIMO4,DIMO,4,Dimorphandra mollis,18-Jul,Scan,,,,,,,,506938,14.30691689,1,Y,450,9.63,5.4,40.84227529,18379.02388,0.16,0.17,0.18,,check if bags labeled DIMO3 -- actually DIMO4
363,ZEMO4,ZEMO,4,Zeyheria montana,18-Jul,Punch,,,,,,,,,0,,Y,7,107.4,34.63,2921.101544,20447.71081,0.24,0.27,0.26,,
364,BADR4,BADR,4,Baccharis dracunculifolia,18-Jul,Scan,,,,,,,,503037,14.196822,NA,N,NA,21.88,4.12,70.80018868,70.80018868,0.2,0.22,0.19,,
365,LUGR2,LUGR,2,Luehea grandiflora,18-Jul,Punch,,,,,,,,,0,,N,NA,179.38,111.7,15736.82351,15736.82351,0.29,0.25,0.22,,
366,BADR3,BADR,3,Baccharis dracunculifolia,18-Jul,Scan,,,,,,,,768273,21.68237133,NA,N,NA,29.02,5.74,130.827542,130.827542,0.18,0.19,0.2,,
367,LUGR3,LUGR,3,Luehea grandiflora,18-Jul,Punch,,,,,,,,,0,,N,NA,137.09,106.81,11500.25772,11500.25772,0.26,0.26,0.28,,
368,STAD4,STAD,4,Stryphnodendron adstringens,18-Jul,Punch,,,,,,,,,0,,Y,420,17.07,11.89,159.4062177,66950.61142,0.18,0.15,0.15,,
369,BADR2,BADR,2,Baccharis dracunculifolia,18-Jul,Scan,,,,,,,,845957,23.87478644,NA,N,NA,24.51,5.5,105.8755994,105.8755994,0.19,0.19,0.12,,
370,BADR5,BADR,5,Baccharis dracunculifolia,18-Jul,Scan,,,,,,,,652022,18.40150978,NA,N,NA,24.62,6.28,121.4332375,121.4332375,0.18,0.17,0.16,,
371,DIMO5,DIMO,5,Dimorphandra mollis,18-Jul,Scan,,,,,,,,626461,17.68012156,NA,Y,800,11.89,5.33,49.77358759,39818.87007,0.17,0.14,0.14,,
372,ANFA1,ANFA,1,Anadenanthera falcata,20-Jul,Scan,NA,NA,,NA,NA,NA,ANFA1.bmp,305528,8.622679111,NA,Y,1560,6.15,1.34,6.472466265,10097.04737,0.2,0.14,0.14,,Excel screwup -- check data sheets for comments if problems 
373,ANFA2,ANFA,2,Anadenanthera falcata,20-Jul,Scan,NA,NA,,NA,NA,NA,ANFA2.bmp,259650,7.3279,NA,Y,420,5.23,1.1,4.518395634,1897.726166,0.16,0.13,0.17,,
374,ANFA3,ANFA,3,Anadenanthera falcata,20-Jul,Scan,NA,NA,,NA,NA,NA,ANFA3.bmp,324472,9.157320889,NA,Y,1974,8.15,1.52,9.729512448,19206.05757,0.26,0.26,0.15,,
375,ANFA4,ANFA,4,Anadenanthera falcata,20-Jul,Scan,NA,NA,,NA,NA,NA,ANFA4.bmp,146070,4.12242,NA,Y,1440,6.09,1.22,5.835351274,8402.905835,0.22,0.13,0.17,,
376,ANFA5,ANFA,5,Anadenanthera falcata,20-Jul,Scan,NA,NA,,NA,NA,NA,ANFA5.bmp,380010,10.72472667,NA,Y,1736,7.38,1.74,10.0854549,17508.3497,0.16,0.19,0.17,,
377,PLRE1,PLRE,1,Platymenia reticulata,20-Jul,Scan,NA,NA,,NA,NA,NA,PLRE1.bmp,423197,11.94355978,NA,Y,127,14.53,8.33,95.06058817,12072.6947,0.16,0.16,0.17,,
378,GUNI1,GUNI,1,Guatteria nigrescens,20-Jul,Punch,,,,,,,,,0,,N,NA,61.31,23,1107.513512,1107.513512,0.23,0.23,0.22,,
379,QUMU3,QUMU,3,Qualea multiflora,20-Jul,Punch,,,,,,,,,0,,N,NA,178.93,74.05,10406.34227,10406.34227,0.24,0.31,0.28,,
380,DARA2,DARA,2,Daphnopsis racemosa,20-Jul,Punch,,,,,,,,,0,,N,NA,80.23,20.42,1286.715141,1286.715141,0.3,0.29,0.29,,
381,DARA3,DARA,3,Daphnopsis racemosa,20-Jul,Punch,,,,,,,,,0,,N,NA,66.66,14.14,740.2946318,740.2946318,0.28,0.26,0.27,,
382,GUNI2,GUNI,2,Guatteria nigrescens,20-Jul,Punch,,,,,,,,,0,,N,NA,76.07,32.69,1953.07184,1953.07184,0.23,0.21,0.22,,
383,QUMU4,QUMU,4,Qualea multiflora,20-Jul,Punch,,,,,,,,,0,,N,NA,126.01,41.75,4131.914942,4131.914942,0.24,0.22,0.22,,
384,GUNI3,GUNI,3,Guatteria nigrescens,20-Jul,Punch,,,,,,,,,0,,N,NA,82.48,29.53,1912.942784,1912.942784,0.23,0.22,0.22,,
385,POTO4,POTO,4,Pouteria torta,20-Jul,Punch,,,,,,,,,0,,N,NA,182.01,76.44,10927.12244,10927.12244,0.29,0.31,0.26,,
386,BYCO5,BYCO,5,Byrsonima cocolobifolia,20-Jul,Punch,,,,,,,,,0,,N,NA,78.15,48.11,2952.937266,2952.937266,0.39,0.33,0.4,,
387,SIGU6,SIGU,6,Siparuna guanensis,20-Jul,Punch,,,,,,,,,0,,N,NA,140.72,57.12,6312.972632,6312.972632,0.23,0.25,0.26,,Labeled CALU2 originally - certainly a SIGU
388,AMIN6,AMIN,6,Amaioua intermedia,20-Jul,Punch,,,,,,,,,0,,N,NA,127.09,39.09,3901.817314,3901.817314,0.25,0.26,0.26,,
389,DARA4,DARA,4,Daphnopsis racemosa,20-Jul,Punch,,,,,,,,,0,,N,NA,84.7,17.64,1173.469679,1173.469679,0.35,0.37,0.31,,
390,NECU1,NECU,1,Nectandra cuspidata,20-Jul,Punch,,,,,,,,,0,,N,NA,126.04,25.46,2520.325742,2520.325742,0.32,0.23,0.23,,
391,GUNI4,GUNI,4,Guatteria nigrescens,20-Jul,Punch,,,,,,,,,0,,N,NA,99,32.66,2539.459298,2539.459298,0.21,0.2,0.2,,
392,MYVE1,MYVE,1,Myrcia venulosa,20-Jul,Punch,,,,,,,,,0,,N,NA,52.1,24.89,1018.479991,1018.479991,0.4,0.44,0.44,,
393,AMIN5,AMIN,5,Amaioua intermedia,20-Jul,Punch,,,,,,,,,0,,N,NA,91.18,44.04,3153.819104,3153.819104,0.19,0.22,0.2,,
394,DARA5,DARA,5,Daphnopsis racemosa,20-Jul,Punch,,,,,,,,,0,,N,NA,58.91,15.37,711.1361752,711.1361752,0.31,0.32,0.3,,
395,PLRE2,PLRE,2,Platymenia reticulata,20-Jul,Punch,,,,,,,,,0,,Y,70,16.86,9.93,131.4912034,9204.384241,0.12,0.12,0.12,,
396,QUMU5,QUMU,5,Qualea multiflora,20-Jul,Punch,,,,,,,,,0,,N,NA,125.23,38.34,3770.946496,3770.946496,0.31,0.29,0.3,,
397,POTO5,POTO,5,Pouteria torta,20-Jul,Punch,,,,,,,,,0,,N,NA,167.47,73.62,9683.285012,9683.285012,0.35,0.27,0.32,,
398,PLRE5,PLRE,5,Platymenia reticulata,24-Jul,Punch,,,,,,,,,,,Y,100,17.33,8.92,121.4096755,12140.96755,0.15,0.2,0.13,,
399,NECU5,NECU,5,Nectandra cuspidata,24-Jul,Punch,,,,,,,,,,,N,NA,121.39,35.61,3395.038992,3395.038992,0.17,0.17,0.16,,
400,MYVE2,MYVE,2,Myrcia venulosa,24-Jul,Punch,,,,,,,,,,,N,NA,66.99,30.52,1605.773877,1605.773877,0.37,0.32,0.36,,
401,NECU4,NECU,4,Nectandra cuspidata,24-Jul,Punch,,,,,,,,,,,N,NA,148.85,32.43,3791.278334,3791.278334,0.21,0.21,0.21,,
402,MYVE5,MYVE,5,Myrcia venulosa,24-Jul,Punch,,,,,,,,,,,N,NA,65.38,29.59,1519.426732,1519.426732,0.3,0.28,0.31,,
403,STRO6,STRO,6,Stryphnodendron rotundifolium,24-Jul,Punch,,,,,,,,,,,Y,520,14.19,10.23,114.0113034,59285.87775,0.18,0.18,0.16,,
404,PLRE4,PLRE,4,Platymenia reticulata,24-Jul,Punch,,,,,,,,,,,Y,53,31.91,18.28,458.1343726,24281.12175,0.23,0.23,0.25,,
405,POTO6,POTO,6,Pouteria torta,24-Jul,Punch,,,,,,,,,,,N,NA,155.87,88.31,10810.91124,10810.91124,0.21,0.24,0.25,,
406,NECU3,NECU,3,Nectandra cuspidata,24-Jul,Punch,,,,,,,,,,,N,NA,113.56,23.37,2084.365987,2084.365987,0.2,0.2,0.21,,
407,PRHE3,PRHE,3,Protium heptaphyllum,24-Jul,Punch,,,,,,,,,,,N,NA,132.28,43.07,4474.648642,4474.648642,0.16,0.14,0.14,,
408,MYVE3,MYVE,3,Myrcia venulosa,24-Jul,Punch,,,,,,,,,,,N,NA,40.76,25.47,815.3667582,815.3667582,0.35,0.36,0.35,,
409,PLRE3,PLRE,3,Platymenia reticulata,24-Jul,Punch,,,,,,,,,,,Y,81,19.01,11.58,172.894253,14004.43449,0.09,0.11,0.11,,
410,NECU2,NECU,2,Nectandra cuspidata,24-Jul,Punch,,,,,,,,,,,N,NA,108.35,25.61,2179.356989,2179.356989,0.16,0.16,0.16,,
411,GUNI5,GUNI,5,Guatteria nigrescens,24-Jul,Punch,,,,,,,,,,,N,NA,131.38,46.39,4786.780481,4786.780481,0.19,0.18,0.22,,
412,EUPU1,EUPU,1,Eugenia punicifolia,24-Jul,Punch,,,,,,,,,,,N,NA,49.24,17.91,692.6335297,692.6335297,0.26,0.28,0.26,,
413,MYVE4,MYVE,4,Myrcia venulosa,24-Jul,Punch,,,,,,,,,,,N,NA,76.46,35.49,2131.229281,2131.229281,0.36,0.34,0.32,,
