P,Especie,Sub,N,H.1,H.2,DAP.1,DAP.2,D.30cm.1,D.30.2,obs,Form.DAP1,For.DAP2,cresc
14,Moquiniastrum polymorphum (Less.) G. Sancho,4,2751,8,,6.7,6.6,9.1,8,,6.7,6.6,-0.1
14,Vochysia tucanorum Mart.,4,2752,12,,11.2,13.1,12.1,14,?,11.2,13.1,1.9
14,Pera glabrata (Schott) Poepp. ex Baill.,4,2753,12,,14.4+9.5+17+10.9+14.7+11.5+20+19.7+11.4+17+7.7,14.5+11.6+11+18.8+3.7+13.8+9.1+19+17.1+7.5+3.5+20,20+71.2+9.2,19.5+9.3+71.2,,48.16741637,47.20275416,-0.964662216
14,Myrcia splendens (Sw.) DC.,4,2754,5,,7.1,7.4,7.4,7.7,,7.1,7.4,0.3
14,Moquiniastrum polymorphum (Less.) G. Sancho,4,2756,10,,18.4,18.8,21,21.4,,18.4,18.8,0.4
14,Moquiniastrum polymorphum (Less.) G. Sancho,4,2757,12,,31+9.7,31.3+10.3,29.4+11,29.9+11.1,DAP AT 0.95,32.48214894,32.951176,0.46902706
14,Tapirira guianensis Aubl.,4,2758,4.5,,1.9,2.3,2.3,2.7,,1.9,2.3,0.4
14,Miconia ligustroides (DC.) Naudin,4,2759,2.6,,1.7+1,2+1.5,3.7,4.3,,1.972308292,2.5,0.527691708
14,Ocotea minarum (Nees & Mart.) Mez,4,2760,2.2,,1.6,2.8,2.3,3,,1.6,2.8,1.2
14,Myrsine umbellata Mart.,4,2761,2.5,m,1,m,1.2,m,m,1,,#VALUE!
14,Ocotea corymbosa (Meisn.) Mez,5,2762,12,,14,15.7,15.5,17.5,,14,15.7,1.7
14,Myrcia tomentosa (Aubl.) DC.,5,2763,9,,16.4,17,21.4,20.9,?,16.4,17,0.6
14,Tapirira guianensis Aubl.,5,2764,8,,5,6.9,5.5,7.3,,5,6.9,1.9
14,Vochysia tucanorum Mart.,5,2765,9,,8,9.7,9,11.2,,8,9.7,1.7
14,Moquiniastrum polymorphum (Less.) G. Sancho,5,2766,8,,8.4,9.7,9.3,10.4,,8.4,9.7,1.3
14,Leptolobium elegans Vogel,5,2767,8,,15.5,14.7,17.5,15.2,,15.5,14.7,-0.8
14,Moquiniastrum polymorphum (Less.) G. Sancho,5,2768,7,,8,10.1,9.7,10.5,,8,10.1,2.1
14,Ocotea minarum (Nees & Mart.) Mez,5,2769,8,1.67,6.3,0.7,6.6,6.7,,6.3,0.7,-5.6
14,Vochysia tucanorum Mart.,5,2770,4,,3.2,6.2,4,6.5,,3.2,6.2,3
14,Moquiniastrum polymorphum (Less.) G. Sancho,5,2771,9,,9.4,11.1,12.6,14.2,,9.4,11.1,1.7
14,Protium heptaphyllum (Aubl.) Marchand,5,2772,4.5,0.95,2.2,0,2.7,0.62,,2.2,0,-2.2
14,Cupania vernalis Cambess.,5,2773,2.1,,1,1.3,1.2,1.9,,1,1.3,0.3
14,Cupania vernalis Cambess.,5,2774,3.5,,1.5,1.9,1.8,2.3,,1.5,1.9,0.4
14,Alibertia edulis (Rich.) A.Rich.,5,2775,2.3,,1.1,1.8,2,2.8,,1.1,1.8,0.7
14,Myrcia splendens (Sw.) DC.,5,2776,7,,15.1,16,15.6,15.4,,15.1,16,0.9
14,Myrsine umbellata Mart.,5,2777,3,,1.3,2,1.5,2.4,,1.3,2,0.7
14,Pera glabrata (Schott) Poepp. ex Baill.,5,2859,8,,8.8,10.1,9.3,10.2,,8.8,10.1,1.3
14,Ocotea corymbosa (Meisn.) Mez,6,2778,11,,13.9,14.6,15.6,15.8,,13.9,14.6,0.7
14,Protium heptaphyllum (Aubl.) Marchand,6,2779,13,,23,25.3,27.2,28.2,?,23,25.3,2.3
14,Pera glabrata (Schott) Poepp. ex Baill.,6,2780,9,,8.2,8.8,9.5,10.4,,8.2,8.8,0.6
14,Ocotea corymbosa (Meisn.) Mez,6,2781,10,,15.4,15.1,16.4,17,,15.4,15.1,-0.3
14,Moquiniastrum polymorphum (Less.) G. Sancho,6,2782,9,,10.3,11.2,11,11.8,,10.3,11.2,0.9
14,Moquiniastrum polymorphum (Less.) G. Sancho,6,2783,8,,11.9,12.4,12.9,13.7,,11.9,12.4,0.5
14,Lithrea molleoides (Vell.) Engl.,6,2784,7,,6.4,6.5,6.8,6.7,,6.4,6.5,0.1
14,Ocotea corymbosa (Meisn.) Mez,6,2785,10,,5.8,6.7,5.7,6.7,,5.8,6.7,0.9
14,Pera glabrata (Schott) Poepp. ex Baill.,6,2786,9,,7.3,8.2,8,9.6,,7.3,8.2,0.9
14,Moquiniastrum polymorphum (Less.) G. Sancho,6,2787,7,,8,8.8,10.5,11.1,,8,8.8,0.8
14,Vochysia tucanorum Mart.,6,2788,8,,8.3,8.8,9.9,10.3,,8.3,8.8,0.5
14,Pera glabrata (Schott) Poepp. ex Baill.,6,2789,9,,11.5,12.2,13,14.2,,11.5,12.2,0.7
14,Leptolobium elegans Vogel,6,2790,2.8,1.36,4.5,0.8,9,6,,4.5,0.8,-3.7
14,Cupania vernalis Cambess.,6,2791,2.8,,1.3,1.7,1.8,1.9,,1.3,1.7,0.4
14,Eugenia myrcianthes Nied.,6,2792,7,,5.3+4.8,4.9+5.5,7.3,7.7,,7.150524456,7.366138744,0.215614288
14,Styrax camporum Pohl,6,2793,4,,3.9,4.1,5,5.1,,3.9,4.1,0.2
14,Leptolobium elegans Vogel,6,2794,8,,18.5,16,15.3,15.4,,18.5,16,-2.5
14,Moquiniastrum polymorphum (Less.) G. Sancho,7,2795,5,,6,5.9,7.5,7.5,,6,5.9,-0.1
14,Myrcia splendens (Sw.) DC.,7,2796,5,,7.8+8.7,8.2+7.3,10.5,10.2,,11.68460526,10.97861558,-0.705989679
14,Moquiniastrum polymorphum (Less.) G. Sancho,7,2797,10,,17.4,18.5,17.8,19.5,,17.4,18.5,1.1
14,Myrcia splendens (Sw.) DC.,7,2798,2.5,0.64,3.1,0,3.4,0.16,,3.1,0,-3.1
14,Moquiniastrum polymorphum (Less.) G. Sancho,7,2799,8,,16.6+7.5,18.7+2+8,21.3,21.3+9.5,,18.21565261,20.4374656,2.221812987
14,Moquiniastrum polymorphum (Less.) G. Sancho,7,2800,6,,17.6+11.1,15.5+13.2,19.3+10.2,19.1+12.5,,20.80793118,20.35902748,-0.448903699
14,Ouratea spectabilis (Mart.) Engl.,7,2801,3.5,,7.2+6.9,7+7,10.6,11.3,,9.972462083,9.899494937,-0.072967147
14,Moquiniastrum polymorphum (Less.) G. Sancho,7,2802,6,,8.1,8.7,9.7,10.3,,8.1,8.7,0.6
14,Moquiniastrum polymorphum (Less.) G. Sancho,8,2755,9,,16.3,1.6+3.5+2.2,21.4,2+4.2+3,?,16.3,4.432832052,-11.86716795
14,Pera glabrata (Schott) Poepp. ex Baill.,8,2803,9,,11,12.8,13.8,15.7,,11,12.8,1.8
14,Tapirira guianensis Aubl.,8,2804,10,,9.2,10.2,10.9,11.6,,9.2,10.2,1
14,Ocotea corymbosa (Meisn.) Mez,8,2806,13,,21.5,23.7,24.7,25.9,,21.5,23.7,2.2
14,Tapirira guianensis Aubl.,8,2807,9,,7.3,8.7,8.5,10.9,,7.3,8.7,1.4
14,Moquiniastrum polymorphum (Less.) G. Sancho,8,2808,5,,6.5,7.7,8.1,8.5,,6.5,7.7,1.2
14,Moquiniastrum polymorphum (Less.) G. Sancho,8,2809,10,,15.9,18.1,18.5,21,,15.9,18.1,2.2
14,Vochysia tucanorum Mart.,8,2811,10,,11.6,13.1,15.3,16.8,,11.6,13.1,1.5
14,Ocotea corymbosa (Meisn.) Mez,8,2812,10,,20.1,21.7,20,21.2,,20.1,21.7,1.6
14,Psidium guajava L.,8,2813,5,,3.9,3.9,5,4.6,,3.9,3.9,0
14,Myrcia splendens (Sw.) DC.,8,2814,4,,3.2,2.9,3.9,3.4,,3.2,2.9,-0.3
14,Terminalia glabrescens Mart.,8,2815,3.5,,1.3,2.7,2.2,3.7,,1.3,2.7,1.4
14,Miconia albicans (Sw.) Triana,8,2816,3,,1.5,2.5,2,3.4,,1.5,2.5,1
14,Ocotea minarum (Nees & Mart.) Mez,8,2817,2.7,,1.5,2.3,2,2.6,,1.5,2.3,0.8
14,Myrcia splendens (Sw.) DC.,8,2818,6,,5.7,5.6,6,5.7,,5.7,5.6,-0.1
14,Tapirira guianensis Aubl.,8,2819,5,,3.5,4.6,4.2,5,,3.5,4.6,1.1
14,Moquiniastrum polymorphum (Less.) G. Sancho,8,2820,4,,2,1.8+1.6,3.8,2.5,,2,2.408318916,0.408318916
14,Byrsonima intermedia A.Juss.,8,2860,4,0.67,4,0,5,0.55,,4,0,-4
14,Psidium guajava L.,8,2861,5,,3.6,3.7,4.9,4.4,,3.6,3.7,0.1
14,Ficus guaranitica Chodat,8,2862,3,,1.5,2.2,2.2,2.5,,1.5,2.2,0.7
14,Moquiniastrum polymorphum (Less.) G. Sancho,9,2821,5,,5.8,6.4,6,6.6,,5.8,6.4,0.6
14,Eugenia myrcianthes Nied.,9,2822,7,,7.9,8.2,9.2,9.3,,7.9,8.2,0.3
14,Syagrus romanzoffiana (Cham.) Glassman,9,2823,13,,22.5,22.2,27.3,27.6,DA 37cm,22.5,22.2,-0.3
14,Cedrela fissilis Vell.,9,2824,7,,6.6,6.9,9.6,9.7,,6.6,6.9,0.3
14,Ficus guaranitica Chodat,9,2825,9,,16+12.4,12.4+16.2,28,27.5,,20.24252949,20.40098037,0.158450882
14,Moquiniastrum polymorphum (Less.) G. Sancho,9,2826,8,m,13.9,m,16,m,m,13.9,,#VALUE!
14,Casearia sylvestris Sw.,9,2827,10,,14.1,14.7,15.4,15.8,,14.1,14.7,0.6
14,Moquiniastrum polymorphum (Less.) G. Sancho,9,2828,6,,5.8,5.9+5.3+1.9,6.6,7.2,,5.8,8.155366331,2.355366331
14,Moquiniastrum polymorphum (Less.) G. Sancho,9,2830,4,,1.5+1.2,1.7+2.5,3.2,2.5,,1.920937271,3.023243292,1.10230602
14,Tapirira guianensis Aubl.,9,2831,5,,2.3,2.8,3,3.2,,2.3,2.8,0.5
14,Ocotea minarum (Nees & Mart.) Mez,9,2835,5,,3.3+3.1+4.4,3.8+3.7,6.4,6.8,,6.313477647,5.303772242,-1.009705405
14,Matayba elaeagnoides Radlk.,9,2836,5,,3,3,3.6,3.3,,3,3,0
14,Vochysia tucanorum Mart.,9,2837,7,,4.5,5.6,6,6.8,,4.5,5.6,1.1
14,Moquiniastrum polymorphum (Less.) G. Sancho,9,2838,6.5,,2.3,1.7+2.5,2.8,2.7,,2.3,3.023243292,0.723243292
14,Tapirira guianensis Aubl.,9,2839,4,,1.5,1.8+1.9,2,2.2+2.3,,1.5,2.617250466,1.117250466
14,Myrsine umbellata Mart.,9,2805,4,,1.9,2.6,2,3,,1.9,2.6,0.7
14,Tapirira guianensis Aubl.,10,2840,14,m,27.9,m,39.8,m,m,27.9,,#VALUE!
14,Cupania tenuivalvis Radlk.,10,2841,5,,8.5,9.1,9.1,9.7,,8.5,9.1,0.6
14,Moquiniastrum polymorphum (Less.) G. Sancho,10,2842,8,,13.1,14.2,14.8,16,,13.1,14.2,1.1
14,Eugenia myrcianthes Nied.,10,2843,9,,12.8,12.5,12.4,13.3,,12.8,12.5,-0.3
14,Tapirira guianensis Aubl.,10,2845,10,,10.2,12.4,11.5,13.6,,10.2,12.4,2.2
14,Tapirira guianensis Aubl.,10,2846,9,,6.4,7.1,7,7.1,,6.4,7.1,0.7
14,Eugenia myrcianthes Nied.,10,2847,6,,8.1,6.3,7.1,7.1,,8.1,6.3,-1.8
14,Eugenia myrcianthes Nied.,10,2848,4,,6.1,5.5,5.9,6,,6.1,5.5,-0.6
14,Pera glabrata (Schott) Poepp. ex Baill.,10,2849,10,,12.6,14,16.2,18.8,,12.6,14,1.4
14,Nectandra oppositifolia Nees,10,2850,10,,8.7,12.3,9.5,14,,8.7,12.3,3.6
14,Tapirira guianensis Aubl.,10,2851,12,,11.9,14.9,13.1,18,?,11.9,14.9,3
14,Pera glabrata (Schott) Poepp. ex Baill.,10,2852,9,,10.7,12.4,12.8,15.4,,10.7,12.4,1.7
14,Tapirira guianensis Aubl.,10,2853,7,m,6,m,6,m,m,6,,#VALUE!
14,Casearia sylvestris Sw.,10,2854,9,,13.2+5.5,13.5+6.1,14.8+5.2,14.6+5.5,,14.3,14.81418239,0.514182394
14,Moquiniastrum polymorphum (Less.) G. Sancho,10,2855,5,,4.8,4.5,5.3,5.3,,4.8,4.5,-0.3
14,Pera glabrata (Schott) Poepp. ex Baill.,10,2856,6,m,5,m,6.3,m,m,5,,#VALUE!
14,Myrcia splendens (Sw.) DC.,10,2857,4,m,6.5,m,7.2,m,m,6.5,,#VALUE!
14,Moquiniastrum polymorphum (Less.) G. Sancho,10,2858,3,m,1.8,m,2,m,m,1.8,,#VALUE!
14,Eugenia myrcianthes Nied.,10,2863,9,,9.2+11.4,12+9.4,18.6,18.6,,14.64923206,15.24335921,0.594127148
25,Dimorphandra mollis Benth.,1,7036,5,,6.5,2.4,7.4,3.4,,6.5,2.4,-4.1
25,Dimorphandra mollis Benth.,1,7037,5,m,5.9,m,7.4,m,morreu,5.9,,#VALUE!
25,Baccharis dracunculifolia DC.,1,7038,3,m,1.7+1.3+2+1.4+1.5,m,4.5,m,morreu,3.576310948,,#VALUE!
25,Baccharis dracunculifolia DC.,1,7039,3,m,1.7+1.5+1.4,m,2.8+2.4,m,morreu,2.664582519,,#VALUE!
25,Moquiniastrum polymorphum (Less.) G. Sancho,2,7040,4.5,,5.9,7+7+11.5+7,9.9,16.1,,5.9,16.71077497,10.81077497
25,Stryphnodendron rotundifolium Mart.,2,7041,3,,8.6+6.7,8.7+3.6+8.5+3.4,10.5,11.5,,10.90183471,13.13240267,2.230567966
25,Baccharis dracunculifolia DC.,2,7042,3.5,m,4.9+2.6+2+2.3+1.4,m,6.5,m,morreu,6.482283548,,#VALUE!
25,Hancornia speciosa Gomes,3,7043,3,1.35,5,0.1,10.5,11.3,,5,0.1,-4.9
25,Stryphnodendron rotundifolium Mart.,3,7044,2,,2.2+1.8+1.9,3.7+3.8+2.5,4.8,5.7,ggno TK,3.419064199,5.863446086,2.444381886
25,Baccharis dracunculifolia DC.,3,7045,2.8,m,1.5+1.5+1,m,3.9,m,morreu,2.34520788,,#VALUE!
25,Baccharis dracunculifolia DC.,3,7046,2.8,,1.1+1.2+1.5+1.1,2.1+1.8+1.5+1.6,3.1,4.9,,2.471841419,3.529872519,1.0580311
25,Baccharis dracunculifolia DC.,5,7047,3,m,1.6+2.3+1.6,m,4.3,m,morreu,3.226453161,,#VALUE!
25,Stryphnodendron rotundifolium Mart.,6,7048,3,,5.5,6.3,6.8,7.6,,5.5,6.3,0.8
25,Stryphnodendron rotundifolium Mart.,6,7049,2.8,,5.4,8,6.7,8.9,,5.4,8,2.6
25,Baccharis dracunculifolia DC.,6,7050,2.8,m,1+2.6+1.6,m,4.1,m,morreu,3.212475681,,#VALUE!
25,Stryphnodendron adstringens (Mart.) Coville,7,7051,3.5,,6+11.7,6.9+13,6.9+11.6,8.3+12.9,,13.1487642,14.71767645,1.568912247
25,Stryphnodendron rotundifolium Mart.,8,7052,4,,6.3,8.5,7.8,9.5,,6.3,8.5,2.2
25,Baccharis dracunculifolia DC.,8,7053,2.8,m,2.3+1.5+1.5+1.8+1.2,m,4.8,m,morreu,3.80394532,,#VALUE!
25,Stryphnodendron rotundifolium Mart.,8,7054,4,,5.2,6,8.8,8.9,,5.2,6,0.8
25,Stryphnodendron rotundifolium Mart.,9,7055,3.2,,9.4+7.2,10.2+7.8,12.6,12.8,,11.84060809,12.84056074,0.999952643
25,Stryphnodendron rotundifolium Mart.,9,7056,2.5,,4.7,6.5,6,7.6,,4.7,6.5,1.8
25,Leptolobium elegans Vogel,9,7057,2.5,,5.7,6.5,7.3,8.4,,5.7,6.5,0.8
25,Aegiphila verticillata Vell.,9,7058,2.5,1.6,2,0.7+0.7,3,3.6,,2,0.989949494,-1.010050506
25,Aegiphila verticillata Vell.,9,7059,3,,1.8+2.3,2,3.5,4,,2.920616373,2,-0.920616373
25,Leptolobium elegans Vogel,10,7060,3,,7.7+7,8.7+6.1,9.5,9.6,,10.40624812,10.62544117,0.219193044
25,Leptolobium elegans Vogel,10,7061,2,,5.8,6.0+4.3+2.2,7.4,7.9,,5.8,7.702596965,1.902596965
25,Leptolobium elegans Vogel,10,7062,3,,7.1,7.5,7.2,7.5,,7.1,7.5,0.4
25,Leptolobium elegans Vogel,10,7063,3,,6.5+5.5,4.8+7.34+5.7+2.7,8.9,9.3,,8.514693183,10.80257377,2.287880584
25,Leptolobium elegans Vogel,10,7064,2.8,,6.1+6.5+5,8.6+5.8,3.3+5.1,8.6+5.8,,10.2205675,10.37304198,0.152474485
25,Leptolobium elegans Vogel,10,7065,3.5,,8,8.2,8.4,8.7,,8,8.2,0.2
25,Leptolobium elegans Vogel,10,7066,1.6,1.13,2.9,0,7,6.9,,2.9,0,-2.9
25,Leptolobium elegans Vogel,10,7067,1.9,,2.7,4+3.4,6.3,6.8,,2.7,5.249761899,2.549761899
25,Baccharis dracunculifolia DC.,10,7068,2.8,,1.5+1.2+1.3,1+0.9,3,2.1,,2.319482701,1.345362405,-0.974120296
26,Stryphnodendron rotundifolium Mart.,1,7192,4,,6.9,7.8,8.3,9.2,,6.9,7.8,0.9
26,Moquiniastrum polymorphum (Less.) G. Sancho,1,7193,6,,9.5+7.4+7.5+9+7.6+8.8,9.8+4.7+9.7+8.3+10.4+7.7+7.6,18+14.1,17.4+15.2,,20.4318379,22.5015555,2.069717601
26,Moquiniastrum polymorphum (Less.) G. Sancho,1,7194,3,,2.1+2.5+1.9+1.6,3.5+1.7+2.0+2.1,5.5,5.8,,4.102438299,4.852834223,0.750395924
26,Moquiniastrum barrosoae (Cabrera) G. Sancho,1,7195,2.6,,1.6+1.4,3.3+3.0+1.9+1.4+1.4+1.5,2.3+2.2,.1+3.2+2.7,,2.126029163,5.447017533,3.32098837
26,Stryphnodendron rotundifolium Mart.,2,7196,3.2,m,8.2,m,10,m,morreu,8.2,,#VALUE!
26,Moquiniastrum polymorphum (Less.) G. Sancho,2,7197,4,,6.7+9.5+10.8,16.8+7.3+9.5+3.5+11.5,18,18.5,9.2,15.867577,23.88053601,8.012959003
26,Moquiniastrum polymorphum (Less.) G. Sancho,2,7198,6,,15.4+6.5+11+8.4+6.7,7.3+7.2+9.2+11.4+6,18.2+11.3+9.2,11.5+9.5+19.4,,22.7125516,18.86080592,-3.851745675
26,Moquiniastrum barrosoae (Cabrera) G. Sancho,2,7199,3,,2.9+2.1+2.5+2.3,4.6+3.3+2.7+2.9,3.4+3+3+3+2.2,3.7+3.7+2.7+2.2,,4.935585072,6.910137481,1.974552409
26,Annona crassiflora Mart.,2,7200,2,,1.5+1.2,4.3,5,6.3,,1.920937271,4.3,2.379062729
26,Aegiphila verticillata Vell.,3,7001,1.7,1.1,2.1,0,3.3,3.2,,2.1,0,-2.1
26,Campomanesia adamantium (Cambess.) O.Berg,3,7002,2,1.8,1.6,1.8,2.4,2.2+3.0+2,,1.6,1.8,0.2
26,Lippia origanoides Kunth,3,7003,2.8,m,1.2+1.3+1.1,m,3.5,m,morreu,2.083266666,,#VALUE!
26,Moquiniastrum polymorphum (Less.) G. Sancho,4,7004,7,,22.5,23.3,23.6,24.7,,22.5,23.3,0.8
26,Moquiniastrum polymorphum (Less.) G. Sancho,4,7005,5,,12.2+8+5,8+6.5+3.3+3.6,13.4,14.5+4.5,,15.42206212,11.4061387,-4.015923421
26,Moquiniastrum polymorphum (Less.) G. Sancho,4,7006,6,,16.4+7.5+11.4,17.5,16.9+8.1+12.2,18.5+12.1+8,,21.3347135,17.5,-3.834713497
26,Aegiphila verticillata Vell.,4,7007,3,,3,3.5,4.1,4.8,,3,3.5,0.5
26,Aegiphila verticillata Vell.,4,7008,2.9,,2,0.8,2.9,2.7,,2,0.8,-1.2
26,Moquiniastrum barrosoae (Cabrera) G. Sancho,4,7009,2.5,,1.7+1.3,1.1+1.7+1.6+1.5+1.9,2.3,4.2,,2.140093456,3.538361203,1.398267747
26,Annona crassiflora Mart.,4,7010,3,,4,5.9,5.9,7.5,,4,5.9,1.9
26,Aegiphila verticillata Vell.,4,7011,2.8,,1.8,2.1,3,3.9,,1.8,2.1,0.3
26,Moquiniastrum polymorphum (Less.) G. Sancho,5,7012,6,,15+8.9+18.5,8.9+15.3+20.0,18.5+19.1,18.5+20.9,,25.42557767,26.7076768,1.282099126
26,Moquiniastrum polymorphum (Less.) G. Sancho,5,7013,5,,10.5+13+8.2+12.5,8.7+12.7+10.9+11.2,28.6,18.2+19.6,,22.42186433,21.93695512,-0.484909208
26,Aegiphila verticillata Vell.,5,7014,3.5,,3.3+1.5,4.1,4.2,3.2,,3.624913792,4.1,0.475086208
26,Aegiphila verticillata Vell.,5,7015,2.8,,1.9,1.1+1.1,2.6,3,,1.9,1.555634919,-0.344365081
26,Aegiphila verticillata Vell.,5,7016,2,,1.5,2.5+2.7,3.9,5.3,,1.5,3.679673899,2.179673899
26,Moquiniastrum polymorphum (Less.) G. Sancho,6,7017,6,,11.3,11.6,15.3,15,,11.3,11.6,0.3
26,Moquiniastrum polymorphum (Less.) G. Sancho,6,7018,5,,10+8.3+9.2,14.9+8.3+9.8+8.4,19.4,18.9,,15.92262541,21.38924964,5.466624225
26,Moquiniastrum polymorphum (Less.) G. Sancho,7,7019,7,,22.5+11.1,13.8+5.7+25.9,24+16.9,6.2+19.7,,25.08904143,29.89548461,4.806443176
26,Moquiniastrum polymorphum (Less.) G. Sancho,7,7020,8,,7.7+23+15.2+7.8,24.6+14.5+7.7+7,31.4,33.4,,29.66765916,30.39243327,0.724774109
26,Aegiphila verticillata Vell.,7,7021,1.7,,1.2+1,2.3,2.3,3.2,,1.562049935,2.3,0.737950065
26,Moquiniastrum polymorphum (Less.) G. Sancho,8,7022,4,,7.8+6.6+6.6,8.4+6.4+3.5+3.8+6.4+4.2,10.5+9.5,10.9+5.7+11.4,,12.16388096,14.02889875,1.865017785
26,Moquiniastrum polymorphum (Less.) G. Sancho,8,7023,4,,9+6+6+9.1,9.4+3.9+5.7+5.5+8.8,11.5+13.9,13.5+10.8,,15.35610628,15.612495,0.256388719
26,Moquiniastrum polymorphum (Less.) G. Sancho,8,7024,4.5,,11.1+7.8,11.1+7.9,15.3,16.3,,13.56650287,13.6242431,0.057740233
26,Moquiniastrum polymorphum (Less.) G. Sancho,8,7025,4,,7.2,2.5+4.5+7.5,8,4.9+8.4+4.7,,7.2,9.096702699,1.896702699
26,Moquiniastrum polymorphum (Less.) G. Sancho,9,7026,4,,5.6,5.6,9.8,9.7,,5.6,5.6,0
26,Moquiniastrum polymorphum (Less.) G. Sancho,9,7027,4,,5.9,6+3.5,7.4,3.9+7.9,,5.9,6.946221995,1.046221995
26,Moquiniastrum polymorphum (Less.) G. Sancho,9,7028,4.5,,5.5+9.3+6+7.7+6+6.5,7.1+6.4+5.7+9.4+8.0+6.6,13.4+9.4+8.1,13.2+8.2+9.7,,17.03760547,17.88239358,0.84478811
26,Moquiniastrum polymorphum (Less.) G. Sancho,10,7029,5,,11.5+6.3+7.5+10.3+5.4,5.5+10.3+7.8+12+5+6.5,14.9+15.3,15.4+16.2,,19.06410239,20.20965116,1.145548768
26,Moquiniastrum polymorphum (Less.) G. Sancho,10,7030,4.5,,9.3+6.9,9+6.8,13.5,13.5,,11.58015544,11.28007092,-0.300084518
26,Moquiniastrum polymorphum (Less.) G. Sancho,10,7031,5,0.55,6.8,0,9.4,9.2,,6.8,0,-6.8
26,Moquiniastrum polymorphum (Less.) G. Sancho,10,7032,7,,15.1+8.6+12.7+16.8,15.9+12.5+14.8,24.1,24.8,,27.30384588,25.06192331,-2.241922573
26,Machaerium acutifolium Vogel,10,7033,6,,6.7,8.5+2.1+2.3,8.1,10.5,,6.7,9.052623929,2.352623929
26,Moquiniastrum barrosoae (Cabrera) G. Sancho,10,7034,2.5,,1.3+1.1,1.6+1.2+1.5,2.2+1.8,2.5+2.5+2.7,,1.702938637,2.5,0.797061363
26,Aegiphila verticillata Vell.,10,7035,2.5,m,2.3,m,3.5,m,morreu,2.3,,#VALUE!
,,,,,,,,,,,,,
,,,,,,,,,,,,,
