P,Especie,Sub,N,H.1,H.2,DAP.1,DAP.2,D.30cm.1,D.30.2,obs,Form.DAP1,For.DAP2,cresc
13,Moquiniastrum polymorphum (Less.) G. Sancho,10,2651,3.5,,7.3,5.5+7,9.5,10,,7.3,8.902246907,1.602246907
13,Moquiniastrum polymorphum (Less.) G. Sancho,10,2652,3.5,,6.8,6.8,8.2,8.3,,6.8,6.8,0
13,Moquiniastrum polymorphum (Less.) G. Sancho,10,2653,4,,11.8,13,11.7,13.2,,11.8,13,1.2
13,Ocotea corymbosa (Meisn.) Mez,10,2654,4.5,,6.2,7.2,7,7.4,,6.2,7.2,1
13,Ocotea corymbosa (Meisn.) Mez,10,2655,4.5,,5,7.7,5.4,8.1,,5,7.7,2.7
13,Ocotea corymbosa (Meisn.) Mez,10,2656,6.5,,14.7,17.5,16.3,19.4,,14.7,17.5,2.8
13,Ocotea corymbosa (Meisn.) Mez,10,2657,6,,7,8.4,7.7,9.5,,7,8.4,1.4
13,Cybistax antisyphilitica (Mart.) Mart.,10,2658,2.8,,6.5,5.4+7,10.1,9.5,,6.5,8.840814442,2.340814442
13,Ocotea corymbosa (Meisn.) Mez,10,2659,6,,11.9,15.7,12.7,16.1,,11.9,15.7,3.8
13,Ocotea corymbosa (Meisn.) Mez,10,2660,5,,6.5,8,7.5,8.6,,6.5,8,1.5
13,Moquiniastrum polymorphum (Less.) G. Sancho,10,2661,4,1.68,7.6,0.75,8.3,1.31,,7.6,0.75,-6.85
13,Stryphnodendron rotundifolium Mart.,10,2662,5.5,2.61,6.3,2,7.4,2.5,,6.3,2,-4.3
13,Moquiniastrum polymorphum (Less.) G. Sancho,10,2663,4,,6.5,5.4+3.5+6.8,9.8,10.4,,6.5,9.362157871,2.862157871
13,Matayba elaeagnoides Radlk.,10,2664,5,,9.2,10.1,10.2,10.4,,9.2,10.1,0.9
13,Ocotea corymbosa (Meisn.) Mez,10,2665,5,,4.1,0.6,4,0.9,,4.1,0.6,-3.5
13,Myrcia venulosa DC.,10,2666,4,,2.6,3.8,3,4.3,,2.6,3.8,1.2
13,Myrcia splendens (Sw.) DC.,10,2667,2.5,1.47,1.2,0,1.5,0.62,,1.2,0,-1.2
13,Moquiniastrum polymorphum (Less.) G. Sancho,10,2668,3,,3.4,3.2,3.6,3.5,,3.4,3.2,-0.2
13,Moquiniastrum polymorphum (Less.) G. Sancho,10,2669,4.5,,4.2,4.3,5.5,5.7,,4.2,4.3,0.1
13,Ocotea corymbosa (Meisn.) Mez,10,2670,2.5,,2.2,2.2,2.3,2.5,,2.2,2.2,0
13,Moquiniastrum polymorphum (Less.) G. Sancho,10,2671,2,1.4,2.8,0.48,3.1,0.85,,2.8,0.48,-2.32
13,Machaerium brasiliense Vogel,10,2672,1.9,0.56,1,0,1.7,0.4,,1,0,-1
13,Leptolobium elegans Vogel,10,2673,1.8,,1.4,1.6,5,5,,1.4,1.6,0.2
13,Moquiniastrum polymorphum (Less.) G. Sancho,10,2674,2.2,1.57,1.7+1.1,0.4,2.9,0.7,,2.024845673,0.4,-1.624845673
13,Moquiniastrum polymorphum (Less.) G. Sancho,10,2675,3.5,,4.8+3.4,5.8+3.1,6.5,8,,5.882176468,6.576473219,0.694296751
13,Ocotea corymbosa (Meisn.) Mez,10,2676,3.5,,2,3.2,2.9,4.7,,2,3.2,1.2
