Genus,Species,Family,Old.name,Code,FG,Life Form,New.name,NewCode,Authority,species.relative,genus.relative
Jacaranda,rufa,Bignoniaceae,Jacaranda rufa,JARU,S,shrub,Jacaranda rufa,JARU,,,
Jacaranda,sp1,Bignoniaceae,Jacaranda sp1,JACAR,S,shrub,Jacaranda sp2,JACAR,,,
Tabebuia,ochracea,Bignoniaceae,Tabebuia ochracea,TAOC,S,tree,Handroanthus ochraceus,HAOC,(Cham.) Mattos,,
Zeyheria,montana,Bignoniaceae,Zeyheria montana,ZEMO,S,shrub,Zeyheria montana,ZEMO,Mart.,,
Zeyheria,tuberculosa,Bignoniaceae,Zeyheria tuberculosa,ZETU,G,tree,Zeyheria tuberculosa,ZETU,(Vell.) Bureau ex Verl.,,
Tabebuia,aurea,Bignoniaceae,Tabebuia aurea,TAAU,S,tree,Tabebuia aurea,TAAU,(Silva Manso) Benth. & Hook.f. ex S.Moore,,
Cordia,sellowiana,Boraginaceae,Cordia sellowiana,COSE,F,tree,Cordia sellowiana,COSE,,,
Cordia,trichotoma,Boraginaceae,Cordia trichotoma,COTR,F,tree,Cordia trichotoma,COTR,,,
Protium,heptaphyllum,Burseraceae,Protium heptaphyllum,PRHE,G,tree,Protium heptaphyllum,PRHE,(Aubl.) Marchand,,
Kielmeyera,coriacea,Calophyllaceae,Kielmeyera coriacea,KICO,S,tree,Kielmeyera coriacea,KICO,Mart. & Zucc.,,
Caryocar,brasiliense,Caryocaraceae,Caryocar brasiliense,CABR,S,tree,Caryocar brasiliense,CABR,Cambess.,,
Maytenus,robusta,Celastraceae,Maytenus robusta,MARO,G,tree,Maytenus robusta,MARO,,,
Plenckia,populnea,Celastraceae,Plenckia populnea,PLPO,S,tree,Plenckia populnea,PLPO,Reissek,,
Terminalia,glabrescens,Combretaceae,Terminalia glabrescens,TEGL,G,tree,Terminalia glabrescens,TEGL,Mart.,,
Connarus,suberosus,Connaraceae,Connarus suberosus,COSU,S,treelet,Connarus suberosus,COSU,Planch.,,
Dasyphyllum,sp1,Crassulaceae,Dasyphyllum sp1,DASYP,F,tree,Dasyphyllum sp2,DASYP,,,
Davilla,elliptica,Dilleniaceae,Davilla elliptica,DAEL,S,shrub,Davilla elliptica,DAEL,A.St.-Hil.,,
Diospyros,burchelli,Ebenaceae,Diospyros burchelli,DIBU,S,tree,Diospyros lasiocalyx,DILA,(Mart.) B.Walln.,,
Erythroxylum,cuneifolium,Erythroxylaceae,Erythroxylum cuneifolium,ERCU,S,shrub,Erythroxylum cuneifolium,ERCU,(Mart.) O.E.Schulz,,
Erythroxylum,deciduum,Erythroxylaceae,Erythroxylum deciduum,ERDE,G,tree,Erythroxylum deciduum,ERDE,A.St.-Hil.,,
Erythroxylum,pelleterianum,Erythroxylaceae,Erythroxylum pelleterianum,ERPE,G,treelet,Erythroxylum pelleterianum,ERPE,,,
Erythroxylum,suberosum,Erythroxylaceae,Erythroxylum suberosum,ERSU,S,treelet,Erythroxylum suberosum,ERSU,A.St.-Hil.,,
Erythroxylum,tortuosum,Erythroxylaceae,Erythroxylum tortuosum,ERTO,S,treelet,Erythroxylum tortuosum,ERTO,Mart.,,
Maprounea,guianensis,Euphorbiaceae,Maprounea guianensis,MAGU,G,tree,Maprounea guianensis,MAGU,Aubl.,,
Actinostemon,schomburgkii,Euphorbiaceae,Actinostemon schomburgkii,ACSC,F,treelet,Actinostemon schomburgkii,ACSC,,,
Croton,floribundus,Euphorbiaceae,Croton floribundus,CRFL,F,tree,Croton floribundus,CRFL,Spreng.,,
Anadenanthera,falcata,Fabaceae,Anadenanthera falcata,ANFA,G,tree,Anadenanthera peregrina,ANFA,(Benth.) Altschul,,
Bauhinia,longifolia,Fabaceae,Bauhinia longifolia,BALO,F,tree,Bauhinia longifolia,BALO,(Bong.) Steud.,Bauhinia rufa,
Bauhinia,rufa,Fabaceae,Bauhinia rufa,BARU,S,shrub,Bauhinia rufa,BARU,(Bong.) Steud.,,
Bowdichia,virgilioides,Fabaceae,Bowdichia virgilioides,BOVI,S,tree,Bowdichia virgilioides,BOVI,Kunth,,
Chamaecrista,cathartica,Fabaceae,Chamaecrista cathartica,CHCA,S,shrub,Chamaecrista cathartica,CHCA,,,
