Genus species,Abundance,Genus,species,Code
Ouratea spectabilis,25,Ouratea,spectabilis,OUSP
Lippia sidoides,24,Lippia,sidoides,LISI
Annona crassiflora,23,Annona,crassiflora,ANCR
Ocotea velloziana,22,Ocotea,velloziana,OCVE
Cupania tenuivalvis,20,Cupania,tenuivalvis,CUTE
Syagrus rommanzofiana,18,Syagrus,rommanzofiana,SYRO
Platymenia reticulata,18,Platymenia,reticulata,PLRE
Guatteria nigrescens,17,Guatteria,nigrescens,GUNI
Dimorphandra mollis,17,Dimorphandra,mollis,DIMO
Lithraea molleoides,16,Lithraea,molleoides,LIMO
Myrcia venulosa,14,Myrcia,venulosa,MYVE
Luehea candicans,14,Luehea,candicans,LUCA
Tabebuia ochracea,13,Tabebuia,ochracea,TAOC
Roupala montana,13,Roupala,montana,ROMO
Nectandra cuspidata,13,Nectandra,cuspidata,NECU
Eriotheca gracilipes,13,Eriotheca,gracilipes,ERGR
Eugenia punicifolia,11,Eugenia,punicifolia,EUPU
Bauhinia longifolia,11,Bauhinia,longifolia,BALO
Baccharis dracunculifolia,11,Baccharis,dracunculifolia,BADR
Qualea multiflora,10,Qualea,multiflora,QUMU
Piptocarpha axillaris,10,Piptocarpha,axillaris,PIAX
Luehea grandiflora,10,Luehea,grandiflora,LUGR
Lippia salviaefolia,10,Lippia,salviaefolia,LISA
Erythroxylum suberosum,10,Erythroxylum,suberosum,ERSU
Erythroxylum cunneifolium,10,Erythroxylum,cunneifolium,ERCU
Annona coriacea,10,Annona,coriacea,ANCO
Myrcia lasiantha,9,Myrcia,lasiantha,MYLA
Caryocar brasiliense,9,Caryocar,brasiliense,CABR
Psychotria vellosiana,8,Psychotria,vellosiana,PSVE
Eugenia florida,8,Eugenia,florida,EUFL
Pouteria ramiflora,7,Pouteria,ramiflora,PORA
Qualea cordata,6,Qualea,cordata,QUCO
Prunus myrtifolia,6,Prunus,myrtifolia,PRMY
Diospyros hispida,6,Diospyros,hispida,DIHI
Croton floribundus,6,Croton,floribundus,CRFL
Brosimum gaudichaudii,6,Brosimum,gaudichaudii,BRGA
Bowdichia virgilioides,6,Bowdichia,virgilioides,BOVI
Aspidosperma tomentosum,6,Aspidosperma,tomentosum,ASTO
Zanthoxylum rhoifolium,5,Zanthoxylum,rhoifolium,ZARH
Swetia fruticosa,5,Swetia,fruticosa,SWFR
Rapanea lancifolia,5,Rapanea,lancifolia,RALA
Psidium guajava,5,Psidium,guajava,PSGU
Pouteria torta,5,Pouteria,torta,POTO
Myrcia lingua,5,Myrcia,lingua,MYLI
Miconia sellowiana,5,Miconia,sellowiana,MISE
Jacaranda caroba,5,Jacaranda,caroba,JACA
Helietta apiculata,5,Helietta,apiculata,HEAP
Ficus guaranitica,5,Ficus,guaranitica,FIGU
Zeyheria montana,4,Zeyheria,montana,ZEMO
Tocoyena formosa,4,Tocoyena,formosa,TOFO
Qualea grandiflora,4,Qualea,grandiflora,QUGR
Psidium australe,4,Psidium,australe,PSAU
Protium heptaphyllum,4,Protium,heptaphyllum,PRHE
Jacaranda X,4,Jacaranda,,JA
Jacaranda oxyphylla,4,Jacaranda,oxyphylla,JAOX
Guapira graciliflora,4,Guapira,graciliflora,GUGR
Eugenia lutescens,4,Eugenia,lutescens,EULU
Chromolaena laevigata,4,Chromolaena,laevigata,CHLA
Campomanesia guazumifolia,4,Campomanesia,guazumifolia,CAGU
Aegiphila sellowiana,4,Aegiphila,sellowiana,AESE
Syagrus flexuosa,3,Syagrus,flexuosa,SYFL
Nectandra oppositifolia,3,Nectandra,oppositifolia,NEOP
Myrciaria floribunda,3,Myrciaria,floribunda,MYFL
Lantana camara,3,Lantana,camara,LACA
Faramea montevidensis,3,Faramea,montevidensis,FAMO
Erythroxylum pelleterianum,3,Erythroxylum,pelleterianum,ERPE
Cybistax antisyphilitica,3,Cybistax,antisyphilitica,CYAN
Cordia sellowiana,3,Cordia,sellowiana,COSE
Chrysophyllum marginatum,3,Chrysophyllum,marginatum,CHMA
Calyptranthes lucida,3,Calyptranthes,lucida,CALU
Annona cagans,3,Annona,cagans,ANCA
Styrax ferrugineus,2,Styrax,ferrugineus,STFE
Psychotria carthagenensis,2,Psychotria,carthagenensis,PSCA
Pouteria?,2,Pouteria?,,PO
Ocotea velutina,2,Ocotea,velutina,OCVE
Ocotea dyospirifolia,2,Ocotea,dyospirifolia,OCDY
Nectandra lanceolata,2,Nectandra,lanceolata,NELA
Myrtaceae sp1,2,Myrtaceae,,MY
Myrcia prunifolia,2,Myrcia,prunifolia,MYPR
Mollinedia widgrenii,2,Mollinedia,widgrenii,MOWI
Kielmeyera coriacea,2,Kielmeyera,coriacea,KICO
"Heteropterys ""rosa""",2,Heteropterys,rosa,HERO
Guapira hirsuta,2,Guapira,hirsuta,GUHI
Eugenia aurata,2,Eugenia,aurata,EUAU
Esenbeckia febrifuga,2,Esenbeckia,febrifuga,ESFE
Erythroxylum deciduum,2,Erythroxylum,deciduum,ERDE
Citrus limonum,2,Citrus,limonum,CILI
Celtis iguanae,2,Celtis,iguanae,CEIG
Campomanesia cf. guavirova,2,Campomanesia,guavirova,CAGU
Byrsonima intermedia,2,Byrsonima,intermedia,BYIN
Byrsonima coccolobifolia,2,Byrsonima,coccolobifolia,BYCO
Blepharocalyx salicifolius,2,Blepharocalyx,salicifolius,BLSA
Actinostemon concepcionis,2,Actinostemon,concepcionis,ACCO
,2,,,
Zeyheria tuberculosa,1,Zeyheria,tuberculosa,ZETU
Vitex megapotamica,1,Vitex,megapotamica,VIME
Tripodanthus acutifolius,1,Tripodanthus,acutifolius,TRAC
Trichilia pallida,1,Trichilia,pallida,TRPA
Tibouchina stenocarpa,1,Tibouchina,stenocarpa,TIST
Terminalia pubescens,1,Terminalia,pubescens,TEPU
Symplocos mosenii,1,Symplocos,mosenii,SYMO
Syagrus sp,1,,,
Styrax cf. pohlii,1,,,
Stryphnodendron adstringens,1,Stryphnodendron,adstringens,STAD
Senna rugosa,1,Senna,rugosa,SERU
Senna pendula,1,Senna,pendula,SEPE
Rollinia sylvatica,1,Rollinia,sylvatica,ROSY
Rhamnidium elaeocarpum,1,Rhamnidium,elaeocarpum,RHEL
Rapanea guianensis,1,Rapanea,guianensis,RAGU
Randia calycina,1,Randia,calycina,RACA
Psychotria marcgravii,1,Psychotria,marcgravii,PSMA
Psidium pohlianum,1,Psidium,pohlianum,PSPO
Psidium cinereum,1,Psidium,cinereum,PSCI
Piptocarpha rotundifolia,1,Piptocarpha,rotundifolia,PIRO
Piptadenia gonoacantha,1,Piptadenia,gonoacantha,PIGO
Pinus elliottii,1,Pinus,elliottii,PIEL
Parapiptadenia rigida,1,Parapiptadenia,rigida,PARI
Maytenus robusta,1,Maytenus,robusta,MARO
Maprounea guianensis,1,Maprounea,guianensis,MAGU
Machaerium?,1,Machaerium?,,MA
Machaerium stipitatum,1,Machaerium,stipitatum,MAST
Leandra melastomoides,1,Leandra,melastomoides,LEME
Lafoensia vandelliana,1,Lafoensia,vandelliana,LAVA
Jacaranda micrantha,1,Jacaranda,micrantha,JAMI
Hymenaea stigonocarpa,1,Hymenaea,stigonocarpa,HYST
Helicteres brevispira,1,Helicteres,brevispira,HEBR
Hancornia speciosa,1,Hancornia,speciosa,HASP
Guapira opposita,1,Guapira,opposita,GUOP
Gomidesia sp. coletada,1,Gomidesia,coletada,GOCO
Gochnatia pulchra,1,Gochnatia,pulchra,GOPU
Ficus gomelleira,1,Ficus,gomelleira,FIGO
Euterpe edulis,1,Euterpe,edulis,EUED
Eugenia sp5,1,Eugenia,sp5,EUSP
Eugenia livida,1,Eugenia,livida,EULI
Erythroxylum campestris,1,Erythroxylum,campestris,ERCA
Dendropanax cuneatum,1,Dendropanax,cuneatum,DECU
Daphnopsis fasciculata,1,Daphnopsis,fasciculata,DAFA
Dalbergia miscolobium,1,Dalbergia,miscolobium,DAMI
Coutarea hexandra,1,Coutarea,hexandra,COHE
Cordia trichotoma,1,Cordia,trichotoma,COTR
Connarus suberosus,1,Connarus,suberosus,COSU
Chomelia sp.,1,Chomelia,,CH
Chomelia obtusa,1,Chomelia,obtusa,CHOB
Cestrum sendtnerianum,1,Cestrum,sendtnerianum,CESE
Cedrela fissilis,1,Cedrela,fissilis,CEFI
Casearia lasiophylla,1,Casearia,lasiophylla,CALA
