OID,Individual,Old name,,Code,Number,Date,D30,DBH,Ht,Lower leaf,Bark1,Bark2,Bark3,Can 1 ,Can 2,Light ,Comments,
20,BARU2,,,BARU,2,6/23/2017,1.3,".8, .8, .7",190,50,0.56,NA,NA,,,4,,
21,COSU2,,,COSU,2,6/23/2017,8.2,6.6,300,50,13.26,9.71,11.75,,,5,,
22,ANCO4,,,ANCO,4,6/23/2017,3.6,3,290,100,5.64,5.92,5.63,,,5,,
23,BARU3,,,BARU,3,6/23/2017,1.4,".8, .7",180,60,3.65,2.11,2.47,,,4,,
24,ANCO5,,,ANCO,5,6/23/2017,12,10.8,520,190,8.78,10.24,11.33,,,5,,
25,CASY3,,,CASY,3,6/23/2017,"1.961, 2.006, 1.945","1.266, 1.033, .903, 1.272, 1.275",200,120,3.65,2.11,2.47,,,4,,
26,MAEL4,,,MAEL,4,6/23/2017,"2.0, 2.2","1.9, 2",260,170,0.7,NA,NA,,,4,,
27,MAEL5,,,MAEL,5,6/23/2017,4.9,"3.1, 2.5",230,110,4.01,3.5,3.54,,,3,,
28,ZARH2,,,ZARH,2,6/23/2017,0.9,NA,120,100,0.7,NA,NA,,,3,,
29,MILI5,,,MILI,5,6/23/2017,15.2,1.15,550,170,8.14,7.81,7.69,,,4,,
30,Omit,RALI-A,,RALA,1,,5.9,5.6,380,140,1.86,1.91,1.44,,,3,[duplicate row of data - sf 082317],
31,STCA5,,,STCA,5,6/29/2017,1.77,1.33,203,90,0.95,1.23,1.06,,,4,,
32,DIBU5,,,DIBU,5,6/29/2017,7.1,"4.5, 5.2",215,100,17.68,15.87,15.57,,,3,,
33,ERGR1,,,ERGR,1,6/29/2017,11.9,9.8,370,105,17.67,18.46,20.92,,,3,,
34,STAD2,,,STAD,2,6/29/2017,3.8,2.8,225,105,5.8,7.09,6.57,,,3,,
35,MABR2,,,MABR,2,6/29/2017,8.3,6.5,750,255,3.34,2.84,3.08,,,5,,
36,MYTO3,,,MYTO,3,6/29/2017,3.2,"1.7, 1.4, 1.4",212,130,3.31,3.25,3.63,,,4,,
37,QUCO1,,,QUCO,1,6/29/2017,7.9,4.8,285,120,6.1,8.87,11.14,,,4,,
38,QUCO2,,,QUCO,2,6/29/2017,2.2,".7,  .6",175,80,3.08,NA,NA,,,4,,
39,ANCO6,,,ANCO,6,6/29/2017,5.1,3.8,215,140,6.34,7.74,7.61,,,4,,
40,SCVI5,,,SCVI,5,6/29/2017,3.5,"2.5, 1.9",245,150,2.12,1.97,2.14,,,4,,
41,ZEMO2,,,ZEMO,2,6/29/2017,1.78,NA,120,20,4.57,NA,NA,,,4,,
42,COLA3,,,COLA,3,6/29/2017,0.89,NA,105,55,0.52,NA,NA,,,4,,
43,SYPU1,,,SYPU,1,6/29/2017,2.4,1.9,320,160,1.85,1.78,1.61,,,3,,
44,GOPO3,,,GOPO,3,6/29/2017,11,"4.6, 5.6, 5.7",420,200,18.29,20.13,18.78,,,4,,
45,CAAD3,,,CAAD,3,6/29/2017,4,".5, .5, .5, .5, .5, .5, .5, .5, .5, .5",160,10,0.59,NA,NA,,,4,,
46,CAAD4,,,CAAD,4,6/29/2017,5.2,2.1,170,60,3.54,2.17,1.76,,,4,,
47,STRO5,,,STRO,5,6/29/2017,5.5,4.2,260,110,6.02,6.06,6.83,,,4,,
48,MABR3,,,MABR,3,6/29/2017,23.9,22,1200,410,7.59,6.9,8.14,,,5,,
49,RAGU4,,,RAGU,4,6/29/2017,14,"8, 10.6",570,240,19.53,17.12,17.7,,,4,,
50,MABR4,,,MABR,4,6/29/2017,13.5,12.7,1050,510,4.44,5.14,3.95,,,3,,
51,ZEMO3,,,ZEMO,3,6/29/2017,2.8,"1.34, 1",240,130,3.58,4.06,4.06,,,4,,
52,CHMA1,,,CHMA,1,6/29/2017,6.4,"5.2, 2.3",450,130,3.17,3.31,4,,,3,,
53,COLA4,,,COLA,4,6/29/2017,2.7,2,260,120,0.76,1.39,1.87,,,3,,
54,CHMA2,,,CHMA,2,6/29/2017,0.48,NA,100,0,0.43,NA,NA,,,2,,
55,TEGL2,,,TEGL,2,6/29/2017,1.6,0.8,155,100,1.1,NA,NA,,,2,,
56,TEGL3,,,TEGL,3,6/29/2017,2.4,1.8,160,120,3.5,3.17,2.72,,,3,,
57,TEGL4,,,TEGL,4,6/29/2017,3.2,2.6,275,200,3.66,3.21,3.09,,,3,,
58,LIMO1,,,LIMO,1,6/29/2017,0.9,0.35,130,0,0.4,NA,NA,,,2,,
59,LIMO2,,,LIMO,2,6/29/2017,3,2.9,200,60,1.78,1.75,1.48,,,3,,
60,LIMO3,,,LIMO,3,6/29/2017,1,0.1,140,90,0.39,NA,NA,,,3,,
61,CHMA3,,,CHMA,3,6/29/2017,1.3,".7,.5",205,70,0.35,NA,NA,,,3,,
62,SYPU2,,,SYPU,2,6/29/2017,2.2,1.7,290,195,1.89,1.47,1.8,,,2,,
63,LAHA2,,,LAHA,2,6/29/2017,".9,.9,.8",NA,115,30,0.52,NA,NA,,,2,,
64,BOVI3,,,BOVI,3,6/29/2017,1.26,NA,65,22,3.15,NA,NA,,,3,,
65,COLA5,,,COLA,5,6/29/2017,0.67,NA,73,55,0.47,NA,NA,,,2,,
66,ZARH3,,,ZARH,3,6/29/2017,2,1.2,150,30,1.78,2.48,1.91,,,2,,
67,BOVI4,,,BOVI,4,6/29/2017,2.9,1.3,181,95,7.02,7.61,7.5,,,4,,
68,STAD3,,,STAD,3,6/29/2017,6.5,6,345,60,10.98,10.61,11.6,,,4,,
69,BOVI5,,,BOVI,5,6/29/2017,6.5,5.4,265,60,14.71,16.28,12.14,,,3,,
70,CAAD5,,,CAAD,5,6/29/2017,"3.5,2.6,1.9",".4,.2,.1,.1",140,20,2.08,2.67,2.07,,,4,,
71,GOPO4,,,GOPO,4,6/29/2017,13.8,"10.5,7.5",560,265,30.75,20.45,21.12,,,5,,
72,RAFE1,,,RAFE,1,6/16/2017,1.27,0.77,155,60,1.54,NA,NA,,,4,,
73,MYLI1,,,MYLI,1,6/16/2017,"5.2,5.9,6.2","5.8,638",373,20,5.6,6.71,11.21,,,4,,
74,MYLI2,,,MYLI,2,6/16/2017,1.28,1.05,175,100,1.01,NA,NA,,,4,,
75,OCPU1,,,OCPU,1,6/16/2017,"8.2,7.9,12.1,8.3","6.3,7.5,6.5,7,7.1",495,160,2.76,2.2,1.35,,,5,,
76,OCPU2,,,OCPU,2,6/16/2017,"8.0,6.8","5.2,4.5,5.3",395,120,1.2,1.36,1.52,,,5,,
77,OCPU3,,,OCPU,3,6/16/2017,9.6,"4.8,3.9,3.2",371,180,4.72,3.76,4.89,,,4,,
78,MYMU1,,,MYMU,1,6/16/2017,2.6,2,322,100,1.1,1.11,1.07,,,4,,
79,MYLI3,,,MYLI,3,6/16/2017,"11.6,10.3","10.7,7.5",365,90,8.05,5.91,10.77,,,4,,
80,COLA1,,,COLA,1,6/16/2017,2.71,1.97,373,90,2.05,1.54,1.34,,,3,,
81,TAGU3,,,TAGU,3,6/16/2017,8.5,7.6,535,80,3.52,3.28,4.34,,,5,,
82,LEEL5,,,LEEL,5,6/16/2017,4.7,3.6,197,80,9.8,9.1,9.6,,,3,,
83,MYFA3,MYFA4,,MYFA,3,6/16/2017,6.8,"5.5,3",290,30,8.86,9.61,9.47,,,5,,
84,MYMU2,,,MYMU,2,6/16/2017,1.73,0.96,205,70,0.85,1.19,1.01,,,4,,
85,SCVI2,,,SCVI,2,6/16/2017,2.05,".92,.8",280,30,1.9,2.15,2.47,,,4,,
86,CABR3,CABR2,,CABR,3,6/16/2017,10.2,8.5,375,100,18.82,19.37,18.85,,,5,,
87,STFE1,,,STFE,1,6/16/2017,"14,15.3,17","11.7,12.6,14.5",582,150,23.9,18.75,23.6,,,5,,
88,MYLI4,,,MYLI,4,6/16/2017,23.9,20.8,535,85,22.7,19.66,15.6,,,5,,
89,RAUM3,,,RAUM,3,6/16/2017,3.6,2.8,375,170,2.62,3.18,2.04,,,4,,
90,MILI3,,,MILI,3,6/16/2017,"7.4,7.3","3.6,4.5",355,50,4.14,3.33,4.12,,,3,,
91,TOFO1,,,TOFO,1,6/15/2017,1.5,1.05,150,134,0.76,NA,NA,,,3,,
92,ANCR3,Annona1-3,,ANCR,3,6/15/2017,14.9,"10,10.5",390,120,18.9,17.2,18.6,,,4,,
93,DUFU2,,,DUFU,2,6/15/2017,3.5,1.6,220,50,2.87,2.44,2.63,,,4,,
94,STRO1,,,STRO,1,6/15/2017,14.5,14.7,460,270,14.52,21.83,17.06,,,4,,
95,QUGR1,,,QUGR,1,6/15/2017,6.5,5.7,460,70,12.45,11.45,11.7,,,5,,
96,LEEL1,,,LEEL,1,6/15/2017,7,5,210,70,14.55,14.58,15.05,,,4,,
97,ANCR2,Annona1-2,,ANCR,2,6/15/2017,21.5,16.5,690,150,29.4,20.26,34.56,,,4,,
98,ANCR1,Annona1-1,,ANCR,1,6/15/2017,15.5,"10.7,9.5",560,260,32.93,31.23,25.3,,,4,,
99,DIMO1,,,DIMO,1,6/15/2017,5.8,5,240,30,10.58,11.97,11.45,,,4,,
100,ERSU2,,,ERSU,2,6/15/2017,6.1,5.9,250,60,15.03,15.53,16.04,,,4,,
101,KICO1,,,KICO,1,6/15/2017,9.7,5.8,250,120,25.9,24.3,20.04,,,3,,
102,DIBU1,,,DIBU,1,6/15/2017,12.7,13.2,390,200,19.5,19.6,16.5,,,4,,
103,MAAC1,,,MAAC,1,6/15/2017,4.8,3.8,360,200,9.07,9.61,9.85,,,4,,
104,ERSU1,,,ERSU,1,6/15/2017,7.5,6.8,280,80,24.6,18.54,23.11,,,4,,
105,VOTU1,,,VOTU,1,6/15/2017,11.3,8.6,520,50,8.93,10.58,10.07,,,5,,
106,GOBA1,,,GOBA,1,6/15/2017,"8.3,6.5","4.3,5.7",330,140,5.26,4.76,4.21,,,4,,
107,MIAL1,,,MIAL,1,6/15/2017,11.7,"4,6.5,3.2,3",290,40,16.7,9.9,6.4,,,4,,
108,DUFU1,,,DUFU,1,6/15/2017,3.5,1.55,200,0,1.72,2.49,1.64,,,4,,
109,STRO2,,,STRO,2,6/15/2017,6.8,"4,4.5",325,160,8.19,8.95,8.31,,,5,,
110,STCA3,,,STCA,3,6/15/2017,4,3,250,98,1.88,1.77,2.27,,,4,,
111,AEVE1,,,AEVE,1,6/15/2017,9.2,9,380,220,19.15,19.05,21.35,,,4,,
112,ANCO1,Annona3-1,,ANCO,1,6/15/2017,9.2,8.5,450,300,10.94,7.9,9.42,,,5,,
113,DIMO3,,,DIMO,3,6/15/2017,6.4,5,300,130,10.67,11.09,10.73,,,4,,
114,STCA1,,,STCA,1,6/15/2017,5.9,5.5,350,220,4.08,3.96,4.87,,,4,,
115,DIBU3,,,DIBU,3,6/15/2017,7.1,6.8,280,190,13,13.2,11.1,,,4,,
116,STCA2,,,STCA,2,6/15/2017,6.8,"6,5.3",340,170,4.9,4.98,5.32,,,4,,
117,CESE2,,,CESE,2,6/15/2017,"1.26,1.18,.93",".75,.51",230,85,0.56,NA,NA,,,3,,
118,PEOB1,,,PEOB,1,6/15/2017,3.9,3.2,410,180,2.6,2.8,2.97,,,4,,
119,DIMO2,,,DIMO,2,6/15/2017,2.8,1.73,220,120,4.15,4.01,4.06,,,4,,
120,ANDI1,Annona2-1,,ANDI,1,6/15/2017,3,0.5,150,20,3.93,3.14,2.67,,,3,,
121,MYTO1,,,MYTO,1,6/15/2017,4.1,1.5,220,30,4.15,4.01,4.06,,,4,,
122,DIBU2,,,DIBU,2,6/15/2017,8.5,8,230,100,15.66,16.67,15.17,,,4,,
123,ANCR4,Annona 1-4,,ANCR,4,6/15/2017,11.8,"7.5,9.1",390,120,26.2,22.02,22.27,,,5,,
124,SOLY1,,,SOLY,1,6/15/2017,"1.56,2.04",NA,120,0,2.03,1.99,2.18,,,4,,
125,TAOC2,,,TAOC,2,6/15/2017,2.92,0.48,150,80,10.8,11.1,8.01,,,4,,
126,CESE1,,,CESE,1,6/15/2017,"1.43,4.26","1.2,.75",200,60,1.09,NA,NA,,,4,,
127,MABR1,,,MABR,1,6/15/2017,3.4,2.2,290,140,1.9,1.6,1.56,,,3,,
128,GOPO1,,,GOPO,1,6/15/2017,15.5,"11,4.9",550,70,23.75,24.5,27.4,,,5,,
129,TAOC1,,,TAOC,1,6/15/2017,4.5,".5,.5",170,110,11.1,15.5,11,,,4,,
130,ERSU3,,,ERSU,3,6/15/2017,6.2,"4.2,3.4",240,120,17.5,19.3,16.3,,,4,,
131,OUSP1,,,OUSP,1,6/15/2017,"10.2,10.6","8.8,8.4",270,80,12.88,14.48,14.67,,,4,,
132,ANCO2,Annona3-2,,ANCO,2,6/15/2017,14.2,"10.8,7.7",560,230,10.9,15,9.3,,,5,,
133,TACA3,,,TACA,3,6/14/2017,7.8,5.1,272,45,6.61,8.02,7.42,,,4,,
134,MYTO4,Myrcia1-1,,MYTO,4,6/14/2017,7,"3.8,3.2,2.7",301,100,6.9,4.6,6.7,,,4,,
135,QUGR2,,,QUGR,2,6/14/2017,"12.9,11.3,12.8","11.4,10.4,11.6",494,170,12.2,12.7,13.6,,,5,,
136,OCCO1,,,OCCO,1,6/14/2017,"4.7,4.6","3.2,3.7",340,73,1.95,2.2,2.02,,,5,,
137,STCA4,,,STCA,4,6/14/2017,4.2,"2.13,2.25",292,132,3.12,2.39,2.23,,,4,,
138,ERCU1,,,ERCU,1,6/14/2017,0.9,NA,127,33,0.67,NA,NA,,,4,,
139,ANCR7,Annona1-7,,ANCR,7,6/14/2017,22.7,"14.3,10.1",535,122,27.5,24.3,27.6,,,5,,
140,MAEL1,,,MAEL,1,6/14/2017,"3.6,4.2,3.6,2.8,2.5,2.6","3.1,3,3.5,2.1,2.1,1.9",302,58,1.38,1.05,1.36,,,4,,
141,MYTO2,,,MYTO,2,6/14/2017,5,"1.98,2.14",210,87,2.24,2.5,2.1,,,5,,
142,CABR1,,,CABR,1,6/14/2017,4.5,NA,127,58,11.8,10.45,10.24,,,5,,
143,TACA2,,,TACA,2,6/14/2017,4.4,"2.5,1.9",260,91,3.88,4.12,3.89,,,5,,
144,DUFU3,,,DUFU,3,6/14/2017,3.1,"1.5,1.4,1.2",253,5,2.26,1.89,1.95,,,4,,
145,TACA1,,,TACA,1,6/14/2017,3.8,2.87,205,64,3.3,4.5,5.08,,,4,,
146,CAAD1,,,CAAD,1,6/14/2017,"2.3,2.4",NA,154,44,0.62,0.98,0.87,,,4,,
147,BADR1,,,BADR,1,6/14/2017,1.37,0.7,232,105,0.71,NA,NA,,,4,,
148,PEOB2,,,PEOB,2,6/14/2017,"10.1,5","4.1,5.54",384,148,6.46,4.63,5.15,,,3,,
149,ANCR6,Annona1-6,,ANCR,6,6/14/2017,17.7,16.7,595,286,26.5,24.3,23.3,,,5,,
150,GOBA2,,,GOBA,2,6/14/2017,7,"3.2,2.8,2.7,2.7",277,95,4.8,4.56,4.78,,,5,,
151,ERSU4,,,ERSU,4,6/14/2017,"6.5,5.3,4.4,5.1,4.2,4.7","3.8,3.3,3.5,2.9,3.2,3.4",177,25,12.06,13.29,15.73,,,5,,
152,OUSP2,,,OUSP,2,6/14/2017,9.6,"5.6,6.5",230,45,12.84,10.8,10.6,,,5,,
153,ZARH1,,,ZARH,1,6/14/2017,2.18,NA,115,50,2.07,1.96,1.89,,,5,,
154,CABR2,,,CABR,2,6/14/2017,4.5,1.09,148,40,10.08,10.95,8.92,,,4,,
155,RAFE6,MYFE2,,RAFE,6,6/14/2017,"1.63,14",".9,.95",180,55,1.28,1.6,1.59,,,5,,
156,AEVE3,,,AEVE,3,6/14/2017,7.3,5.5,325,140,8.18,9,9.06,,,5,,
157,PEOB3,,,PEOB,3,6/14/2017,"5,4.2,10.8,10.3,9.6,9.3,3.8,3.5","3.6,3.6,2.8,4,10.3,7,7.8,8.3,6.5",430,20,2.7,2.18,2.46,,,5,,
158,TACA4,,,TACA,4,6/14/2017,"9.3,5.7,12.3","9.7,7.5",332,60,8.05,9.09,8.18,,,4,,
159,OCCO2,,,OCCO,2,6/14/2017,16.5,13.8,600,210,5.28,6.6,6.61,,,5,,
160,VOTU2,,,VOTU,2,6/14/2017,"8.3,10.4","5.4,7",420,20,6.4,6.81,6.22,,,5,,
161,ERSU5,,,ERSU,5,6/14/2017,"6,5.5,5.3","3.2,2.9,3.5,2.6",242,53,12.11,12.74,11.75,,,4,,
162,RAFE3,MYFE1,,RAFE,3,6/14/2017,1.61,2.54,225,60,2.5,2.4,2.22,,,4,,
163,ANDI2,Annona2-2,,ANDI,2,6/14/2017,3.3,".6,.4,.7",169,40,1.98,2.33,1.58,,,4,,
164,MAAC2,,,MAAC,2,6/14/2017,4.5,"2.4,1.93",252,110,6.7,6.05,5.19,,,4,,
165,CASY1,,,CASY,1,6/14/2017,"9.5,2.5,2.4,2.5,2.4,2.7,2.6,3.2","2.2,2.3,2.7,2.8,2.4,1.9,1.6,2.4",302,30,4.74,5.18,5.4,,,4,,
166,MAEL2,,,MAEL,2,6/14/2017,"3.24,2.1,2.8,2.3,2.1","1.19,1.61,1.91,2.37,2.01,2.53",260,32,1.64,1.71,1.35,,,4,,
167,ERCU2,,,ERCU,2,6/14/2017,0.74,0.43,160,50,0.67,NA,NA,,,4,,
168,GOPO5,,,GOPO,5,6/21/2017,26,"12.6,8.8,12.5,8.7",500,100,36.54,29.13,32.73,,,5,,
169,PEWI1,Persea1,,PEWI,1,6/21/2017,21.5,18.6,675,305,13.06,11.83,13.15,,,5,,
170,PRMY1,,,PRMY,1,6/21/2017,4,3.2,430,135,2.64,2.4,2.07,,,4,,
171,QUGR3,,,QUGR,3,6/21/2017,9.4,"1.6,1.1,.94",265,110,10.66,10.72,10.51,,,5,,
172,OUSP5,,,OUSP,5,6/21/2017,12.5,11.5,385,240,13.67,11.4,12.2,,,5,,
173,AEVE5,,,AEVE,5,6/21/2017,8.9,7.1,545,340,10.98,10.97,10.95,,,5,,
174,STFE5,,,STFE,5,6/21/2017,11.1,7.7,405,150,20.1,18.6,18.77,,,5,,
175,AMIN1,,,AMIN,1,6/21/2017,2.3,2.2,250,100,1.8,1.78,2.2,,,3,,
176,RAGU2,,,RAGU,2,6/21/2017,"2.9,1.9,1.1",1.6,170,90,4.57,3.46,3.49,,,4,,
177,AMIN2,,,AMIN,2,6/21/2017,"3.2,2.1","2.2,1.6",245,60,1.2,1.15,1.12,,,4,,
178,QUMU1,,,QUMU,1,6/21/2017,14,13.5,415,245,10.57,13,12.72,,,3,,
179,RAGU3,,,RAGU,3,6/21/2017,5.2,3.2,286,205,7.85,7.51,8.77,,,3,,
180,QUMU2,,,QUMU,2,6/21/2017,6.8,7.3,335,180,8.06,7.58,7.78,,,4,,
181,POTO1,,,POTO,1,6/21/2017,"17.7,19.5","19.3,15.9,14.2",760,140,23.05,25.49,33.16,,,4,,
182,POTO2,,,POTO,2,6/21/2017,24.5,21.2,770,255,30.29,30.33,26.17,,,4,,
183,ANCO3,,,ANCO,3,6/20/2017,5.7,4,210,20,9.18,10.89,10.66,,,4,,
184,CABR4,,,CABR,4,6/20/2017,7.3,0.95,155,60,21.3,22.04,19.29,,,4,,
185,CABR5,,,CABR,5,6/20/2017,10.5,7.5,240,110,16.77,13.56,10.03,,,5,,
186,BARU4,Unk. Fab. ,,BARU,4,6/20/2017,4,3.5,395,255,2.02,NA,NA,,,5,,
187,ERCU5,,,ERCU,5,6/20/2017,0.52,NA,100,70,0.62,NA,NA,,,4,,
188,SCVI4,,,SCVI,4,6/20/2017,2.24,1.79,305,181,1.83,1.76,1.81,,,4,,
189,MYFA4,,,MYFA,4,6/20/2017,5.5,2.5,225,60,7.07,6.76,6.84,,,4,,
190,KICO2,,,KICO,2,6/20/2017,6.7,4.8,242,12,16.55,21.6,19.63,,,4,,
191,MYFA5,,,MYFA,5,6/20/2017,7.5,7.6,385,130,8.67,8.63,8.23,,,4,,
192,STFE6,STFE4,,STFE,6,6/20/2017,17.7,15.5,265,70,27.23,26.96,30.77,,,4,[duplicate of STFE4 -- this one is later in the day and reassigned STFE6. Bags mislabeled as duplicate STFE3? I think -- changed on other sheets as well -- SF 082317],
193,KICO3,,,KICO,3,6/20/2017,2.02,NA,140,95,6.05,6.47,5.18,,,3,,
194,SOLY4,,,SOLY,4,6/20/2017,1.46,NA,100,15,1.37,NA,NA,,,4,,
195,CASY2,,,CASY,2,6/20/2017,0.67,NA,90,10,0.59,NA,NA,,,3,,
196,TOFO4,,,TOFO,4,6/20/2017,1.45,0.49,137,105,1.1,NA,NA,,,3,,
197,RAGU1,,,RAGU,1,6/20/2017,1.1,NA,86,15,1.73,NA,NA,,,4,,
198,KICO4,,,KICO,4,6/20/2017,9.5,4.5,215,115,24.5,25.3,29.06,,,3,,
199,PLPO3,,,PLPO,3,6/20/2017,5.5,4.2,290,160,12.81,11.74,9.7,,,4,,
200,PLPO4,,,PLPO,4,6/20/2017,5.1,2.1,200,80,6.4,6.01,5.88,,,4,,
201,STPO4,STPO1,,STPO ,4,6/20/2017,6,5.2,588,217,6.83,7.33,6.11,,,3,,
202,PRHE1,,,PRHE,1,6/20/2017,5.7,4.6,565,135,2.23,2.56,2.68,,,3,,
203,BOVI1,,,BOVI,1,6/20/2017,2.98,2.01,231,135,5.38,6.36,6.4,,,4,,
204,STFE2,,,STFE,2,6/20/2017,19.2,18.1,645,170,39.02,30.87,39.06,,,5,,
205,OCPU5,,,OCPU,5,6/20/2017,4.5,3.6,440,242,1.71,2.03,1.9,,,4,,
206,STFE3,,,STFE,3,6/20/2017,18.5,16.8,460,120,10.4,16.78,18.9,,,5,,
207,STFE4,,,STFE,4,6/20/2017,15,9.5,390,100,20.3,14.04,16.27,,,5,,
208,SCVI3,,,SCVI,3,6/20/2017,1.56,0.79,160,50,0.53,NA,NA,,,3,,
209,TOFO2,,,TOFO,2,6/20/2017,1.4,0.93,175,80,1.28,NA,NA,,,4,,
210,TOFO3,,,TOFO,3,6/20/2017,1.33,0.74,140,95,1.31,NA,NA,,,5,,
211,SOLY5,SOLY1,,SOLY,5,6/20/2017,1.92,1.23,100,5,1.96,NA,NA,,,4,,
212,SIGU1,,,SIGU,1,6/20/2017,0.71,0.55,135,40,1.05,NA,NA,,,3,,
213,MYMU3,,,MYMU,3,6/20/2017,2.65,1.85,260,30,2.47,1.43,1.27,,,4,,
214,AMIN3,,,AMIN,3,6/20/2017,2.98,2.22,295,60,1.86,2.17,4.01,,,3,Labeled FAMO1 in field,
215,AMIN4,,,AMIN,4,6/20/2017,1.48,0.42,174,35,1.08,NA,NA,,,3,labeled FAMO2 in field,
216,SOLY2,,,SOLY,2,6/20/2017,0.947,NA,110,40,0.92,NA,NA,,,4,,
217,SOLY3,,,SOLY,3,6/20/2017,0.785,NA,90,40,0.78,NA,NA,,,4,,
218,BOVI2,,,BOVI,2,6/20/2017,2.615,NA,120,70,5.74,4.86,5.77,,,4,,
219,MILI4,,,MILI,4,6/20/2017,9.9,7.8,433,60,6.66,7.35,7.16,,,5,,
220,BYCO2,,,BYCO,2,7/7/2017,4.3,6,390,90,12.35,9.98,10.08,,,3,,
221,TAGU5,,,TAGU,5,7/7/2017,3,2.53,312,236,2.07,1.85,2.06,,,3,,
222,QUGR5,,,QUGR,5,7/7/2017,21.8,22.8,490,240,30,26,28.13,,,5,,
223,MYTO5,,,MYTO,5,7/7/2017,3.2,1.92,255,130,3.81,3.34,4.48,,,4,,
224,ERGR4,,,ERGR,4,7/7/2017,12.4,11.9,535,420,24.88,21.53,18.22,,,4,,
225,JACA3,,,JACA,3,7/7/2017,6.8,6.6,620,225,3.38,2.27,2.59,,,4,,
226,TAOC4,,,TAOC,4,7/7/2017,6,4.9,205,130,20.46,11.47,13.56,,,4,,
227,JACA4,,,JACA,4,7/7/2017,3.9,2.8,380,130,1.77,1.89,1.9,,,4,,
228,DUFU5,,,DUFU,5,7/7/2017,1.64,".5,.8",160,40,1.09,NA,NA,,,4,,
229,COSU3,,,COSU,3,7/7/2017,12.6,11.2,265,120,25.12,23.39,27.57,,,3,,
230,MABR5,,,MABR,5,7/7/2017,13.2,12.4,725,265,3.81,3.31,3.19,,,5,,
231,ERGR5,,,ERGR,5,7/7/2017,3,1.1,170,85,8.42,8.65,9.22,,,3,,
232,CASY5,,,CASY,5,7/7/2017,1.97,1.17,175,130,0.96,NA,NA,,,3,,
233,SYPU4,,,SYPU,4,7/7/2017,7.5,5.3,420,160,5.7,5.1,4.4,,,4,,
234,RAGU5,,,RAGU,5,7/7/2017,9.3,"5.2,3.5",365,170,9.35,10.51,14.58,,,4,,
235,RAUM4,,,RAUM,4,7/7/2017,2.4,"1.3,1.1",255,105,1.44,1.54,2.15,,,4,,
236,PEOB4,,,PEOB,4,7/7/2017,12,13,740,470,4.99,5.14,4.12,,,5,,
237,MYMU4,,,MYMU,4,7/7/2017,1.19,0.9,210,160,0.33,NA,NA,,,4,,
238,SYPU5,,,SYPU,5,7/7/2017,"10,5,4.5","7.5,5,4",615,170,5.9,6.06,4.72,,,4,,
239,GOPO6,T1,,GOPO,6,6/10/2017,"22, 16.2","10.7,9.2,16.2,13.9,6.3",400,190,21.11,NA,NA,,,4,,
240,STRO7,T2,,STRO,7,6/10/2017,5.1,3.9,194,138,7.49,7.21,7.55,,,3,,
