"","Genus","Species","Family","Old.name","Code","FG","Life.Form","New.name","NewCode","Authority","species.relative","genus.relative","classification80","classification70","classification66"
"180","Coutarea","hexandra","Rubiaceae","Coutarea hexandra","COHE","G","tree","Coutarea hexandra","COHE","","",NA,"F","F","F"
"181","Faramea","montevidensis","Rubiaceae","Faramea montevidensis","FAMO","G","tree","Faramea montevidensis","FAMO","(Cham. & Schltdl.) DC.","",NA,"F","F","F"
"182","Ixora","venulosa","Rubiaceae","Ixora venulosa","IXVE","F","tree","Ixora venulosa","IXVE","","",NA,"F","F","F"
"183","Palicourea","marcgravii","Rubiaceae","Palicourea marcgravii","PAMA","G","shrub","Palicourea marcgravii","PAMA","","",NA,"F","F","F"
"184","Psychotria","carthagenensis","Rubiaceae","Psychotria carthagenensis","PSCA","F","shrub","Psychotria carthagenensis","PSCA","","",NA,"F","F","F"
"185","Psychotria","vellosiana","Rubiaceae","Psychotria vellosiana","PSVE","G","treelet","Psychotria vellosiana","PSVE","","",NA,"F","F","F"
"186","Randia","calycina","Rubiaceae","Randia calycina","RACA","F","treelet","Randia calycina","RACA","","",NA,NA,NA,NA
"187","Tocoyena","formosa","Rubiaceae","Tocoyena formosa","TOFO","S","shrub","Tocoyena formosa","TOFO","(Cham. & Schltdl.) K.Schum.","",NA,"S","S","S"
"188","Guettarda","viburnoides","Rubiaceae","Guettarda viburnoides","GUVI","F","tree","Guettarda viburnoides","GUVI","Cham. & Schltdl.","",NA,"G","F","F"
"189","Citrus","limon","Rutaceae","Citrus limon","CILI","F","tree","Citrus limon","CILI","","",NA,NA,NA,NA
"190","Esenbeckia","febrifuga","Rutaceae","Esenbeckia febrifuga","ESFE","F","treelet","Esenbeckia febrifuga","ESFE","","",NA,"F","F","F"
"191","Helietta","apiculata","Rutaceae","Helietta apiculata","HEAP","F","tree","Helietta apiculata","HEAP","Benth.","",NA,"F","F","F"
"192","Zanthoxylum","rhoifolium","Rutaceae","Zanthoxylum rhoifolium","ZARH","G","tree","Zanthoxylum rhoifolium","ZARH","Lam.","",NA,"G","F","F"
"193","Casearia","decandra","Salicaceae","Casearia decandra","CADE","F","tree","Casearia decandra","CADE","","",NA,"F","F","F"
"194","Casearia","gossypiosperma","Salicaceae","Casearia gossypiosperma","CAGO","F","tree","Casearia gossypiosperma","CAGO","","",NA,"F","F","F"
"195","Casearia","lasiophylla","Salicaceae","Casearia lasiophylla","CALA","F","tree","Casearia lasiophylla","CALA","","",NA,"G","F","F"
"196","Casearia","sylvestris","Salicaceae","Casearia sylvestris","CASY","F","tree","Casearia sylvestris","CASY","Sw.","",NA,"G","F","F"
"197","Cupania","tenuivalvis","Sapindaceae","Cupania tenuivalvis","CUTE","G","treelet","Cupania tenuivalvis","CUTE","Radlk.","",NA,"F","F","F"
"198","Cupania","vernalis","Sapindaceae","Cupania vernalis","CUVE","F","tree","Cupania vernalis","CUVE","Cambess.","",NA,"F","F","F"
"199","Matayba","elaeagnoides","Sapindaceae","Matayba elaeagnoides","MAEL","G","tree","Matayba elaeagnoides","MAEL","Radlk.","",NA,"G","F","F"
"200","Chrysophyllum","marginatum","Sapotaceae","Chrysophyllum marginatum","CHMA","G","tree","Chrysophyllum marginatum","CHMA","(Hook. & Arn.) Radlk.","",NA,"G","F","F"
"201","Pouteria","ramiflora","Sapotaceae","Pouteria ramiflora","PORA","G","tree","Pouteria ramiflora","PORA","(Mart.) Radlk.","",NA,"S","S","S"
"202","Pouteria","sp1.","Sapotaceae","Pouteria sp1.","POUTE","S","tree","Pouteria sp1.","POUTE","","",NA,NA,NA,NA
"203","Pouteria","torta","Sapotaceae","Pouteria torta","POTO","S","tree","Pouteria torta","POTO","(Mart.) Radlk.","",NA,"S","S","S"
"204","Siparuna","guianensis","Siparunaceae","Siparuna guianensis","SIGU","G","tree","Siparuna guianensis","SIGU","Aubl.","",NA,"G","G","G"
"205","Cestrum","mariquitense","Solanaceae","Cestrum mariquitense","CESE","F","shrub","Cestrum mariquitense","CEMA","Kunth","",NA,"F","F","F"
"206","Solanum","lycocarpum","Solanaceae","Solanum lycocarpum","SOLY","S","shrub","Solanum lycocarpum","SOLY","A.St.-Hil.","",NA,"S","S","S"
"207","Styrax","camporum","Styracaceae","Styrax camporum","STCA","S","tree","Styrax camporum","STCA","Pohl","",NA,"G","G","S"
"208","Styrax","ferrugineus","Styracaceae","Styrax ferrugineus","STFE","S","tree","Styrax ferrugineus","STFE","Nees & Mart.","",NA,"G","S","S"
"209","Styrax","pohlii","Styracaceae","Styrax pohlii","STPO","F","tree","Styrax pohlii","STPO","A. DC.","",NA,"F","F","F"
"210","Symplocos","mosenii","Symplocaceae","Symplocos mosenii","SYRE","G","tree","Symplocos revoluta","SYRE","Casar.","",NA,"F","F","F"
"211","Symplocos","pubescens","Symplocaceae","Symplocos pubescens","SYPU","S","treelet","Symplocos pubescens","SYPU","Klotzsch ex Benth.","",NA,"G","G","S"
"212","Daphnopsis","fasciculata","Thymelaeaceae","Daphnopsis fasciculata","DAFA","G","tree","Daphnopsis fasciculata","DAFA","(Meisn.) Nevling","",NA,"F","F","F"
"213","Daphnopsis","racemosa","Thymelaeaceae","Daphnopsis racemosa","DARA","G","tree","Daphnopsis racemosa","DARA","Griseb.","",NA,"G","G","G"
"214","Cecropia","pachystachya","Urticaceae","Cecropia pachystachya","CEPA","G","tree","Cecropia pachystachya","CEPA","Trécul","",NA,"F","F","F"
"215","Lantana","camara","Verbenaceae","Lantana camara","LACA","G","shrub","Lantana camara","LACA","","",NA,"G","G","G"
"216","Lippia","salviifolia","Verbenaceae","Lippia salviifolia","LISA","S","shrub","Lippia origanoides","LIOR","Cham.","",NA,"S","S","S"
"217","Qualea","cordata","Vochysiaceae","Qualea cordata","QUCO","S","tree","Qualea cordata","QUCO","Spreng.","",NA,"G","G","G"
"218","Qualea","grandiflora","Vochysiaceae","Qualea grandiflora","QUGR","S","tree","Qualea grandiflora","QUGR","Mart.","",NA,"S","S","S"
"219","Qualea","multiflora","Vochysiaceae","Qualea multiflora","QUMU","S","tree","Qualea multiflora","QUMU","Mart.","",NA,"G","G","S"
"220","Vochysia","tucanorum","Vochysiaceae","Vochysia tucanorum","VOTU","G","tree","Vochysia tucanorum","VOTU","Mart.","",NA,"G","G","G"
