"","Genus","Species","Family","Old.name","Code","FG","Life.Form","New.name","NewCode","Authority","species.relative","genus.relative","classification80","classification70","classification66"
"27","Piptocarpha","axillaris","Asteraceae","Piptocarpha axillaris","PIAX","F","tree","Piptocarpha axillaris","PIAX","(Less.) Baker","",NA,"G","F","F"
"28","Piptocarpha","rotundifolia","Asteraceae","Piptocarpha rotundifolia","PIRO","S","treelet","Piptocarpha rotundifolia","PIRO","(Less.) Baker","",NA,"S","S","S"
"29","Vernonanthura","phosphorica","Asteraceae","Vernonanthura phosphorica","VEPH","G","shrub","Vernonanthura phosphorica","VEPH","","",NA,"G","F","F"
"30","Vernonia","sp1.","Asteraceae","Vernonia sp1.","VERNO1","S","shrub","Vernonia sp1.","VERNO1","","",NA,NA,NA,NA
"31","Vernonia","sp2.","Asteraceae","Vernonia sp2.","VERNO2","G","shrub","Vernonia sp2.","VERNO2","","",NA,NA,NA,NA
"32","Adenocalymma","axillare","Bignoniaceae","Adenocalymma axillare","ADAX","S","shrub","Adenocalymma axillare","ADAX","","",NA,"S","S","S"
"33","Cybistax","antisyphilitica","Bignoniaceae","Cybistax antisyphilitica","CYAN","S","tree","Cybistax antisyphilitica","CYAN","","",NA,"G","F","F"
"34","Fridericia","platyphylla","Bignoniaceae","Fridericia platyphylla","FRPL","S","shrub","Fridericia platyphylla","FRPL","","",NA,"S","S","S"
"35","Jacaranda","caroba","Bignoniaceae","Jacaranda caroba","JACA","S","shrub","Jacaranda caroba","JACA","(Vell.) DC.","",NA,"S","S","S"
"36","Jacaranda","micrantha","Bignoniaceae","Jacaranda micrantha","JAMI","F","tree","Jacaranda micrantha","JAMI","","",NA,"F","F","F"
"37","Jacaranda","oxyphylla","Bignoniaceae","Jacaranda oxyphylla","JAOX","S","shrub","Jacaranda oxyphylla","JAOX","","",NA,"S","S","S"
"38","Jacaranda","rufa","Bignoniaceae","Jacaranda rufa","JARU","S","shrub","Jacaranda rufa","JARU","","",NA,"S","S","S"
"39","Jacaranda","sp1","Bignoniaceae","Jacaranda sp1","JACAR","S","shrub","Jacaranda sp2","JACAR","","",NA,NA,NA,NA
