P,Sub,Number,Species,Ht,DBH,D30,,,,,
12,9,3333,Myrcia fallax,6,5.2,5.3,,,,,
12,9,3334,Pera obovata,7,6.6,7.4,,,,,
12,9,3335,Aegiphila sellowiana,3,5.7,6.9,,,,,
12,9,3336,Vochysia tucanorum,12,16.8,18.3,,,,,
12,9,3337,Pera obovata,6,5.1,6.1,,,,,
12,9,3338,Pera obovata,10,12.8,11.8,,,,,
12,9,3339,Ocotea corymbosa,6,7.1,8.2,,,,,
12,9,3340,Lithraea molleoides,6,11.5,14,,,,,
12,9,3341,Myrcia fallax,6,9.7+8.5,11.7,,,,,
12,9,3342,Myrcia fallax,5,4.7,4.1,,,,,
12,9,3343,Rapanea umbellata,4,2.9,3.4,,,,,
12,9,3344,Rapanea umbellata,4,1.6,1.8,,,,,
12,9,3345,Rapanea umbellata,6,4.2,4.8,,,,,
12,9,3346,Myrcia fallax,4,2.8,4,,,,,
12,9,3347,Siparuna guianensis,3.5,1.1,1.5,,,,,
12,9,3348,Pera obovata,4,2.4,2.6,,,,,
12,9,3349,Gochnatia polymorpha,2.2,1,1.6,,,,,
12,9,3350,Gomidesia sp. coletada,2.5,1,1.3,,,,,
12,10,3351,Myrcia fallax,4,5.2,5.2,,,,,
12,10,3352,Myrcia fallax,6,8.1,9,,,,,
12,10,3353,Annona crassiflora,5,6,7.1,,,,,
12,10,3354,Pera obovata,8,7.3,8.7,,,,,
12,10,3355,Rapanea umbellata,6,5.5,6.8,,,,,
12,10,3356,Pera obovata,6,6.2,6.8,,,,,
12,10,3357,Pera obovata,10,9.8,11.4,,,,,
12,10,3358,Tapirira guianensis,10,6.4,7.1,,,,,
12,10,3359,Pera obovata,10,24.5,23.4,,,,,
12,10,3360,Ocotea velloziana,7,5.3,6.6,,,,,
12,10,3361,Ocotea minarum,8,5.8,6.1,,,,,
12,10,3362,Pera obovata,10,8.4,9,,,,,
12,10,3363,Pera obovata,7,5.9,6.6,,,,,
12,10,3364,Lithraea molleoides,8,8.3+17,11.2+16.3,,,,,
12,10,3365,Gochnatia polymorpha,8,9,10.5,,,,,
12,10,3366,Casearia sylvestris,9,7.6+7.8+8+13+7.5,24.6,,,,,
12,10,3367,Tapirira guianensis,10,7,7.8,,,,,
12,10,3368,Gochnatia polymorpha,3,2.1,3.5,,,,,
12,10,3369,Myrcia fallax,3,2.2,2,,,,,
12,10,3370,Rapanea umbellata,3.5,1.5,1.8,,,,,
12,10,3371,Casearia sylvestris,3,2.2,2.8,,,,,
12,10,3372,Casearia sylvestris,1.5,1.3,2.5,,,,,
12,10,3373,Tapirira guianensis,2.5,1.1,1.5,,,,,
12,10,3374,Styrax camporum,2.5,1.5,1.9,,,,,
12,10,3375,Casearia sylvestris,2.8,1,1.8,,,,,
12,10,3376,Casearia sylvestris,3,2.5,3,,,,,
12,10,3377,Casearia sylvestris,2.8,0.3,1.4,,,,,
12,10,3378,Copaifera langsdorffii,3,1.7,2,,,,,
12,10,3379,Copaifera langsdorffii,5,1.8,2.8,,,,,
12,10,3380,Pera obovata,2.5,1.5,2,,,,,
12,10,3381,Pera obovata,2.8,1.6,2.2,,,,,
12,10,3382,Myrcia fallax,3,3.3+1.2,3.4,,,,,
12,10,3383,Ocotea minarum,3,1.5,1.8,,,,,
12,10,3384,Pera obovata,2.8,1.6,2,,,,,
12,10,3385,Pera obovata,4,2.9,3.3,,,,,
12,10,3386,Casearia sylvestris,3.5,3.7,4.8,,,,,
12,10,3387,Myrcia fallax,3,2,2.9,,,,,
12,10,3388,Pera obovata,2.5,1.2,1.4,,,,,
12,10,3389,Myrcia lasiantha,3.5,1.8,2.5,,,,,
12,10,3390,Pera obovata,3.5,1.3,1.5,,,,,
12,10,3391,Campomanesia adamantium,2,2.2,1.4,,,,,
12,10,3392,Campomanesia adamantium,1.8,1.4,2.5,,,,,
12,10,3393,Campomanesia adamantium,2.5,2,3.5,,,,,
12,10,3394,Matayba elaeagnoides,2.5,1.6,1.8,,,,,
12,10,3395,Myrcia lasiantha,3,1.5,1.8,,,,,
12,10,3396,Pera obovata,3,1.3,1.5,,,,,
13,1,2510,Ocotea corymbosa,6,7.4,8.5,,,,,
13,1,2511,Gochnatia polymorpha,4.5,6.7,9.9,,,,,
13,1,2512,Gochnatia polymorpha,3.5,5,6.9,,,,,
13,1,2513,Gochnatia polymorpha,4,6.6+5,12.8,,,,,
13,1,2514,Gochnatia polymorpha,2.5,5.1,6,,,,,
13,1,2515,Gochnatia polymorpha,4.5,9.9,11.3,,,,,
13,1,2516,Cybistax antisyphilitica,4.5,10.2,11,,,,,
13,1,2517,Gochnatia polymorpha,4.5,9.3,11.3,,,,,
13,1,2518,Gochnatia polymorpha,3.5,8.8,9,,,,,
13,1,2519,Gochnatia polymorpha,2,1.9+1.4+1.1,3.4,,,,,
13,1,2520,Gochnatia polymorpha,2.5,2.9,4.3,,,,,
13,1,2521,Gochnatia polymorpha,2.5,1.4+1.1+1.5,3.9,,,,,
13,1,2522,Gochnatia polymorpha,2.5,4.3+1.3,5.3,,,,,
13,1,2523,Cybistax antisyphilitica,1.9,2.3,4,,,,,
13,1,2524,Gochnatia polymorpha,3,2.5,3.2,,,,,
13,1,2525,Gochnatia polymorpha,2,2.4+1.9,3.7,,,,,
13,1,2526,Campomanesia adamantium,1.7,1.1+1.1,2.3,,,,,
13,1,2527,Campomanesia adamantium,1.7,1.9,2.5,,,,,
13,1,2528,Campomanesia adamantium,1.7,1.5,3.2,,,,,
13,1,2529,Campomanesia adamantium,1.8,1+2.3,3.7,,,,,
13,1,2530,Campomanesia adamantium,1.7,1,2,,,,,
13,1,2531,Campomanesia adamantium,1.7,1.3+1.1,2.5,,,,,
13,2,2532,Gochnatia polymorpha,6.5,(18.9+5.5)+(7+12.5),25+21.1,,,,,
13,2,2533,Gochnatia polymorpha,3.5,(5.3+5.2)+7.2,7.7+9.3,,,,,
13,2,2534,Gochnatia polymorpha,4,8.1,10.3,,,,,
13,2,2535,Pera obovata,5,7.8,9.3,,,,,
13,2,2536,Stryphnodendron rotundifolium,4.5,7.4,7.8,,,,,
13,2,2537,Gochnatia polymorpha,3,5.5,7,,,,,
13,2,2538,Gochnatia polymorpha,3.5,8.1,8.4,,,,,
13,2,2539,Gochnatia polymorpha,4.5,5.6,6.4,,,,,
13,2,2540,Caryocar brasiliense,3,8.3,11.7,,,,,
13,2,2541,Gochnatia polymorpha,3,5.1,6.4,,,,,
13,2,2542,Myrcia multiflora,2.8,1.5,2,,,,,
13,2,2543,"Heteropterys ""rosa""",3.5,2.1,2.1,,,,,
13,2,2544,Caryocar brasiliense,2,7.3,8.6,,,,,
13,2,2545,Gochnatia polymorpha,4,8+9.7,10+10.9,,,,,
13,2,2546,Caryocar brasiliense,2.5,8.7,10,,,,,
13,2,2547,Machaerium brasiliense,2.2,1.1+1.3,2.1,,,,,
13,2,2548,Gochnatia polymorpha,2.5,4,5.3,,,,,
13,2,2549,Stryphnodendron rotundifolium,1.9,1.1,2,,,,,
13,2,2550,Caryocar brasiliense,1.9,1.1+1.1+15,6.9,,,,,
13,2,2551,Caryocar brasiliense,1.8,2.2,5.8,,,,,
13,2,2552,Campomanesia adamantium,1.8,1.5,2.9,,,,,
13,2,2553,Myrcia fallax,2,1.2,1.7,,,,,
13,3,2554,Stryphnodendron rotundifolium,3.5,5.8,6,,,,,
13,3,2555,Gochnatia polymorpha,4,5.5,12.5,,,,,
13,3,2556,Ocotea pulchella,5.5,5+(8+6),7.4+10.5,,,,,
13,3,2557,Annona crassiflora,6.5,15.6,18.1,,,,,
13,3,2558,Ocotea corymbosa,5.5,6.4,6.8,,,,,
13,3,2559,Gochnatia polymorpha,4,5.2,6.8,,,,,
13,3,2560,Machaerium brasiliense,4.5,3.2,4.2,,,,,
13,3,2561,Myrcia multiflora,1.9,1,1.6,,,,,
13,3,2562,Ocotea corymbosa,3,1.4+1.5,2.1,,,,,
13,3,2563,Zanthoxylum rhoifolium,2,2.2,2.1,,,,,
13,3,2564,Gochnatia barrosii,3,2.5+1.3+2.1,4.5,,,,,
13,3,2565,Campomanesia adamantium,1.7,1.4,2.5,,,,,
13,3,2566,Caryocar brasiliense,1.8,1.1,1.5,,,,,
13,3,2567,Leptolobium elegans,1.7,1.5,3.2,,,,,
13,3,2568,Chromolaena laevigata,2.5,1,1,,,,,
13,4,2569,Gochnatia polymorpha,4.55,6.8,11,,,,,
13,4,2570,Gochnatia polymorpha,6.5,20.2+11.1+18,45.1,,,,,
13,4,2571,Ocotea corymbosa,7,8,12.3,,,,,
13,4,2572,Casearia sylvestris,4,7.4,7.8,,,,,
13,4,2573,Pera obovata,5.5,6.1,7.6,,,,,
13,4,2574,Diospyros hispida,2.3,6,6.4,,,,,
13,4,2575,Casearia sylvestris,2.1,1+1.9,2.4+2.1,,,,,
13,4,2576,Leptolobium elegans,1.7,2,3.8,,,,,
13,4,2577,Matayba elaeagnoides,2.1,1.9,3.3,,,,,
13,4,2578,Casearia sylvestris,2.5,1.5+1.9+1.8,1.6+2.5+2.3,,,,,
13,4,2579,Casearia sylvestris,2.5,2.6,3.2,,,,,
13,4,2580,Casearia sylvestris,2,1.4,5.9,,,,,
13,4,2581,Myrcia fallax,2.5,3.7,6.7,,,,,
13,4,2582,Styrax camporum,2.6,1.7,2.5,,,,,
13,4,2583,Myrcia fallax,2.5,1.6+1.5,3.5,,,,,
13,4,2584,Myrcia fallax,2.5,1.4,2,,,,,
13,4,2585,Machaerium brasiliense,3.5,3.6,4.4,,,,,
13,5,2586,Gochnatia polymorpha,3.5,8.2+9.7,13,,,,,
13,5,2587,Gochnatia polymorpha,4.5,17+9.9,22.9,,,,,
13,5,2588,Gochnatia polymorpha,3,6.3,10.4,,,,,
13,5,2589,Gochnatia polymorpha,3.5,5.5+5.9,8.8,,,,,
13,5,2590,Dimorphandra mollis,2.2,2.7,4,,,,,
13,5,2591,Myrcia fallax,2.3,1.1+(2.1+1.2),2.6+3.9,,,,,
13,5,2592,Gochnatia polymorpha,2,1.5,3.4,,,,,
13,6,2593,Gochnatia polymorpha,3.5,6.8,9.4,,,,,
13,6,2594,Gochnatia polymorpha,4,(5.3+6.3)+7.7,10.7+9.4,,,,,
13,6,2595,Dimorphandra mollis,3,5.7,7,,,,,
13,6,2596,Tabernaemontana catharinensis,1.8,1.1+1.2,2.7,,,,,
13,6,2597,Myrcia fallax,2.5,2.6,4,,,,,
13,6,2598,Dimorphandra mollis,2.2,(2.4+1.8)+2.8,4+3.9,,,,,
13,6,2599,Dimorphandra mollis,1.9,2.3,3.5,,,,,
13,6,2600,Dimorphandra mollis,2.5,3.9,4.2,,,,,
13,6,2601,Aegiphila sellowiana,2.5,1.2,1.9,,,,,
13,6,2602,Leptolobium elegans,1.7,1.3,4.1,,,,,
13,6,2603,Leptolobium elegans,1.7,1.6,4.2,,,,,
13,7,2604,Ocotea corymbosa,6,8.6,9.6,,,,,
13,7,2605,Gochnatia barrosii,6.5,23.6+18.6+19.7+22.9+12.7+8.3,45.5,,,,,
13,7,2606,Ocotea corymbosa,5.5,5.3,6.1,,,,,
13,7,2607,Ocotea corymbosa,4.5,1.6,2.2,,,,,
13,7,2608,Styrax camporum,4,2.8,3.8,,,,,
13,7,2609,Ocotea corymbosa,5,6.2,7,,,,,
13,7,2610,Ocotea corymbosa,5,4.4,5,,,,,
13,7,2611,Myrcia fallax,2.5,2.3,3.3,,,,,
13,7,2612,Ocotea corymbosa,2.5,1.1,1.7,,,,,
13,7,2613,Myrcia fallax,2.5,1.4+1.5,2.5,,,,,
13,7,2614,Myrcia fallax,2.5,1.2,2.2,,,,,
13,7,2615,Myrcia fallax,2.5,1.9+1.5+1.3+1.2,4.3,,,,,
13,7,2616,Matayba elaeagnoides,2.5,1.3+1.6,2.2,,,,,
13,7,2617,Eugenia livida,2.2,1,2,,,,,
13,8,2618,Stryphnodendron rotundifolium,2,6.3,6.9,,,,,
13,8,2619,Gochnatia polymorpha,4,9.7+5.9+5.8,10.7+9.8+6.9,,,,,
13,8,2620,Ocotea corymbosa,4.5,5.1,6,,,,,
13,8,2621,Caryocar brasiliense,3.5,8.9,11.5,,,,,
13,8,2622,Gochnatia polymorpha,3.5,8.5,10,,,,,
13,8,2623,Gochnatia polymorpha,4.5,14.1+9.2,17.8,,,,,
13,8,2624,Gochnatia polymorpha,3.5,12.8,14.6,,,,,
13,8,2625,Ocotea corymbosa,6,8.5,10.8,,,,,
13,8,2626,Rapanea ferruginea,2.1,1,1.5,,,,,
13,8,2627,Gochnatia barrosii,2.5,2.4+2,1.9+4.7,,,,,
13,8,2628,Myrcia fallax,2.5,2.1+1.5,4.8,,,,,
13,8,2629,Myrcia multiflora,2.5,1.4,2,,,,,
13,8,2630,Myrcia fallax,3,1.5,2.4,,,,,
13,8,2631,Myrcia fallax,2.5,1.4,2.5,,,,,
13,8,2632,Gochnatia barrosii,2.5,1.2,1.7,,,,,
13,8,2633,Matayba elaeagnoides,2.3,2.5,2.8,,,,,
13,8,2634,Ocotea corymbosa,3.5,1.8,2.2,,,,,
13,8,2635,Ouratea spectabilis,1.8,2.5+2.0,5.6,,,,,
13,9,2636,Gochnatia polymorpha,3.5,5.2,7.4,,,,,
13,9,2637,Ocotea corymbosa,7.5,17.7,24.6,,,,,
13,9,2638,Ocotea corymbosa,7,12.5,15,,,,,
13,9,2639,Gochnatia polymorpha,4,5.6,8.5,,,,,
13,9,2640,Vochysia tucanorum,4.5,5.8,7.7,,,,,
13,9,2641,Gochnatia polymorpha,5,10.7,12.1,,,,,
13,9,2642,Gochnatia polymorpha,5,10,11,,,,,
13,9,2643,Myrcia fallax,3.5,1.7,2.3,,,,,
13,9,2644,Gochnatia polymorpha,3,1.5,2.3,,,,,
13,9,2645,Gochnatia polymorpha,1.7,1.7+2.3+1.6,4.3,,,,,
13,9,2646,Gochnatia polymorpha,2,1.5+2.5,4.2,,,,,
13,9,2647,Myrcia multiflora,2.5,2.2+2,3.1,,,,,
13,9,2648,Gochnatia polymorpha,2.1,2.2+2.0(2.3+1.9)+(3+2.2),4.2+3.9,,,,,
13,9,2649,Miconia ligustroides,2,1.4,2,,,,,
13,9,2650,Myrcia fallax,2.1,1.2,2,,,,,
13,10,2651,Gochnatia polymorpha,3.5,7.3,9.5,,,,,
13,10,2652,Gochnatia polymorpha,3.5,6.8,8.2,,,,,
13,10,2653,Gochnatia polymorpha,4,11.8,11.7,,,,,
13,10,2654,Ocotea corymbosa,4.5,6.2,7,,,,,
13,10,2655,Ocotea corymbosa,4.5,5,5.4,,,,,
13,10,2656,Ocotea corymbosa,6.5,14.7,16.3,,,,,
13,10,2657,Ocotea corymbosa,6,7,7.7,,,,,
13,10,2658,Cybistax antisyphilitica,2.8,6.5,10.1,,,,,
13,10,2659,Ocotea corymbosa,6,11.9,12.7,,,,,
13,10,2660,Ocotea corymbosa,5,6.5,7.5,,,,,
13,10,2661,Gochnatia polymorpha,4,7.6,8.3,,,,,
13,10,2662,Stryphnodendron rotundifolium,5.5,6.3,7.4,,,,,
13,10,2663,Gochnatia polymorpha,4,6.5,9.8,,,,,
13,10,2664,Matayba elaeagnoides,5,9.2,10.2,,,,,
13,10,2665,Ocotea corymbosa,5,4.1,4,,,,,
13,10,2666,Myrcia venulosa,4,2.6,3,,,,,
13,10,2667,Myrcia fallax,2.5,1.2,1.5,,,,,
13,10,2668,Gochnatia polymorpha,3,3.4,3.6,,,,,
13,10,2669,Gochnatia polymorpha,4.5,4.2,5.5,,,,,
13,10,2670,Ocotea corymbosa,2.5,2.2,2.3,,,,,
13,10,2671,Gochnatia polymorpha,2,2.8,3.1,,,,,
13,10,2672,Machaerium brasiliense,1.9,1,1.7,,,,,
13,10,2673,Leptolobium elegans,1.8,1.4,5,,,,,
13,10,2674,Gochnatia polymorpha,2.2,1.7+1.1,2.9,,,,,
13,10,2675,Gochnatia polymorpha,3.5,4.8+3.4,6.5,,,,,
13,10,2676,Ocotea corymbosa,3.5,2,2.9,,,,,
13,10,2677,Styrax camporum,3.5,3.5+1.2,5.2,,,,,
13,10,2678,Ocotea minarum,2,1.2,1.5,,,,,
13,10,2679,Myrcia fallax,3,3.6,4,,,,,
13,10,2680,Myrcia fallax,3,2.1+2.3,2.9,,,,,
13,10,2681,Myrcia fallax,2.5,2.5,2.5,,,,,
13,10,2682,Rapanea ferruginea,4,2.9,3.1,,,,,
13,10,2683,Myrcia multiflora,2.8,1,1.3,,,,,
13,10,2684,Ocotea corymbosa,2.5,1.1,1.4,,,,,
14,1,2685,Cupania vernalis,6,5.6,5.5,,,,,
14,1,2686,Tapirira guianensis,8,8.8,10,,,,,
14,1,2687,Tapirira guianensis,7,5.8,7.2,,,,,
14,1,2688,Pera obovata,7,5.6,6.2,,,,,
14,1,2689,Pera obovata,10,25.5,29.9,,,,,
14,1,2690,Matayba elaeagnoides,10,11.7,13.4,,,,,
14,1,2691,Pera obovata,12,21.1,25,,,,,
14,1,2692,Terminalia pubescens,10,14.3,15.3,,,,,
14,1,2693,Syagrus rommanzofiana,7,12.4,18.5,,,,,
14,1,2694,Myrcia fallax,5,6.7,7.1,,,,,
14,1,2695,Matayba elaeagnoides,10,24.4,27.6,,,,,
14,1,2696,Casearia sylvestris,6,6.2,7,,,,,
14,1,2697,Gochnatia polymorpha,6,5.3,7.2,,,,,
14,1,2698,Gochnatia polymorpha,5,7,5.8,,,,,
14,1,2699,Lacistema hasslerianum,7,7.5,8.6,,,,,
14,1,2700,Styrax camporum,6,5.1+6.6,10.7,,,,,
14,1,2701,Pera obovata,8,6,7.2,,,,,
14,1,2702,Casearia sylvestris,8,9.4,11,,,,,
14,1,2703,Siparuna guianensis,4,2,2.2,,,,,
14,1,2704,Faramea montevidensis,2.2,1.1,2.7,,,,,
14,1,2705,Ocotea minarum,5,3.8,4.6,,,,,
14,1,2706,Tapirira guianensis,2.8,1.4,1.6,,,,,
14,1,2707,Myrcia tomentosa,2,2.1,2.8,,,,,
14,1,2708,Gochnatia polymorpha,3.5,1.8,3.9,,,,,
14,1,2709,Rapanea umbellata,3,2,3,,,,,
14,1,2710,Ocotea minarum,3.5,2.1,2.4,,,,,
14,1,2711,Ocotea minarum,3,1.5,1.9,,,,,
14,1,2712,Machaerium brasiliense,5,6,6.8,,,,,
14,1,2713,Tapirira guianensis,4,1.5,1.8,,,,,
14,1,2714,Gochnatia polymorpha,4,2.2,2.8,,,,,
14,1,2715,Gochnatia polymorpha,4,2+1.1+1.9+3.5,4.7,,,,,
14,1,2716,Rapanea ferruginea,,1.6,2,,,,,
14,1,2717,Citrus limonum,3,3.3+3.8+5.2,3.1+3.9+4.9,,,,,
14,1,2718,Myrcia fallax,6,5,5,,,,,
14,1,2719,Matayba elaeagnoides,2.2,1,1.5,,,,,
14,1,2720,Myrcia fallax,5,4.5,5.9,,,,,
14,1,2721,Celtis iguanae,,3.3,4.2,,,,,
14,2,2722,Tapirira guianensis,12,11.7,13.4,,,,,
14,2,2723,Myrcia tomentosa,5,7.1,9.3,,,,,
14,2,2724,Ocotea corymbosa,9,13.3,14,,,,,
14,2,2725,Eugenia myrcianthes,8,9.5,11,,,,,
14,2,2726,Pera obovata,9,11.5,12.8,,,,,
14,2,2727,Ocotea corymbosa,10,11.9,13,,,,,
14,2,2728,Tapirira guianensis,11,13.6,18.7,,,,,
14,2,2729,Vochysia tucanorum,9,11.8,15.5,,,,,
14,2,2730,Ocotea velloziana,8,11,12.5,,,,,
14,2,2731,Myrcia fallax,8,11.3,12.1,,,,,
14,2,2732,Syagrus rommanzofiana,4,11.6,14.2,,,,,
14,2,2733,Gochnatia polymorpha,8,11.9,13,,,,,
14,2,2734,Eugenia myrcianthes,7,13,12.5,,,,,
14,2,2735,Tapirira guianensis,2.6,1.3+1.1,2.4,,,,,
14,2,2736,Ocotea minarum,3,1.6,1.9,,,,,
14,3,2737,Casearia sylvestris,8,9.3+10.5,11+11.7,,,,,
14,3,2738,Vochysia tucanorum,9,13,16.3,,,,,
14,3,2739,Vochysia tucanorum,14,41.8,46.5,,,,,
14,3,2740,Ocotea velloziana,12,24.1,26.1,,,,,
14,3,2741,Ocotea velloziana,12,8.9,9,,,,,
14,3,2742,Gochnatia polymorpha,3,2,2.2,,,,,
14,3,2743,Tabebuia ochracea,4,3.7,5.1,,,,,
14,3,2744,Ocotea minarum,9,14,15.8,,,,,
14,3,2745,Psidium guajava,4,5.3,5.3,,,,,
14,3,2746,Vochysia tucanorum,6,6.2,7.9,,,,,
14,3,2747,Lithraea molleoides,5,5.3,5.3,,,,,
14,3,2810,Gochnatia polymorpha,4,13.8,14,,,,,
14,3,2829,Siparuna guianensis,3,1.5,1.7,,,,,
14,3,2832,Pera obovata,2.5,1.6,2.5,,,,,
14,3,2833,Ocotea minarum,2.5,1.8,2.2,,,,,
14,3,2834,Tapirira guianensis,6,3,3.5,,,,,
14,4,2748,Gochnatia polymorpha,6,8.8,10.3,,,,,
14,4,2749,Gochnatia polymorpha,9,15.7,18.5,,,,,
14,4,2750,Psidium guajava,5,5.1,11.5,,,,,
14,4,2751,Gochnatia polymorpha,8,6.7,9.1,,,,,
14,4,2752,Vochysia tucanorum,12,11.2,12.1,,,,,
14,4,2753,Pera obovata,12,(14.4+9.5)+(17+10.9+14.7+11.5+20+19.7+11.4+17)+7.7,20+71.2+9.2,,,,,
14,4,2754,Myrcia fallax,5,7.1,7.4,,,,,
14,4,2756,Gochnatia polymorpha,10,18.4,21,,,,,
14,4,2757,Gochnatia polymorpha,12,31+9.7,39.4+11,,,,,
14,4,2758,Tapirira guianensis,4.5,1.9,2.3,,,,,
14,4,2759,Miconia ligustroides,2.6,1.7+1,3.7,,,,,
14,4,2760,Ocotea minarum,2.2,1.6,2.3,,,,,
14,4,2761,Rapanea umbellata,2.5,1,1.2,,,,,
14,5,2762,Ocotea corymbosa,12,14,15.5,,,,,
14,5,2763,Myrcia tomentosa,9,16.4,21.4,,,,,
14,5,2764,Tapirira guianensis,8,5,5.5,,,,,
14,5,2765,Vochysia tucanorum,9,8,9,,,,,
14,5,2766,Gochnatia polymorpha,8,8.4,9.3,,,,,
14,5,2767,Leptolobium elegans,8,15.5,17.5,,,,,
14,5,2768,Gochnatia polymorpha,7,8,9.7,,,,,
14,5,2769,Ocotea minarum,8,6.3,6.6,,,,,
14,5,2770,Vochysia tucanorum,4,3.2,4,,,,,
14,5,2771,Gochnatia polymorpha,9,9.4,12.6,,,,,
14,5,2772,Protium heptaphyllum,4.5,2.2,2.7,,,,,
14,5,2773,Cupania vernalis,2.1,1,1.2,,,,,
14,5,2774,Cupania vernalis,3.5,1.5,1.8,,,,,
14,5,2775,Alibertia edulis,2.3,1.1,2,,,,,
14,5,2776,Myrcia fallax,7,17.1,15.6,,,,,
14,5,2777,Rapanea umbellata,3,1.3,1.5,,,,,
14,5,2859,Pera obovata,8,8.8,9.3,,,,,
14,6,2778,Ocotea corymbosa,11,13.9,15.6,,,,,
14,6,2779,Protium heptaphyllum,13,23,27.2,,,,,
14,6,2780,Pera obovata,9,8.2,9.5,,,,,
14,6,2781,Ocotea corymbosa,10,15.4,16.4,,,,,
14,6,2782,Gochnatia polymorpha,9,10.3,11,,,,,
14,6,2783,Gochnatia polymorpha,8,11.9,12.9,,,,,
14,6,2784,Lithraea molleoides,7,6.4,6.8,,,,,
14,6,2785,Ocotea corymbosa,10,5.8,5.7,,,,,
14,6,2786,Pera obovata,9,7.3,8,,,,,
14,6,2787,Gochnatia polymorpha,7,8,10.5,,,,,
14,6,2788,Vochysia tucanorum,8,8.3,9.9,,,,,
14,6,2789,Pera obovata,9,11.5,13,,,,,
14,6,2790,Leptolobium elegans,2.8,4.5,9,,,,,
14,6,2791,Cupania vernalis,2.8,1.3,1.8,,,,,
14,6,2792,Eugenia myrcianthes,7,5.3+4.8,7.3,,,,,
14,6,2793,Styrax camporum,4,3.9,5,,,,,
14,6,2794,Leptolobium elegans,8,18.5,15.3,,,,,
14,7,2795,Gochnatia polymorpha,5,6,7.5,,,,,
14,7,2796,Myrcia fallax,5,7.8+8.7,10.5,,,,,
14,7,2797,Gochnatia polymorpha,10,17.4,17.8,,,,,
14,7,2798,Myrcia fallax,2.5,3.1,3.4,,,,,
14,7,2799,Gochnatia polymorpha,8,16.6+7.5,27.3,,,,,
14,7,2800,Gochnatia polymorpha,6,17.6+11.1,19.3+10.2,,,,,
14,7,2801,Ouratea spectabilis,3.5,7.2+6.9,10.6,,,,,
14,7,2802,Gochnatia polymorpha,6,8.1,9.7,,,,,
14,8,2755,Gochnatia polymorpha,9,16.3,21.4,,,,,
14,8,2803,Pera obovata,9,11,13.8,,,,,
14,8,2804,Tapirira guianensis,10,9.2,10.9,,,,,
14,8,2805,Vochysia tucanorum,1.8,4.8,5.9,,,,,
14,8,2806,Ocotea corymbosa,13,21.5,24.7,,,,,
14,8,2807,Tapirira guianensis,9,7.3,8.5,,,,,
14,8,2808,Gochnatia polymorpha,5,6.5,8.1,,,,,
14,8,2809,Gochnatia polymorpha,10,15.9,18.5,,,,,
14,8,2811,Vochysia tucanorum,10,11.6,15.3,,,,,
14,8,2812,Ocotea corymbosa,10,20.1,20,,,,,
14,8,2813,Psidium guajava,5,3.9,5,,,,,
14,8,2814,Myrcia fallax,4,3.2,3.9,,,,,
14,8,2815,Terminalia glabrescens,3.5,1.3,2.2,,,,,
14,8,2816,Miconia albicans,3,1.5,2,,,,,
14,8,2817,Ocotea minarum,2.7,1.5,2,,,,,
14,8,2818,Myrcia fallax,6,5.7,6,,,,,
14,8,2819,Tapirira guianensis,5,3.5,4.2,,,,,
14,8,2820,Gochnatia polymorpha,4,2,3.8,,,,,
14,8,2860,Byrsonima intermedia,4,4,5,,,,,
14,8,2861,Psidium guajava,5,3.6,4.9,,,,,
14,8,2862,Ficus guaranitica,3,1.5,2.2,,,,,
14,9,2821,Gochnatia polymorpha,5,5.8,6,,,,,
14,9,2822,Eugenia myrcianthes,7,7.9,9.2,,,,,
14,9,2823,Syagrus rommanzofiana,13,22.5,27.3,,,,,
14,9,2824,Cedrela fissilis,7,6.6,9.6,,,,,
14,9,2825,Ficus guaranitica,9,16+12.4,28,,,,,
14,9,2826,Gochnatia polymorpha,8,13.9,16,,,,,
14,9,2827,Casearia sylvestris,10,14.1,15.4,,,,,
14,9,2828,Gochnatia polymorpha,6,5.8,6.6,,,,,
14,9,2830,Gochnatia polymorpha,4,1.5+1.2,3.2,,,,,
14,9,2831,Tapirira guianensis,5,2.3,3,,,,,
14,9,2835,Ocotea minarum,5,3.3+3.1+4.4,6.4,,,,,
14,9,2836,Matayba elaeagnoides,5,3,3.6,,,,,
14,9,2837,Vochysia tucanorum,7,4.5,6,,,,,
14,9,2838,Gochnatia polymorpha,6.5,2.3,2.8,,,,,
14,9,2839,Tapirira guianensis,4,1.5,2,,,,,
14,10,2805,Rapanea umbellata,4,1.9,2,,,,,
14,10,2840,Tapirira guianensis,14,27.9,39.8,,,,,
14,10,2841,Cupania tenuivalvis,5,8.5,9.1,,,,,
14,10,2842,Gochnatia polymorpha,8,13.1,14.8,,,,,
14,10,2843,Eugenia myrcianthes,9,12.8,12.4,,,,,
14,10,2844,Celtis iguanae,8,5.5,6.5,,,,,
14,10,2845,Tapirira guianensis,10,10.2,11.5,,,,,
14,10,2846,Tapirira guianensis,9,6.4,7,,,,,
14,10,2847,Eugenia myrcianthes,6,8.1,7.1,,,,,
14,10,2848,Eugenia myrcianthes,4,6.1,5.9,,,,,
14,10,2849,Pera obovata,10,12.6,16.2,,,,,
14,10,2850,Nectandra oppositifolia,10,8.7,9.5,,,,,
14,10,2851,Tapirira guianensis,12,11.9,13.1,,,,,
14,10,2852,Pera obovata,9,10.7,12.8,,,,,
14,10,2853,Tapirira guianensis,7,6,6,,,,,
