P,Sub,Number,Species,Ht,DBH,D30,,,,,
1,7,146,Machaerium brasiliense,5,5,6.3,,,,,
1,7,147,Vochysia tucanorum,3.2,5.4,7.36,,,,,
1,7,148,Annona coriacea,4.6,6.5,6.7,,,,,
1,7,149,Machaerium brasiliense,6,6.3,7.5,,,,,
1,7,150,Annona crassiflora,2.8,6,8.1,,,,,
1,8,151,Myrcia fallax,2.8,1.9,3,,,,,
1,8,152,Pera obovata,2.6,1.7,2.5,,,,,
1,8,153,Myrcia fallax,2.5,1.3,2.3,,,,,
1,8,154,Myrcia tomentosa,3,3.7,4.7,,,,,
1,8,155,Myrcia fallax,3.5,4.8,5.2,,,,,
1,8,156,Matayba elaeagnoides,2.5,2.2,3.2,,,,,
1,8,157,Campomanesia adamantium,2,2.1,2.9,,,,,
1,8,158,Campomanesia adamantium,2,1.5,2.7,,,,,
1,8,159,Campomanesia adamantium,2,1.8,2.2,,,,,
1,8,160,Campomanesia adamantium,2.2,1.5,3.1,,,,,
1,8,161,Campomanesia adamantium,2,1.5,2.7,,,,,
1,8,162,Campomanesia adamantium,2.2,3.2,4.3,,,,,
1,8,163,Campomanesia adamantium,2.3,1.9+1.6,3.2,,,,,
1,8,164,Campomanesia adamantium,2,1.5,3.1,,,,,
1,8,165,Campomanesia adamantium,2,1.5,2.9,,,,,
1,8,166,Campomanesia adamantium,1.8,1,2.5,,,,,
1,8,167,Campomanesia adamantium,2,1,2.1,,,,,
1,8,168,Campomanesia adamantium,1.8,1+1,3,,,,,
1,8,169,Gochnatia polymorpha,3.5,3.7+1.6,4.9,,,,,
1,8,170,Pera obovata,2.8,1.8,3,,,,,
1,8,171,Vochysia tucanorum,1.7,1,2.8,,,,,
1,8,172,Miconia albicans,2,1.5+1,2.1,,,,,
1,8,173,Rapanea umbellata,3,3,3.1,,,,,
1,8,174,Qualea cordata,2.5,2,3.6,,,,,
1,8,175,Leptolobium elegans,2.3,3.8,5.2,,,,,
1,8,176,Stryphnodendron rotundifolium,2.6,3,3.6,,,,,
1,8,177,Gochnatia polymorpha,3,1.8,3.2,,,,,
1,8,178,Miconia albicans,2.5,1.5+1.5+1.2+1.6,1.9+3.1+1.6+1.4+1.4,,,,,
1,8,179,Myrcia fallax,2.4,1.1,2.1,,,,,
1,8,180,Vochysia tucanorum,4.5,6.4,8.4,,,,,
1,8,181,Leptolobium elegans,5,9.3,10.8,,,,,
1,8,182,Vochysia tucanorum,6,8.6,9.3,,,,,
1,8,183,Gochnatia polymorpha,3.5,7.3,8.3,,,,,
1,8,184,Gochnatia polymorpha,5,5.5+6.4,7.5+5.9,,,,,
1,8,185,Leptolobium elegans,5,8.2,9.8,,,,,
1,8,186,Vochysia tucanorum,5.5,8.5,10,,,,,
1,8,187,Leptolobium elegans,3.5,6,8.3,,,,,
1,8,188,Leptolobium elegans,4,10.5,13,,,,,
1,8,189,Gochnatia polymorpha,4.2,6.2,9.2,,,,,
1,8,190,Gochnatia polymorpha,4.5,8,9.1,,,,,
1,8,191,Myrcia tomentosa,3.5,5.4,9.7,,,,,
1,9,192,Campomanesia adamantium,2.2,3+2.5,9.5,,,,,
1,9,193,Campomanesia adamantium,3.1,2.9,3.2,,,,,
1,9,194,Rapanea umbellata,3.4,3.5,3.9,,,,,
1,9,195,Campomanesia adamantium,2.5,2.4,2.9,,,,,
1,9,196,Campomanesia adamantium,3,2.4+2.3,3.3,,,,,
1,9,197,Gochnatia polymorpha,3.5,4,5.5,,,,,
1,9,198,Campomanesia adamantium,3,2.5,3.3,,,,,
1,9,199,Campomanesia adamantium,1.8,1.2,2.4,,,,,
1,9,200,Campomanesia adamantium,1.75,1,2,,,,,
1,9,201,Campomanesia adamantium,2.3,2.8,3.6,,,,,
1,9,202,Campomanesia adamantium,3,3.3+3+1.9,4.5,,,,,
1,9,203,Campomanesia adamantium,2,1.3,1.7,,,,,
1,9,204,Campomanesia adamantium,1.9,1,1.5,,,,,
1,9,205,Campomanesia adamantium,2.5,1.5,2.1,,,,,
1,9,206,Campomanesia adamantium,1.9,1.4+1,1.5,,,,,
1,9,207,Campomanesia adamantium,2.3,1.2,1.7,,,,,
1,9,208,Campomanesia adamantium,1.7,1.1,2.4,,,,,
1,9,209,Campomanesia adamantium,2.5,2.5+1.1,3.3,,,,,
1,9,210,Campomanesia adamantium,3.5,4.2,4.5,,,,,
1,9,211,Campomanesia adamantium,2,2,4.7,,,,,
1,9,212,Campomanesia adamantium,2,1.1,2.3,,,,,
1,9,213,Campomanesia adamantium,2,1.5+1.2+1,2.9,,,,,
1,9,214,Campomanesia adamantium,1.9,1,2.5,,,,,
1,9,215,Campomanesia adamantium,3,3+3.1+3,5,,,,,
1,9,216,Campomanesia adamantium,2,2+2.2+2.1,4.2,,,,,
1,9,217,Rapanea umbellata,4,3,3.4,,,,,
1,9,218,Campomanesia adamantium,1.5,2,2.5,,,,,
1,9,219,Symplocos pubescens,3.6,3.1,7.1,,,,,
1,9,220,Bowdichia virgilioides,2,1.9,4.5,,,,,
1,9,221,Campomanesia adamantium,1.8,1.5,2.8,,,,,
1,9,222,Myrcia fallax,3.5,5+7.4,8.1,,,,,
1,9,223,Rapanea umbellata,4.5,5.8,7,,,,,
1,9,224,Myrcia fallax,3.5,5.1,5.2,,,,,
1,9,225,Stryphnodendron rotundifolium,2,5.3,6.4,,,,,
