Genus,Species,Family,detail,Code,FG,Life Form
Lithraea,molleoides,Anacardiaceae,,LIMO,F,tree
Luehea,candicans,Malvaceae,,LUCA,G,tree
Luehea,grandiflora,Malvaceae,,LUGR,G,tree
Machaerium,acutifolium,Fabaceae,,MAAC,S,tree
Machaerium,brasiliense,Fabaceae,,MABR,G,tree
Machaerium,stipitatum,Fabaceae,,MAST,F,tree
Maprounea,guianensis,Euhorbiaceae,,MAGU,G,tree
Matayba,elaeagnoides,Sapindaceae,,MAEL,G,tree
Maytenus,robusta,Celastraceae,,MARO,G,tree
Miconia,albicans,Melastomataceae,,MIAL,S,treelet
Miconia,fallax,Melastomataceae,,MIFA,S,shrub
Miconia,ligustroides,Melastomataceae,,MILI,S,treelet
Miconia,paucidens,Melastomataceae,,MIPA,G,shrub
Miconia,sellowiana,Melastomataceae,,MISE,G,tree
Miconia,stenostachya,Melastomataceae,,MIST,S,shrub
Mimosa,dolens,Fabaceae,subsp acerba,MIDO,S,shrub
Mimosa,dolens,Fabaceae,subsp rigida,MIDO,S,shrub
Mollinedia,widgrenii,Monimiaceae,,MOWI,F,tree
Myrcia,fallax,Myrtaceae,,MYFA,G,tree
Myrcia,lasiantha,Myrtaceae,,MYLA,G,tree
Myrcia,lingua,Myrtaceae,,MYLI,S,tree
Myrcia,multiflora,Myrtaceae,,MYMU,G,tree
Myrcia,tomentosa,Myrtaceae,,MYTO,G,tree
Myrcia,tomentosa,Myrtaceae,,MYTO,S,tree
Myrcia,venulosa,Myrtaceae,,MYVE,S,tree
Myrciaria,floribunda,Myrtaceae,,MYFL,G,tree
Myrsine,coriacea,Primulaceae,subsp coriacea,RAFE,G,tree
Myrsine,guianensis,Primulaceae,,RAGU,S,tree
Myrsine,umbellata,Primulaceae,,RAUM,G,tree
Gen1,sp1,Myrtaceae,,MYRTA,,
Nectandra,cuspidata,Lauraceae,,NECU,F,tree
Nectandra,lanceolata,Lauraceae,,NELA,F,tree
Nectandra,oppositifolia,Lauraceae,,NEOP,F,tree
Ocotea,corymbosa,Lauraceae,,OCCO,G,tree
Ocotea,diospyrifolia,Lauraceae,,OCDI,F,tree
Ocotea,minarum,Lauraceae,,OCMI,G,tree
Ocotea,puberula,Lauraceae,,OCPU,F,tree
Ocotea,pulchella,Lauraceae,,OCPU,G,tree
Ocotea,sp1.,Lauraceae,,OCOTE,F,tree
Ocotea,velloziana,Lauraceae,,OCVE,F,tree
Ocotea,velutina,Lauraceae,,OCVE,F,tree
