Species,Code,FG,Life Form,Species,,Code,Code
Dendropanax cuneatus,DECU,F,tree,Dendropanax,cuneatus,DECU,DECU
Dimorphandra mollis,DIMO,S,tree,Dimorphandra,mollis,DIMO,DIMO
Diospyros hispida,DIHI,S,tree,Diospyros,hispida,DIHI,DIHI
Duguetia furfuracea,DUFU,S,shrub,Duguetia,furfuracea,DUFU,DUFU
Eriotheca gracilipes,ERGR,S,tree,Eriotheca,gracilipes,ERGR,ERGR
Erythroxylum cuneifolium,ERCU,S,shrub,Erythroxylum,cuneifolium,ERCU,ERCU
Erythroxylum deciduum,ERDE,G,tree,Erythroxylum,deciduum,ERDE,ERDE
Erythroxylum pelleterianum,ERPE,G,treelet,Erythroxylum,pelleterianum,ERPE,ERPE
Erythroxylum suberosum,ERSU,S,treelet,Erythroxylum,suberosum,ERSU,ERSU
Esenbeckia febrifuga,ESFE,F,treelet,Esenbeckia,febrifuga,ESFE,ESFE
Eugenia aurata,EUAU,S,treelet,Eugenia,aurata,EUAU,EUAU
Eugenia bimarginata,EUBI,S,shrub,Eugenia,bimarginata,EUBI,EUBI
Eugenia florida,EUFL,F,tree,Eugenia,florida,EUFL,EUFL
Eugenia livida,EULI,S,treelet,Eugenia,livida,EULI,EULI
Eugenia myrcianthes,EUMY,G,tree,Eugenia,myrcianthes,EUMY,EUMY
Eugenia punicifolia,EUPU,S,treelet,Eugenia,punicifolia,EUPU,EUPU
Eugenia pyriformis,EUPY,S,treelet,Eugenia,pyriformis,EUPY,EUPY
Eugenia sp5.,EUSP,F,tree,Eugenia,sp5.,EUSP,EUSP
Eugenia speciosa,EUSP,F,tree,Eugenia,speciosa,EUSP,EUSP
Faramea montevidensis,FAMO,G,tree,Faramea,montevidensis,FAMO,FAMO
Ficus,FI,F,tree,Ficus,,FI,FI
Ficus citrifolia,FICI,G,tree,Ficus,citrifolia,FICI,FICI
Ficus gomelleira,FIGO,G,tree,Ficus,gomelleira,FIGO,FIGO
Fridericia platyphylla,FRPL,S,shrub,Fridericia,platyphylla,FRPL,FRPL
Gochnatia barrosii,GOBA,S,shrub,Gochnatia,barrosii,GOBA,GOBA
Gochnatia polymorpha,GOPO,G,tree,Gochnatia,polymorpha,GOPO,GOPO
Gochnatia pulchra,GOPU,S,shrub,Gochnatia,pulchra,GOPU,GOPU
Gomidesia,GO,G,tree,Gomidesia,,GO,GO
Gomidesia elliptica,GOEL,F,tree,Gomidesia,elliptica,GOEL,GOEL
Guapira graciliflora,GUGR,F,tree,Guapira,graciliflora,GUGR,GUGR
Guapira hirsuta,GUHI,F,tree,Guapira,hirsuta,GUHI,GUHI
Guapira opposita,GUOP,G,tree,Guapira,opposita,GUOP,GUOP
Guatteria nigrescens,GUNI,F,tree,Guatteria,nigrescens,GUNI,GUNI
Hancornia speciosa,HASP,S,tree,Hancornia,speciosa,HASP,HASP
Helicteres brevispira,HEBR,G,treelet,Helicteres,brevispira,HEBR,HEBR
Helietta apiculata,HEAP,F,tree,Helietta,apiculata,HEAP,HEAP
Heteropterys,HE,S,shrub,Heteropterys,,HE,HE
Heteropterys byrsonimifolia,HEBY,S,shrub,Heteropterys,byrsonimifolia,HEBY,HEBY
Hymenaea stigonocarpa,HYST,S,tree,Hymenaea,stigonocarpa,HYST,HYST
Ixora venulosa,IXVE,F,tree,Ixora,venulosa,IXVE,IXVE
Jacaranda caroba,JACA,S,shrub,Jacaranda,caroba,JACA,JACA
Jacaranda micrantha,JAMI,F,tree,Jacaranda,micrantha,JAMI,JAMI
Jacaranda oxyphylla,JAOX,S,shrub,Jacaranda,oxyphylla,JAOX,JAOX
Jacaranda rufa,JARU,S,shrub,Jacaranda,rufa,JARU,JARU
Jacaranda sp.,JASP,S,shrub,Jacaranda,sp.,JASP,JASP
Kielmeyera coriacea,KICO,S,tree,Kielmeyera,coriacea,KICO,KICO
Lacistema hasslerianum,LAHA,G,treelet,Lacistema,hasslerianum,LAHA,LAHA
Lafoensia vandelliana,LAVA,S,tree,Lafoensia,vandelliana,LAVA,LAVA
Lantana camara,LACA,G,shrub,Lantana,camara,LACA,LACA
Leandra melastomoides,LEME,G,treelet,Leandra,melastomoides,LEME,LEME
Lepidaploa chamissonis,LECH,S,shrub,Lepidaploa,chamissonis,LECH,LECH
Leptolobium elegans,LEEL,S,tree,Leptolobium,elegans,LEEL,LEEL
Lessingianthus bardanoides,LEBA,S,shrub,Lessingianthus,bardanoides,LEBA,LEBA
Lessingianthus bardanoides,LEBA,S,shrub,Lessingianthus,bardanoides,LEBA,LEBA
Lippia salviifolia,LISA,S,shrub,Lippia,salviifolia,LISA,LISA
Lithraea molleoides,LIMO,F,tree,Lithraea,molleoides,LIMO,LIMO
Luehea candicans,LUCA,G,tree,Luehea,candicans,LUCA,LUCA
Luehea grandiflora,LUGR,G,tree,Luehea,grandiflora,LUGR,LUGR
Machaerium acutifolium,MAAC,S,tree,Machaerium,acutifolium,MAAC,MAAC
Machaerium brasiliense,MABR,G,tree,Machaerium,brasiliense,MABR,MABR
Machaerium stipitatum,MAST,F,tree,Machaerium,stipitatum,MAST,MAST
Maprounea guianensis,MAGU,G,tree,Maprounea,guianensis,MAGU,MAGU
Matayba elaeagnoides,MAEL,G,tree,Matayba,elaeagnoides,MAEL,MAEL
Maytenus robusta,MARO,G,tree,Maytenus,robusta,MARO,MARO
Miconia albicans,MIAL,S,treelet,Miconia,albicans,MIAL,MIAL
Miconia fallax,MIFA,S,shrub,Miconia,fallax,MIFA,MIFA
Miconia ligustroides,MILI,S,treelet,Miconia,ligustroides,MILI,MILI
Miconia paucidens,MIPA,G,shrub,Miconia,paucidens,MIPA,MIPA
Miconia sellowiana,MISE,G,tree,Miconia,sellowiana,MISE,MISE
Miconia stenostachya,MIST,S,shrub,Miconia,stenostachya,MIST,MIST
